LOHR - KARLSTADT - WURZBURG    59.1 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Lohr
    0.1 km   Rechtsaf naar Osttangente
    0.3 km   Rechtsaf (follow 1.5 km)
  ★ 0.3 km  [see] Castle Lohr am Main — Snow White Castle
  ★ 0.3 km  [restroom] Public restroom Lohr am Main — Inside tourist information.
  ★ 0.3 km  [note] City centre Lohr am Main — Shops, Restaurants and famous Muschelgasse, Fischergasse and Steinmúhlgasse,
  ★ 0.3 km  [bar] Keiler Brauhaus — Drink Beer&eat schnitzel and bratwurst in the brewery
    1.7 km   Houd links aan
    1.8 km   Houd rechts aan (follow 1.0 km)
    2.8 km   Linksaf
    2.9 km   Rechtsaf
    3.1 km   Linksaf naar Hofgartenstraße
    3.1 km   Rechtsaf (follow 1.8 km)
    4.9 km   Houd rechts aan
    5.0 km   Houd rechts aan (follow 6.1 km)
   11.1 km   Linksaf naar Sportheimstraße
   11.2 km   Rechtsaf naar Pfarrgasse
   11.3 km   Linksaf naar Mainfährstraße
   11.4 km   Rechtsaf (follow 2.0 km)
   13.4 km   Rechtsaf
   13.5 km   Linksaf
   13.9 km   Rechtsaf
   14.5 km   Linksaf naar Am Schutzhafen
   14.6 km   Rechtsaf naar Frankfurter Straße
   14.7 km   Linksaf naar Saalebrücke
  ★ 14.8 km  [restroom] Public restroom Gemunden am Main — Public toilet at parking lot
   14.9 km   Rechtsaf naar Scherenbergstraße
  ★ 14.9 km  [coffee] Cafes/Restaurants/Icecream and shops.
   15.0 km   Linksaf naar Marktplatz
   15.1 km   Rechtsaf naar Mainstraße
  ★ 15.1 km  [see] Castle Gemunden am Main — A ruined castle overlooking the town.
   15.1 km   Rechtsaf
   15.2 km   Rechtsaf
   15.2 km   Linksaf (follow 12.6 km)
   27.8 km   Linksaf
   27.8 km   Rechtsaf
   28.8 km   Houd links aan
   28.9 km   Rechtsaf naar Mainpromenade
   29.5 km   Houd rechts aan
   29.8 km   Ga rechtsaf naar Mainpromenade
   29.9 km   Rechtsaf
   30.1 km   Ga linksaf naar Mainpromenade
  ★ 30.1 km  [see] Old tower part of fortification
   30.2 km   Rechtsaf
   30.2 km   Rechtsaf naar Kärrnergasse
   30.3 km   Rechtsaf naar Hauptstraße
   30.4 km   Houd links aan naar Hauptstraße
  ★ 30.4 km  [restroom] Public restroom
  ★ 30.4 km  [coffee] Karlstradt old city centre — Various cafes/restaurants/shops
  ★ 30.4 km  [note] City center of Karlstadt with old city wall and towers. — Restaurants, coffee, ice, shops
   30.6 km   Houd rechts aan
   30.6 km   Rechtsaf naar Brückenstraße
   31.1 km   Ga rechtsaf
   31.2 km   Rechtsaf
  ★ 31.9 km  [segment_start] Alternative Drop off
   32.2 km   Houd links aan
   32.8 km   Linksaf naar Bandwörthstraße
   33.5 km   Ga rechtdoor (follow 3.2 km)
   36.7 km   Linksaf
   37.2 km   Rechtsaf
   37.2 km   Linksaf naar Mainstraße
   37.3 km   Rechtsaf naar Brückenstraße
   37.3 km   Keer om naar Brückenstraße
  ★ 37.3 km  [see] Christmaspostoffice
   37.4 km   Rechtsaf naar Schleusenweg
   37.4 km   Rechtsaf (follow 3.2 km)
   40.6 km   Houd links aan naar Mainau
  ★ 40.6 km  [coffee] Maxlback — Coffee and Pastries
   41.2 km   Houd links aan
   41.6 km   Linksaf naar Badstraße
   41.7 km   Rechtsaf naar Badstraße
   41.8 km   Linksaf naar Gassenwiese
   42.1 km   Houd rechts aan (follow 4.7 km)
  ★ 42.7 km  [coffee] Pappert Konditorei — Supermarket, Coffee and toilets
   46.8 km   Rechtsaf
   46.8 km   Linksaf (follow 1.7 km)
   48.5 km   Houd links aan
   48.7 km   Blijf op Leo-Kuchenbrod-Weg
   49.2 km   Rechtsaf
   49.2 km   Linksaf naar Mainstraße
   49.6 km   Houd rechts aan naar Zur Mainfähre
   49.9 km   Ga rechtsaf naar Fahrweg
  ★ 50.0 km  [coffee] Dela Suerte
   50.2 km   Rechtsaf naar Mainlände
   50.4 km   Linksaf naar Würzburger Straße
   50.6 km   Ga rechtsaf
   50.7 km   Keer om
  ★ 50.7 km  [see] Veitshochheim Palace
   50.7 km   Linksaf
   50.8 km   Ga linksaf naar Würzburger Straße
   51.0 km   Rechtsaf naar Parkstraße
   51.2 km   Linksaf naar Höchheimer Mainsteg
   51.5 km   Linksaf naar Fahrweg
   51.6 km   Linksaf naar Am Sportplatz (follow 3.0 km)
   54.6 km   Houd links aan (follow 3.2 km)
   57.8 km   Houd rechts aan
   58.3 km   Houd rechts aan
   58.4 km   Rechtsaf
   58.5 km   Linksaf
   58.7 km   Houd links aan
   59.1 km   Linksaf
   59.1 km   Rechtsaf
