LUNEBERG HAFER    66.8 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn right toward Elso-Klöver-Straße
    0.2 km   Make a U-turn
  ★ 0.2 km  [note] Luneberg Harbour
    0.3 km   Turn left onto Elso-Klöver-Straße (follow 1.3 km)
    1.5 km   Turn left onto Otto-Brenner-Straße (follow 1.2 km)
    2.8 km   Turn right toward B216
    2.9 km   Sharp right onto B216 (follow 2.1 km)
    4.9 km   Continue onto Dahlenburger Landstraße (follow 2.5 km)
    7.5 km   Continue onto Altenbrückertorstraße
    7.8 km   Continue straight onto b. d. St. Johanniskirche
    7.9 km   Turn left onto Kalandstraße
    8.1 km   Continue onto Ritterstraße
    8.6 km   Turn left onto b. d. St.Lambertikirche
    8.6 km   Slight left onto Sülztorstraße
    8.9 km   Turn right onto Soltauer Str.
    9.3 km   Turn right onto Oedemer Weg (follow 1.6 km)
   10.9 km   Continue onto Im Dorf (follow 2.1 km)
   12.9 km   Turn right onto K36 (follow 2.0 km)
   14.9 km   Turn left onto Südergellerser Weg (follow 1.5 km)
   16.4 km   Continue onto Heiligenthaler Weg (follow 1.8 km)
   18.2 km   Turn right onto Kirchgellerser Str.
   18.5 km   Turn left onto Westergellerser Weg (follow 1.7 km)
  ★ 20.0 km  [note] Observation deck
   20.2 km   Turn right
   20.5 km   Turn left onto Westergellerser Weg (follow 1.6 km)
   22.1 km   Turn right onto Schwarzer Weg
   22.4 km   Turn right onto Im Alten Dorfe
   22.4 km   Slight left onto Wetzer Weg
   22.9 km   Slight right to stay on Wetzer Weg (follow 3.6 km)
   26.6 km   Turn right onto K20 (follow 1.0 km)
   27.6 km   Turn left onto Am Altenberg
   28.1 km   Turn right (follow 1.5 km)
   29.6 km   Continue onto Wetzener Weg
   30.5 km   Turn right onto K34
   30.6 km   Turn left
   31.5 km   Turn left
  ★ 31.6 km  [monument] Oldendorfer Totenstatt — ancient Neolithic burial mounds
   32.0 km   Turn left
   32.5 km   Turn right
   32.9 km   Turn left
   33.5 km   Continue onto An d. Lopau
  ★ 34.1 km  [food] Café + Restaurant Seestübchen — lunch stop
   34.1 km   Make a U-turn
   34.6 km   Turn right (follow 5.0 km)
   39.6 km   Turn left (follow 4.8 km)
   44.4 km   Turn right
   45.2 km   Turn slight right (follow 2.8 km)
   48.1 km   Turn right
   48.1 km   Turn right onto Pilgerpfad
   48.5 km   At roundabout, take exit 2 onto Pilgerpfad
   48.8 km   Turn sharp left
   49.4 km   Turn right onto Am Wischfeld
   49.6 km   At roundabout, take exit 1 onto Hauptstraße
   50.4 km   Turn right
   50.8 km   Turn right
   50.8 km   Turn left
   51.2 km   Turn sharp right
   51.5 km   Turn sharp left
   51.9 km   Turn left
  ★ 51.9 km  [see] Handwerkerbrücke — Bridge - rest stop
   52.6 km   Continue onto Düvelsbrook
   52.7 km   Continue onto Düvelsbrooker Weg
   53.0 km   Turn right
   53.3 km   Slight left
   53.3 km   Turn right
   53.5 km   Turn right
   54.2 km   Turn left
   54.4 km   Turn right
   54.6 km   Turn left
   55.2 km   Turn right
   55.4 km   Turn left
   55.7 km   Slight left
   55.9 km   Turn right
   55.9 km   Turn left
   56.0 km   Turn right
   56.3 km   Turn left toward Wilhelm-Leuschner-Straße
   56.3 km   At the roundabout, take the 2nd exit onto Wilhelm-Leuschner-Straße
   56.6 km   Turn right onto Apfelallee (follow 1.0 km)
   57.6 km   Turn right onto Postweg
   57.8 km   Turn left onto Zur Ohe
   57.9 km   Turn left onto Postweg
   58.1 km   Turn right (follow 1.5 km)
   59.6 km   Turn left toward B216
   59.6 km   Turn left onto B216
   59.6 km   Slight right toward Otto-Brenner-Straße
   59.7 km   Turn left onto Otto-Brenner-Straße (follow 1.2 km)
   60.9 km   Turn right onto Elso-Klöver-Straße (follow 2.0 km)
   63.0 km   Turn left onto Otto-Brenner-Straße (follow 1.2 km)
   64.2 km   Turn right
   64.2 km   Turn left
   65.1 km   Turn left
   65.5 km   Turn right
   65.9 km   Turn right
   66.6 km   Turn left
