MAINLAND ST (SIVOTA-PARGA)    30.1 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [swimming] Gallikos Molos Beach
    0.1 km   Dem Straßenverlauf folgen
    0.1 km   Links abbiegen
  ★ 0.1 km  [atm] ATM Alpha Bank
    0.5 km   Im Kreisverkehr Ausfahrt 1 auf Σύβοτα - Πέρδικα nehmen
    0.7 km   Rechts abbiegen auf Σύβοτα - Πέρδικα (follow 10.9 km)
  ★ 2.5 km  [swimming] Mega Ammos Beach
  ★ 3.9 km  [see] Viewpoint
  ★ 4.3 km  [swimming] Mega Drafi Beach
  ★ 10.9 km  [coffee] Café Kantina
   11.5 km   Rechts halten auf Σύβοτα - Πέρδικα
   11.6 km   Scharf rechts abbiegen auf Πάργας - Πέρδικας (follow 15.0 km)
  ★ 12.3 km  [caution] Caution — Steep descent ahead
  ★ 18.9 km  [water] Spring — Fresh Water (drinkable)
  ★ 23.4 km  [caution] Long and partly steep descent ahead
   26.6 km   Rechts halten
   27.0 km   Links abbiegen (follow 1.1 km)
   28.1 km   Rechts abbiegen auf Πάργας - Μορφίου
   28.7 km   Wenden auf Πάργας - Μορφίου
  ★ 29.1 km  [see] Viewpoint
   29.5 km   Scharf rechts abbiegen auf Φεραίου Ρήγα
  ★ 29.8 km  [swimming] Giannakis Beach
   30.1 km   Links abbiegen
  ★ 30.1 km  [finish] End of bike ride
