MAASTRICHT-MARGRATEN/VALKENBURG-MAASTRICHT    46.1 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Afmeerplek Maastricht
    0.2 km   Rechts abbiegen auf Graanmarkt
    0.3 km   Scharf rechts abbiegen auf Het Bat
    0.4 km   Rechts abbiegen auf Vissersmaas
    0.5 km   Rechts abbiegen
    0.5 km   Rechts abbiegen auf Maastrichter Brugstraat
  ★ 0.6 km  [see] Sint Servaasbrugf
    0.7 km   Rechts abbiegen auf Cörversplein
    1.0 km   Rechts abbiegen auf Stenenwal
    1.2 km   Links abbiegen
    1.3 km   Links abbiegen auf Sonnevillelunet
    1.4 km   Rechts halten auf Sphinxlunet
    1.8 km   Leicht links abbiegen auf Heerderweg
    2.0 km   Rechts abbiegen auf Scharnerweg
    2.1 km   Dem Straßenverlauf von Scharnerweg folgen
    2.2 km   Links halten auf Scharnerweg
    2.2 km   Im Kreisverkehr Ausfahrt 2 auf Scharnerweg nehmen
    2.8 km   Rechts halten auf Scharnerweg
    2.8 km   Im Kreisverkehr Ausfahrt 2 auf Scharnerweg nehmen (follow 3.2 km)
    6.0 km   Rechts abbiegen auf Sint Laurentiusstraat (follow 2.0 km)
    8.1 km   Rechts halten auf Bemelerweg
    8.1 km   Im Kreisverkehr Ausfahrt 2 auf Bemelerweg nehmen
    8.2 km   Leicht links abbiegen auf Rijksweg
    8.3 km   Rechts halten auf Rijksweg
    8.5 km   Rechts halten auf Rijksweg
    8.5 km   Links abbiegen
    8.6 km   Rechts abbiegen auf Kerkstraat
    9.2 km   Links abbiegen auf Kerkstraat
    9.5 km   Links abbiegen auf Limburgerstraat
    9.5 km   Rechts abbiegen auf Fommestraat
   10.3 km   Dem Straßenverlauf von Einderweg folgen (follow 1.1 km)
   11.4 km   Rechts halten auf Honthem (follow 1.2 km)
  ★ 11.9 km  [see] Amerikaanse oorlogsbegraafplaats
   12.6 km   Scharf links abbiegen auf Hoebesweg (follow 2.0 km)
  ★ 14.3 km  [coffee] Eetcafé Chriske — mogelijk woensdags gesloten
   14.6 km   Rechts abbiegen auf Scheuldersteeg
   14.7 km   Leicht links abbiegen auf Scheuldersteeg (follow 1.4 km)
   16.1 km   Links abbiegen auf Scheuldersteeg
   16.3 km   Scharf links abbiegen auf Scheulderdorpsstraat
   17.1 km   Links abbiegen auf Limietstraat
   17.4 km   Links abbiegen auf Limietstraat
   17.8 km   Dem Straßenverlauf von Limietstraat folgen
   17.9 km   Rechts abbiegen auf Limietpad
   18.0 km   Leicht rechts abbiegen auf Heerstraat (follow 1.3 km)
   19.3 km   Rechts abbiegen auf Gasthuis (follow 1.0 km)
  ★ 19.3 km  [coffee] Enchantee — thee, kruiden en vlaai
(beperkt open, afhankelijk van seizoen)
   20.3 km   Links abbiegen auf Bemelerweg
   20.4 km   Im Kreisverkehr Ausfahrt 2 auf Daalhemerweg nehmen (follow 1.9 km)
  ★ 22.2 km  [see] Fluweelengrot
  ★ 22.3 km  [coffee] diverse horeca
   22.4 km   Leicht rechts abbiegen auf Grendelplein und Richtung Heerlen, Schin op Geul, Centrum, Valkenier, Par'Course fahren
  ★ 22.4 km  [see] De Cauberg
  ★ 22.4 km  [food] Restaurants
  ★ 22.4 km  [see] kasteelruïne
  ★ 22.4 km  [see] Museum Valkenburg
   22.5 km   Links abbiegen auf Plenkertstraat
   22.9 km   Rechts abbiegen auf Aan de Polfermolen
   23.1 km   Scharf links abbiegen auf Prinses Beatrixsingel
   23.2 km   Rechts halten auf Prinses Beatrixsingel
   23.3 km   Rechts abbiegen auf Statenlaan
   23.5 km   Leicht rechts abbiegen auf Statenlaan
   23.5 km   Links abbiegen auf Koningswinkelstraat
   23.7 km   Links abbiegen
   23.7 km   Rechts abbiegen
   23.7 km   Dem Straßenverlauf folgen
   23.8 km   Links abbiegen auf Broekhem und Richtung Meerssen, Maastricht, Heerlen, Houthem fahren
   23.8 km   Rechts abbiegen auf Bosstraat
   24.0 km   Rechts abbiegen auf Aan de Krombunder
   24.3 km   Links abbiegen auf Parallelweg
   24.3 km   Rechts abbiegen auf Parallelweg
   24.8 km   Scharf links abbiegen auf Kloosterweg
   25.4 km   Dem Straßenverlauf von Stoepertweg folgen
   26.4 km   Links abbiegen auf Ravensbos (follow 1.2 km)
   27.6 km   Links abbiegen
   28.0 km   Links halten
   28.2 km   Links halten
  ★ 28.2 km  [note] ruïne
   28.2 km   Links abbiegen
   29.2 km   Im Kreisverkehr Ausfahrt 3 auf Klein-Haasdal nehmen
  ★ 29.2 km  [food] Brasserie Bie Ein — woensdag open v.a. 11 uur
   30.1 km   Links abbiegen auf Nieuwstraat
   30.6 km   Dem Straßenverlauf von Kleverstraat folgen (follow 2.0 km)
   32.6 km   Rechts abbiegen auf In de Schreub
   33.4 km   Links abbiegen auf Goudenroodpad
   33.4 km   Links abbiegen auf Vauwerstraat
   33.9 km   Rechts abbiegen auf Sint Gerlach
  ★ 33.9 km  [see] Kasteel St Gerlach
   34.1 km   Links abbiegen auf Onderstestraat
  ★ 34.3 km  [food] De Holle Eik — Eetcafé vanaf 14 uur
   34.5 km   Links halten auf Onderstestraat
   34.6 km   Links abbiegen auf Onderstestraat
  ★ 35.3 km  [coffee] herberg Geulhemmermolen — woensdag open v.a.10 uur
   35.4 km   Rechts abbiegen auf Geulweg (follow 1.6 km)
  ★ 35.8 km  [food] 't Voske — woensdag open v.a. 11 uur
   37.0 km   Links halten auf De Dellenweg (follow 1.9 km)
   38.9 km   Links abbiegen auf IJzerenkuilenweg (follow 2.3 km)
   41.1 km   Rechts abbiegen
   41.2 km   Links abbiegen auf Molenweg
   41.5 km   Dem Straßenverlauf von Molenweg folgen
   41.7 km   Links abbiegen auf Molenweg
   41.9 km   Scharf rechts abbiegen auf Bemelerweg (follow 1.2 km)
   43.1 km   Rechts halten auf Wethouder van Caldenborghlaan
   43.1 km   Im Kreisverkehr Ausfahrt 2 auf Scharnerweg nehmen
   43.6 km   Rechts halten auf Scharnerweg
   43.7 km   Rechts halten auf Scharnerweg
   43.8 km   Im Kreisverkehr Ausfahrt 1 auf Koningsplein nehmen
   44.1 km   Links abbiegen auf Heerderweg
   44.2 km   Links abbiegen auf Heerderweg
   44.3 km   Leicht rechts abbiegen auf Sphinxlunet
   44.4 km   Rechts halten auf Sphinxlunet
   44.6 km   Rechts abbiegen auf Sphinxlunet
   44.7 km   Rechts halten auf Sphinxlunet
   44.7 km   Leicht rechts abbiegen
   44.8 km   Rechts abbiegen
   44.9 km   Rechts abbiegen auf Maaspuntweg
   45.2 km   Links abbiegen auf Stenenwal
   45.4 km   Links abbiegen auf Sint Servaasbrug
   45.6 km   Links abbiegen auf Vissersmaas
   45.9 km   Links halten auf De Boompjes
   45.9 km   Links abbiegen
   46.0 km   Links abbiegen
   46.0 km   Links abbiegen
