MAINZ - RÜDESHEIM (ENTLANG FLUSS)    33.9 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Rechts abbiegen auf Adenauer-Ufer
    0.2 km   Rechts abbiegen
    0.2 km   Links abbiegen
    0.3 km   Links abbiegen (follow 1.0 km)
    1.3 km   Rechts halten
    1.4 km   Leicht links abbiegen (follow 1.3 km)
    2.7 km   Links halten
    3.1 km   Rechts abbiegen auf Schiffbauerweg
    3.2 km   Dem Straßenverlauf von An der Helling folgen
    3.2 km   Links abbiegen auf Biebricher Straße, K 648 (follow 1.9 km)
    5.1 km   Im Kreisverkehr Ausfahrt 2 auf Rheingaustraße, K 648 nehmen
    5.2 km   Links abbiegen
    5.3 km   Rechts abbiegen auf Uferstraße
    5.5 km   Links halten
    5.5 km   Rechts halten
    5.6 km   Rechts abbiegen
    5.7 km   Rechts abbiegen
    5.7 km   Links abbiegen
    5.7 km   Rechts halten
    5.9 km   Rechts halten
    5.9 km   Links abbiegen (follow 1.5 km)
    7.4 km   Links abbiegen
    7.4 km   Rechts abbiegen
    7.5 km   Rechts abbiegen
    7.6 km   Links abbiegen
    7.9 km   Dem Straßenverlauf von Hafenweg folgen
    8.6 km   Links abbiegen auf Hafenstraße
    8.9 km   Dem Straßenverlauf von Christian-Bücher-Straße folgen
    9.2 km   Links abbiegen auf Christian-Bücher-Straße
    9.4 km   Links abbiegen
    9.7 km   Scharf rechts abbiegen (follow 1.7 km)
   11.4 km   Links abbiegen
   11.5 km   Dem Straßenverlauf von Johannisfeld folgen
  ★ 12.0 km  [food] Restaurants Niederwalluf
   12.1 km   Rechts abbiegen auf Kirchgasse
   12.3 km   Links abbiegen auf Hauptstraße, K 638
   12.3 km   Rechts abbiegen (follow 2.3 km)
   14.5 km   Leicht rechts abbiegen auf Wallufer Straße, K 638
   14.9 km   Im Kreisverkehr Ausfahrt 1 auf Gutenbergstraße, K 638 nehmen
   15.1 km   Links abbiegen auf Bahnhofstraße
  ★ 15.3 km  [park] Rose Garden
  ★ 15.3 km  [note] Eltville Castle & Tourist Info
  ★ 15.3 km  [restroom] Public toilets Eltville
   15.4 km   Links abbiegen auf Gutenbergstraße, K 638
  ★ 15.6 km  [coffee] Eltville cafes
   15.9 km   Rechts abbiegen auf Matheus-Müller-Platz, K 638
   16.0 km   Links abbiegen auf Matheus-Müller-Straße
   16.2 km   Rechts abbiegen auf Am Rheinufer
   16.5 km   Links abbiegen auf Leinpfad (follow 3.7 km)
  ★ 20.3 km  [restroom] Toilet Rheinschanke
   20.3 km   Links abbiegen auf Auweg
  ★ 20.3 km  [coffee] Rheinschanke
   20.4 km   Links abbiegen auf Leinpfad
  ★ 20.4 km  [rest_stop] picnic benches Rheinschanke
   20.5 km   Links abbiegen auf Leinpfad (follow 3.4 km)
   23.9 km   Rechts halten auf Leinpfad (follow 3.5 km)
   27.4 km   Links abbiegen
   27.5 km   Links halten
   27.6 km   Rechts abbiegen
   28.3 km   Links abbiegen
   28.7 km   Links halten
   29.5 km   Dem Straßenverlauf folgen
   30.2 km   Rechts halten
  ★ 30.7 km  [note] Hindenburg bridge Rüdesheim — ruines, Unesco
   30.7 km   Links abbiegen auf Hindenburgallee (follow 1.1 km)
   31.7 km   Links abbiegen
   31.8 km   Links halten
   32.0 km   Links abbiegen auf Rheinstraße, B 42
  ★ 32.2 km  [note] Rüdesheim
   32.3 km   Rechts abbiegen auf Drosselgasse
  ★ 32.4 km  [see] Drosselgasse
   32.5 km   Rechts abbiegen auf Oberstraße
  ★ 32.6 km  [note] Cable Car Rüdesheim (no bikes) — 2025: € 7,- one way / € 11,- return
   32.7 km   Links halten auf Germaniastraße
  ★ 32.7 km  [winery] Grüne Kranz - wine tasting
   32.8 km   Rechts abbiegen auf An der Ringmauer
  ★ 32.8 km  [bike_parking] Bike Parking for wine tasting
   32.9 km   Rechts abbiegen auf Am Eibinger Tor
  ★ 32.9 km  [monument] Abbey Hildegard von Bingen
   32.9 km   Scharf rechts abbiegen auf Oberstraße
  ★ 32.9 km  [note] Bones of Hildegard
  ★ 32.9 km  [restroom] Toilet of Hildegard
   33.0 km   Links abbiegen auf Schmidtstraße
   33.3 km   Leicht links abbiegen auf Am Adlerturm
   33.3 km   Rechts halten
   33.3 km   Links halten
   33.5 km   Rechts halten
   33.6 km   Rechts abbiegen
   33.9 km   Rechts abbiegen
  ★ 33.9 km  [dock/stay] Docking Rüdesheim
