MAINZ - RÜDESHEIM (VIA WINELANDS)    34.8 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn right onto Adenauer-Ufer
    0.3 km   Turn right
    0.3 km   Turn left
    0.3 km   Turn left (follow 1.1 km)
    1.4 km   Turn left onto Rampenstraße
    1.5 km   Turn sharp right
    2.2 km   Turn right
    2.2 km   Turn left onto Eleonorenstraße (follow 1.0 km)
    3.2 km   Turn right onto Schiffbauerweg
    3.3 km   Turn left onto Biebricher Straße, K 648 (follow 1.9 km)
    5.2 km   At roundabout, take exit 2 onto Rheingaustraße, K 648
    5.3 km   Turn left
    5.4 km   Turn right onto Uferstraße
    5.8 km   Turn left
    6.0 km   Turn slight left (follow 1.5 km)
    7.5 km   Turn left
    7.5 km   Turn right
    7.6 km   Turn right
    7.7 km   Turn left
    7.7 km   Make a U-turn
    8.0 km   Continue onto Hafenweg
    8.6 km   Turn slight left
    8.7 km   Turn left onto Hafenstraße
    9.3 km   Turn left onto Christian-Bücher-Straße
    9.5 km   Turn left
    9.8 km   Turn sharp right
   10.6 km   Turn sharp left
   11.5 km   Turn left onto Johannisfeld
  ★ 12.0 km  [food] Restaurants Niederwalluf
   12.1 km   Turn right onto Kirchgasse
   12.2 km   Turn left onto Kirchgasse
   12.3 km   Turn left onto Hauptstraße
   12.8 km   Turn right (follow 1.8 km)
   14.6 km   Turn slight right onto Wallufer Straße
   14.9 km   Keep right onto Gutenbergstraße
   15.0 km   At roundabout, take exit 1 onto Gutenbergstraße
   15.2 km   Turn sharp left onto Bahnhofstraße
   15.3 km   Make a U-turn onto Burgstraße
  ★ 15.3 km  [note] Eltville Castle & Tourist Info
  ★ 15.3 km  [park] Rose Garden
  ★ 15.3 km  [restroom] Public toilets Eltville
  ★ 15.3 km  [bike_parking] Bike parking Eltville
   15.5 km   Turn left onto Gutenbergstraße
  ★ 15.7 km  [coffee] Eltville, cafes
   16.0 km   Turn right onto Matheus-Müller-Platz
   16.1 km   Turn left onto Matheus-Müller-Straße
   16.3 km   Turn right onto Am Rheinufer
   16.6 km   Turn left onto Leinpfad (follow 3.7 km)
  ★ 20.3 km  [restroom] Toilet Rheinschanke
   20.4 km   Turn left onto Auweg
  ★ 20.4 km  [coffee] Rheinschanke
   20.4 km   Turn left onto Leinpfad
  ★ 20.5 km  [rest_stop] picnic benches Rheinschanke
   20.5 km   Turn left onto Leinpfad (follow 2.5 km)
   23.1 km   Turn right
   23.2 km   Continue onto Gartenstraße
   23.3 km   Turn left onto Rheingaustraße
   23.5 km   Sla rechtsaf naar Grenzstraße
   23.9 km   Sla linksaf
   24.3 km   Sla linksaf richting Gänsbaumstraße
   24.4 km   Turn left onto Gänsbaumstraße
   24.5 km   Turn right onto Urbanstraße
   25.4 km   Turn sharp left onto Peter-Spahn-Straße
   25.5 km   Turn right onto Schnitterweg
   25.7 km   Turn left onto Greiffenclaustraße
   25.9 km   Turn right onto Johannisberger Straße
   26.0 km   Turn left
   26.0 km   Turn right onto Märzackerweg (follow 1.5 km)
   27.5 km   Turn left onto Grund
   27.8 km   Turn right
   28.6 km   Turn right
   28.8 km   Turn sharp left (follow 1.2 km)
   30.0 km   Continue onto Nothgottesstraße
   30.5 km   Turn slight right onto Eibinger Weg (follow 1.9 km)
  ★ 32.1 km  [monument] Abbey Hildegard von Bingen
  ★ 32.1 km  [restroom] Toilet of Hildegard
  ★ 32.2 km  [note] Bones of Hildegard
   32.5 km   Turn left onto Eibinger Straße
   32.6 km   Turn left onto Zum Niederwald-Denkmal, L 3034
   32.7 km   Turn right onto Oberstraße
   32.7 km   Turn left onto Schmidtstraße
   32.9 km   Turn right onto Kirchstraße
   33.0 km   Turn left onto Markt
  ★ 33.0 km  [note] Rüdesheim
   33.1 km   Turn right onto Rheinstraße, B 42
   33.3 km   Turn right onto Drosselgasse
  ★ 33.4 km  [see] Drosselgasse
   33.4 km   Make a U-turn onto Drosselgasse
   33.4 km   Turn right onto Oberstraße
  ★ 33.5 km  [note] Cable Car Rüdesheim (no bikes) — 2025: € 7,- one way / € 11,- return
   33.7 km   Turn slight left onto Germaniastraße
  ★ 33.7 km  [winery] Grüne Kranz - wine tasting
   33.7 km   Turn right onto An der Ringmauer
  ★ 33.8 km  [bike_parking] Bike Parking for wine tasting
   33.8 km   Turn right onto Am Eibinger Tor
   33.9 km   Turn sharp right onto Oberstraße
   33.9 km   Turn left onto Schmidtstraße
   34.2 km   Turn slight left onto Am Adlerturm
   34.5 km   Turn right
   34.8 km   Turn right
  ★ 34.8 km  [dock/stay] Docking Rüdesheim
