MAINZ - WINNINGEN - BURG ELTZ - TREIS-KARDEN (VIA ELTZ)    39.3 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn sharp right
    0.2 km   Turn right onto Am Moselufer
    0.3 km   Turn left onto Weinhof
    0.5 km   Turn left onto Marktstraße
    1.0 km   Continue onto Jahnstraße
    1.0 km   Continue onto Uhlenweg (follow 4.5 km)
    5.5 km   Turn left onto Marktstraße
    5.8 km   Turn slight left onto Marktplatz
    5.9 km   Turn left onto Fährstraße
    5.9 km   Turn right onto Moselweg
    6.1 km   Keep right onto Bahnhofstraße and drive toward Koblenz LKW Bus, Cohem LKW Bus, Lehmen LKW Bus, Gondorf, Dreckenach, Schloß Liebig (follow 2.2 km)
    8.3 km   Turn left onto Maifeldstraße
    8.8 km   Turn slight left onto Hauptstraße and drive toward Moselsürsch, Lehmen, Burg Pyrmonth
    9.1 km   Turn left onto Hauptstraße
    9.3 km   Turn left onto Hauptstraße (follow 2.8 km)
   12.1 km   Turn sharp left onto Schieferbergwerk
   12.1 km   Turn right onto B 416
   13.0 km   Turn sharp right onto Mühlstraße
   13.1 km   Continue onto Oberdorfstraße
   13.3 km   Turn right onto Oberdorfstraße
   13.4 km   Turn left onto Panoramastraße
  ★ 13.5 km  [coffee] Panorama Cafe
   13.5 km   Turn right onto Moselufer and take B 416 toward Cochem, Treis-Karden (follow 1.2 km)
   14.7 km   Keep right onto Winninger Straße and take B 416 toward Cochem, Treis-Karden, Hatzenport (follow 3.1 km)
   17.8 km   Turn right onto Moselstraße
   17.8 km   Turn left onto Moselstraße
   18.0 km   Turn right onto Neuer Weg
   18.0 km   Turn left onto Oberstraße
  ★ 18.4 km  [transit] Shuttlebus to Castle Eltz
   18.4 km   Turn left onto Maifeldstraße
   18.5 km   Turn right onto Moselstraße
   19.2 km   Turn left
   19.6 km   Turn right onto B 416 (follow 3.1 km)
   22.7 km   Turn right onto B 416
   23.4 km   Turn right onto K 33 and drive toward Münstermaifeld, Moselkern
   23.5 km   Turn left onto Oberstraße
  ★ 23.5 km  [water] Water tap[
   23.6 km   Turn left onto Zehnthofstraße
   23.6 km   Turn right onto Moselstraße
   23.9 km   Turn right onto Kirchstraße
   24.0 km   Turn left onto Oberstraße
   24.0 km   Turn right onto Elztal (follow 3.2 km)
  ★ 26.0 km  [food] Ringelsteiner Mühle — Hotel Restaurant
  ★ 26.3 km  [bike_parking] Bike parking spot — Lock your bike and go for a walk to the Castle.
   27.3 km   Turn left
   28.2 km   Turn right
  ★ 28.2 km  [restroom] Public restroom
   28.3 km   Turn slight left onto Burg Eltz
  ★ 28.4 km  [see] Castle Eltz — Castle form 12th century. Interesting architecture and history.  Entrance fee € 14,=. including guided tour.
   28.6 km   Turn left
   29.5 km   Turn right (follow 3.2 km)
   32.7 km   Turn left onto Oberstraße
   32.8 km   Turn right onto Kirchstraße
   32.8 km   Turn right onto Moselstraße
  ★ 32.8 km  [restroom] Public Restroom
  ★ 32.8 km  [food] Kleines Kaffeehaus — Café Restaurant
   33.1 km   Turn slight right onto Moselkerner Weg (follow 1.7 km)
   34.9 km   Turn slight left onto Hauptstraße
  ★ 35.1 km  [coffee] Hotel Sewenig — With terrace
   35.4 km   Continue onto Im Lehn
   35.9 km   Turn left
   35.9 km   Turn right onto B 416 (follow 2.8 km)
   38.7 km   Turn left onto B 49 and take B 49 toward Koblenz, Treis
   38.9 km   Keep right onto Brückenstraße
   38.9 km   At roundabout, take exit 1 onto Brückenstraße
   39.2 km   Turn right onto Welsbachstraße
  ★ 39.2 km  [bar] Horeca Treis
  ★ 39.3 km  [dock/stay] Mooring Treis-Karden
  ★ 39.3 km  [finish] Treis Karden
