MAINZ - WINNINGEN - BURG ELTZ - TREIS - KARDEN (VIA ELTZ)    39.3 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Ga rechtsaf
    0.2 km   Rechtsaf naar Am Moselufer
    0.3 km   Linksaf naar Weinhof
    0.5 km   Ga linksaf naar Marktstraße
    1.0 km   Blijf op Jahnstraße (follow 4.5 km)
    5.5 km   Linksaf naar Marktstraße
    5.8 km   Houd links aan naar Marktplatz
    5.9 km   Linksaf naar Fährstraße
    5.9 km   Rechtsaf naar Moselweg
    6.1 km   Houd rechts aan naar Bahnhofstraße and drive toward Koblenz LKW Bus, Cohem LKW Bus, Lehmen LKW Bus, Gondorf, Dreckenach, Schloß Liebig (follow 2.2 km)
    8.3 km   Linksaf naar Maifeldstraße
    8.8 km   Houd links aan naar Hauptstraße and drive toward Moselsürsch, Lehmen, Burg Pyrmonth
    9.1 km   Linksaf naar Hauptstraße
    9.3 km   Linksaf naar Hauptstraße
    9.5 km   Linksaf
    9.6 km   Linksaf
    9.6 km   Rechtsaf
    9.7 km   Houd rechts aan naar B 416 (follow 3.3 km)
   13.0 km   Linksaf naar Mühlstraße
   13.1 km   Blijf op Oberdorfstraße
   13.3 km   Rechtsaf naar Moselufer (follow 1.5 km)
  ★ 13.6 km  [coffee] Panorama Cafe
   14.8 km   Houd rechts aan naar Winninger Straße and take B 416 toward Cochem, Treis-Karden, Hatzenport (follow 2.7 km)
   17.5 km   Houd rechts aan
   18.0 km   Linksaf naar Neuer Weg
   18.1 km   Linksaf naar Oberstraße
   18.5 km   Rechtsaf naar B 416 and take B 416 toward Cochem, Treis-Karden (follow 4.8 km)
  ★ 18.6 km  [transit] Shuttlebus to Castle Eltz
   23.3 km   Houd rechts aan naar Moselstraße
  ★ 23.4 km  [water] Water tap[
   23.8 km   Rechtsaf naar Kirchstraße
  ★ 23.8 km  [food] Kleines Kaffeehaus — Café Restaurant
  ★ 23.8 km  [restroom] Public Restroom
   23.9 km   Linksaf naar Oberstraße
   23.9 km   Rechtsaf naar Elztal (follow 3.2 km)
  ★ 25.9 km  [food] Ringelsteiner Mühle — Hotel Restaurant
  ★ 26.3 km  [bike_parking] Bike parking spot — Schließen Sie Ihr Fahrrad ab und machen Sie einen Spaziergang zum Schloss.
   27.2 km   Linksaf
   28.1 km   Rechtsaf
  ★ 28.1 km  [restroom] Public restroom
   28.3 km   Houd links aan naar Burg Eltz
  ★ 28.3 km  [see] Castle Eltz — Burg aus dem 12. Jahrhundert. Interessante Architektur und Geschichte.  Eintrittspreis 14 € inklusive Führung.
   28.3 km   Houd rechts aan
   28.5 km   Linksaf
   28.6 km   Houd links aan
   29.4 km   Rechtsaf
   30.2 km   Houd links aan (follow 2.4 km)
   32.6 km   Rechtsaf naar Oberstraße
   32.7 km   Ga rechtsaf naar Moselstraße
   32.9 km   Linksaf naar Moselstraße
   32.9 km   Houd rechts aan naar Moselstraße
   32.9 km   Houd rechts aan naar Moselstraße and take B 416 toward Cochem, Treis-Karden
   33.0 km   Houd rechts aan naar B 416 (follow 2.0 km)
   34.9 km   Rechtsaf naar Hauptstraße
   35.1 km   Rechtsaf naar Hauptstraße
  ★ 35.1 km  [coffee] Hotel Sewenig — With terrace
   35.2 km   Linksaf naar Hauptstraße
   35.4 km   Blijf op Hauptstraße
   35.5 km   Linksaf naar Hauptstraße
   35.5 km   Rechtsaf
   35.6 km   Linksaf
   35.6 km   Rechtsaf naar B 416 (follow 3.1 km)
   38.7 km   Linksaf naar B 49 and take B 49 toward Koblenz, Treis
   38.9 km   Houd rechts aan naar Brückenstraße
   39.0 km   Neem afslag 1 naar Brückenstraße
   39.2 km   Rechtsaf naar Welsbachstraße
  ★ 39.3 km  [bar] Horeca Treis
  ★ 39.3 km  [dock/stay] Mooring Treis-Karden
  ★ 39.3 km  [finish] Treis Karden
