MAINZ - WINNINGEN - BURG ELTZ - TREIS KARDEN (VIA ALKEN)    36.0 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn sharp right
    0.2 km   Turn right onto Am Moselufer
    0.3 km   Turn left onto Weinhof
    0.5 km   Turn left onto Marktstraße
    1.0 km   Continue onto Jahnstraße
    1.0 km   Continue onto Uhlenweg (follow 4.5 km)
    5.5 km   Turn left onto Marktstraße
    5.8 km   Turn slight left onto Marktplatz
    5.9 km   Turn left onto Fährstraße
    5.9 km   Turn right onto Moselweg
    6.1 km   Keep right onto Bahnhofstraße and drive toward Koblenz LKW Bus, Cohem LKW Bus, Lehmen LKW Bus, Gondorf, Dreckenach, Schloß Liebig (follow 2.2 km)
    8.3 km   Turn left onto Maifeldstraße
    8.8 km   Turn slight left onto Hauptstraße and drive toward Moselsürsch, Lehmen, Burg Pyrmonth
    9.1 km   Turn left onto Hauptstraße
    9.3 km   Turn left onto Hauptstraße (follow 2.8 km)
   12.1 km   Turn sharp left onto Schieferbergwerk
   12.1 km   Turn right onto B 416
   13.0 km   Turn sharp right onto Mühlstraße
   13.1 km   Continue onto Oberdorfstraße
   13.3 km   Turn right onto Oberdorfstraße
   13.4 km   Turn left onto Panoramastraße
  ★ 13.5 km  [coffee] Panorama Cafe
   13.5 km   Turn right onto Moselufer and take B 416 toward Cochem, Treis-Karden (follow 1.2 km)
   14.7 km   Keep right onto K 41 and take B 49 toward Alken, Brodenback, Burg Thurant, Ehrenburg
   14.8 km   Continue onto K 41
   15.3 km   Keep right onto K 41 and take B 49 toward Koblenz
   15.4 km   Turn slight right onto Moselstraße
  ★ 15.6 km  [caution] Park the bikes and walk or cycle up to Burcht Thurant
   15.6 km   Keep right onto B 49 and drive toward Boppard, Nörtershausen, Ehrenburg, Burg Thurant (follow 1.1 km)
   16.7 km   Turn sharp left onto Burg Thurant (follow 1.4 km)
  ★ 17.4 km  [see] Burg Thurant
   18.1 km   Turn sharp right onto L 207 and drive toward Alken
   18.1 km   Turn right onto Vor Thurant
   18.8 km   Turn right onto Oberstraße
   19.0 km   Turn left onto Von-Wiltberg-Straße
   19.0 km   Turn left onto Moselstraße
  ★ 19.1 km  [coffee] Burg Cafe Alken
   19.2 km   Turn left onto Moselstraße
   20.1 km   Keep right onto B 49 and take B 49 toward Cochem, Treis-Karden (follow 1.6 km)
  ★ 21.7 km  [restroom] Public Restroom
   21.8 km   Turn right
   22.3 km   Turn slight right onto Moselufer (follow 4.0 km)
   26.3 km   Keep right onto B 49 (follow 8.7 km)
  ★ 28.4 km  [coffee] Hotel Sewenig — With terrace
   34.9 km   Enter roundabout
   34.9 km   At roundabout, take exit 1 onto Brückenstraße
   35.2 km   Turn left onto Kastellauner Straße and drive toward Kastellaun, Lieg
   35.4 km   Turn right onto Johannesstraße
   35.5 km   Turn right onto Kirchstraße
  ★ 35.6 km  [bike_parking] Take a walk around Markt
   35.6 km   Turn right onto Katharinenstraße
   35.6 km   Turn right onto Am Rathaus
  ★ 35.7 km  [bar] Horeca Treis
   35.9 km   Turn left onto Welsbachstraße
  ★ 36.0 km  [finish] Treis Karden
  ★ 36.0 km  [dock/stay] Mooring Treis-Karden
