MAKKUM - FRANEKER - HARLINGEN (VIA BOLSWARD)    45.7 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Ligplaats Makkum
    0.0 km   Turn right onto Achterdijkje
    0.1 km   Turn sharp left onto Achterdijkje
    0.1 km   Turn sharp right onto Achterstraat
    0.1 km   Turn left onto Kerkstraat
    0.4 km   Turn right onto Dominee L. Touwenlaan
    0.9 km   Turn left onto Weersterweg
    1.4 km   Turn right onto Hemmensweg
  ★ 1.5 km  [convenience_store] Melktap
    2.2 km   Turn left onto Meerswal
    2.4 km   Turn right onto Meerswal (follow 1.0 km)
    3.4 km   Turn right
    4.0 km   Continue onto Bruindeer (follow 1.1 km)
    5.1 km   Turn slight right onto Dorpsstraat
    5.3 km   Turn right onto Bolswarderweg
    5.5 km   Turn left onto Bolswarderweg (follow 3.2 km)
    8.7 km   Turn right
    8.8 km   Turn left onto Harlingerstraat
    9.5 km   Turn left onto Achter de Smeden
  ★ 9.5 km  [note] Bolsward
    9.5 km   Turn right onto Appelmarkt
    9.7 km   Turn left onto Rijkstraat
   10.2 km   Continue onto Franekerstraat
   10.6 km   Turn right onto Franekereind (follow 2.9 km)
   13.5 km   Turn left onto Schoolstraat
   13.7 km   Turn right onto Sjungadijk (follow 1.0 km)
   14.7 km   Turn right (follow 1.1 km)
  ★ 15.3 km  [see] Molen
   15.8 km   Turn left onto Slachte
   16.5 km   Turn left onto Littenserbuorren
   17.0 km   Turn right onto Slachte (follow 5.3 km)
   22.3 km   Turn right onto Lollumerweg
   22.7 km   Turn right onto Laakwerd (follow 2.3 km)
   25.0 km   Turn left onto Holprijp (follow 1.5 km)
   26.5 km   Turn right onto Lollumerweg
   26.8 km   Turn left onto Hitzumerweg (follow 1.2 km)
   28.0 km   Turn right onto Binnenpad
   28.8 km   Turn right onto Hitzumer Binnenpad (follow 1.9 km)
   30.7 km   Turn sharp left
   30.8 km   Turn right
   30.9 km   Turn left onto Anna Maria van Schurmansingel
   31.3 km   Keep left onto Leeuwarderend
   31.3 km   Turn left
   31.4 km   Turn slight right onto Leeuwarderend
   31.4 km   Turn right onto Zilverstraat
   31.5 km   Turn right onto Zilverstraat
   31.5 km   Turn left onto Eise Eisingastraat
   31.7 km   Turn left onto Raadhuisplein
  ★ 31.7 km  [see] Eise Eisinga Planetarium
   31.7 km   Turn left onto Groenmarkt
  ★ 31.7 km  [note] Franeker
   31.8 km   Turn left
   31.8 km   Turn left onto Eise Eisingastraat
   31.9 km   Turn left onto Raadhuisplein
   31.9 km   Turn right onto Voorstraat
   32.2 km   Turn left onto Vijverstraat
   32.5 km   Keep right onto Harlingerweg
   32.9 km   Turn left
   33.0 km   Turn left onto Harlingerweg
   33.2 km   Turn left onto Frisia
   33.2 km   Turn left onto Harlingerweg
   33.4 km   Turn right onto Harlingerweg (follow 2.5 km)
   35.9 km   Turn right (follow 2.5 km)
   38.4 km   Keep left onto Miedleane
   38.5 km   Turn left onto Foarryp
   39.2 km   Turn right onto Terp
  ★ 39.3 km  [restroom] Openbaar toilet Wijnaldum
   39.7 km   Turn sharp left onto Tsjerkepaed
   39.8 km   Turn right
   39.9 km   Turn right onto Alde Leane
   39.9 km   Turn left onto Alde Leane (follow 1.4 km)
   41.4 km   Turn left onto Kerkstraat
   41.5 km   Turn right onto Fonteinstraat
   41.7 km   Turn right onto Harlingerstraatweg
   41.8 km   Turn left onto Beatrixlaan
   41.8 km   Turn right onto Harlingerstraatweg
   42.0 km   Turn left
   42.4 km   Turn left
   43.4 km   Turn right
   43.5 km   Continue onto Kanaalweg
   44.3 km   Turn left onto Zuidoostersingel
   44.6 km   Turn right onto Stationsweg
   45.3 km   Turn right onto Nieuwe Willemshaven
   45.7 km   Turn left
