MALMÖ CITY ROUNDTOUR    25.8 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [finish] 211 20 Malmö — Hamnen, 211 20 Malmö, Sweden
    0.1 km   Rechts abbiegen zum Skeppsbron
  ★ 0.2 km  [note] Skeppsbron — Donkey Republic, Skeppsbron, 211 20 Malmö, Sweden
    0.2 km   Links abbiegen
    0.3 km   Schräg rechts
    0.4 km   Rechts abbiegen
  ★ 0.4 km  [note] Central station
    0.6 km   Links abbiegen
    0.7 km   Rechts abbiegen
    0.9 km   Schräg links
    0.9 km   Schräg rechts
    1.0 km   Links abbiegen
    1.1 km   Schräg links
    1.2 km   Rechts abbiegen
  ★ 1.5 km  [monument] Malmöhus Slott — Malmö Castle, Malmöhusvägen 6, 211 18 Malmö, Sweden
    1.6 km   Rechts abbiegen
    1.6 km   Rechts abbiegen
    1.7 km   Schräg rechts
    2.0 km   Rechts abbiegen
    2.5 km   Rechts abbiegen
    2.5 km   Links abbiegen
    2.6 km   Schräg rechts
    2.7 km   Links abbiegen
    2.8 km   Rechts abbiegen
    3.2 km   Rechts abbiegen
    3.5 km   Rechts abbiegen
    3.6 km   Links abbiegen
    3.9 km   Links abbiegen
    3.9 km   Rechts abbiegen
    4.1 km   Geradeaus weiterfahren
    4.5 km   Schräg links
    5.3 km   Schräg links
    5.7 km   Links abbiegen
    5.7 km   Rechts abbiegen
    5.8 km   Links abbiegen
    5.9 km   Schräg rechts
    6.0 km   Rechts abbiegen
    6.2 km   Links abbiegen
    6.5 km   Rechts abbiegen
    6.6 km   Geradeaus weiterfahren
    6.9 km   Links abbiegen
    7.0 km   Rechts abbiegen
    7.4 km   Schräg rechts
    7.6 km   Links abbiegen
    8.3 km   Links abbiegen
    8.4 km   Rechts abbiegen
    8.7 km   Links abbiegen
    9.3 km   Links abbiegen
    9.5 km   Links abbiegen
    9.6 km   Rechts abbiegen
    9.6 km   Links abbiegen
  ★ 9.6 km  [shopping] Emporia Shopping Center — Emporia Shopping Center, Hyllie Boulevard 19, 215 32 Malmö, Sweden
    9.7 km   Rechts abbiegen
    9.7 km   Links abbiegen
    9.8 km   Rechts abbiegen
   10.1 km   Schräg links
   10.1 km   Schräg links
   10.9 km   Geradeaus weiterfahren
   11.1 km   Links abbiegen
   11.4 km   Geradeaus weiterfahren
   11.9 km   Links abbiegen, Straße überqueren und auf den Radweg fahren
   12.3 km   Geradeaus auf Radweg
   13.1 km   Links abbiegen
   13.2 km   Links abbiegen
   13.3 km   Geradeaus auf Radweg
   14.3 km   Rechts abbiegen
   15.1 km   Links abbiegen
   15.1 km   Rechts abbiegen
   15.1 km   Links abbiegen
   15.7 km   Schräg rechts
   15.8 km   Rechts abbiegen
   15.9 km   Schräg rechts
  ★ 16.1 km  [see] Utsiktsvägen 10 viewpoint Oresund bridge — Utsiktsvägen 10, 216 30 Limhamn, Sweden
   16.2 km   Schräg links
   16.4 km   Rechts abbiegen
   16.4 km   Schräg rechts
   16.7 km   Schräg rechts
   16.8 km   Schräg rechts
   16.8 km   Scharf links
   16.9 km   Schräg rechts
   16.9 km   Schräg rechts
   17.0 km   Links abbiegen
   17.7 km   Links abbiegen (follow 1.5 km)
   19.2 km   Rechts abbiegen
   19.2 km   Rechts abbiegen
   19.4 km   Schräg links
   19.6 km   Links abbiegen
   19.7 km   Rechts abbiegen
   19.9 km   Links abbiegen
   19.9 km   Rechts abbiegen
   20.4 km   Rechts abbiegen
   20.4 km   Links abbiegen (follow 3.0 km)
  ★ 22.0 km  [swimming] Ribersborg Beach — Ribersborgsstigen 6, 216 13 Limhamn, Sweden
   23.4 km   Schräg links
   23.4 km   Links abbiegen
   23.7 km   Schräg links
   23.9 km   Links abbiegen
   24.3 km   Rechts abbiegen
  ★ 24.3 km  [note] Turning Torso — Turning Torso, Lilla Varvsgatan 14, 211 15 Malmö, Sweden
   24.3 km   Schräg rechts
   24.6 km   Geradeaus; Strasse überqueren auf Radweg
   24.6 km   Rechts abbiegen
   24.8 km   Rechts abbiegen; Strasse überqueren
   24.9 km   Rechts abbiegen
   24.9 km   Rechts abbiegen
   25.1 km   Rechts abbiegen
   25.1 km   Links abbiegen
   25.5 km   Links abbiegen
  ★ 25.8 km  [dock/stay] Mooring (?)
   25.8 km   Links abbiegen
   25.8 km   Schräg links zum Ångbåtsbron
