MARINA CAPO D'ORLANDO - GIOIOA MAREA    19.3 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn right
    0.1 km   At roundabout, take exit 2 onto Contrada Bagnoli
    0.6 km   Turn right onto Via Tindaro Domiano, SP148/c
  ★ 0.6 km  [water] Water tap
    0.9 km   Turn right onto Via Nazionale Messina, SS113 (follow 4.4 km)
    5.3 km   At roundabout, take exit 2 onto Via Statale, SS113
    5.7 km   At roundabout, take exit 1 onto Via Vittorio Emanuele III, SS113
    6.0 km   Make a U-turn onto Via Vittorio Emanuele III, SS113
  ★ 6.0 km  [food] Alla Ricerca Dei Sapori
  ★ 6.1 km  [food] Pasticceria - Gelateria Ignazio Raffaele
    6.1 km   Turn left onto Via Dante Alighieri
    6.3 km   Continue onto Via Vittorio Veneto
    6.3 km   Turn left onto Via Vittorio Veneto
    6.4 km   Turn right onto Via Don Santo
    6.4 km   Make a U-turn onto Via Don Santo
  ★ 6.4 km  [monument] Castello di Brolo
  ★ 6.4 km  [monument] Castello di Brolo
    6.6 km   Turn right onto Via Sottogrotte
    6.8 km   Turn left onto Via Arturo Toscanini
    6.9 km   Turn right onto Via Santa Barbara
  ★ 7.4 km  [water] Water tap
    7.5 km   Turn left
  ★ 7.6 km  [bike_parking] Take dive in the beautifull beaches of Brolo
  ★ 7.6 km  [swimming] Beach
    7.7 km   Turn right onto Lungomare Ammiraglio Luigi Rizzo
    7.8 km   Turn right onto Lungomare Ammiraglio Luigi Rizzo
    7.9 km   Make a U-turn onto Lungomare Ammiraglio Luigi Rizzo
    7.9 km   Turn left onto Lungomare Ammiraglio Luigi Rizzo
    8.0 km   Turn left
    8.6 km   Turn sharp right
    8.6 km   Turn sharp left onto Lungomare Ammiraglio Luigi Rizzo
    9.4 km   At roundabout, take exit 3 onto Strada statale Settentrionale Sicula, SS113 (follow 5.9 km)
  ★ 10.2 km  [water] Water tap
  ★ 13.4 km  [water] Water tap
   15.3 km   Turn left onto Vico di Via Umberto I
   15.3 km   Turn slight left
   15.4 km   Turn right onto Via Giuseppe Garibaldi
   15.9 km   Turn sharp left onto Via Umberto I, SS113 (follow 2.7 km)
   18.6 km   Turn sharp left
