MAZZARÒ TAORMINA - GOLE ALCANTARA 67.5KM DEU 2025 ALT    67.9 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Rechts abbiegen (follow 3.1 km)
    3.1 km   Schräg links
    3.2 km   Rechts abbiegen (follow 1.5 km)
    4.7 km   Links abbiegen
    4.7 km   Rechts abbiegen
    5.2 km   Schräg rechts
    5.2 km   Links abbiegen
    5.4 km   Rechts abbiegen
    5.5 km   Schräg rechts
    5.5 km   Links abbiegen
    5.7 km   Schräg links
    6.4 km   Schräg links
    7.1 km   Links abbiegen
    7.1 km   Rechts abbiegen
    7.3 km   Links abbiegen
    8.1 km   Rechts abbiegen
    8.3 km   Links abbiegen
    8.3 km   Rechts abbiegen
    8.4 km   Rechts abbiegen
    8.5 km   Links abbiegen
    8.9 km   Schräg rechts (follow 3.2 km)
   12.0 km   Geradeaus weiterfahren
   12.2 km   Rechts abbiegen
   12.2 km   Links abbiegen
   12.2 km   Rechts abbiegen
   12.3 km   Links abbiegen
   12.4 km   Rechts abbiegen
   12.5 km   Scharf links
   12.7 km   Am Kreisverkehr nehmen Sie die Ausfahrt 2 auf die Piazza Duca D'Aosta
   12.8 km   Rechts abbiegen
   12.8 km   Links abbiegen
   12.9 km   Rechts abbiegen
   13.2 km   Links abbiegen
   13.2 km   Schräg rechts
   13.2 km   Rechts abbiegen
   13.5 km   Schräg rechts (follow 1.0 km)
   14.5 km   Scharf links (follow 4.9 km)
   19.4 km   Rechts abbiegen
   19.5 km   Rechts abbiegen
   19.8 km   U Turn
   20.0 km   Links abbiegen
   20.0 km   Rechts abbiegen (follow 2.1 km)
   22.2 km   Rechts abbiegen
   22.4 km   Links abbiegen (follow 7.3 km)
   29.7 km   Rechts abbiegen
   29.9 km   Rechts abbiegen
   30.0 km   Links abbiegen (follow 1.3 km)
   31.3 km   Scharf rechts
   31.3 km   Links abbiegen (follow 1.7 km)
   33.0 km   Rechts abbiegen (follow 2.1 km)
   35.1 km   Geradeaus weiterfahren (follow 2.8 km)
   37.9 km   Rechts abbiegen
   38.5 km   Geradeaus weiterfahren
   38.6 km   Schräg links
   38.9 km   Rechts abbiegen (follow 2.0 km)
   40.9 km   Links abbiegen
   40.9 km   Schräg links
   41.1 km   Rechts abbiegen
   41.8 km   Schräg links
   41.9 km   Links abbiegen
   42.0 km   Rechts abbiegen
   42.0 km   Links abbiegen
   42.4 km   Links abbiegen
   42.5 km   Rechts abbiegen
   42.5 km   Links abbiegen
   42.5 km   Rechts abbiegen
   42.6 km   Links abbiegen
   42.7 km   Rechts abbiegen
   42.8 km   Links abbiegen
   42.9 km   Links abbiegen
   43.7 km   Kreisverkehr betreten
   44.0 km   Links abbiegen
   44.1 km   Rechts abbiegen
   44.7 km   Geradeaus weiterfahren (follow 1.4 km)
   46.1 km   Rechts abbiegen (follow 1.8 km)
   47.9 km   Links abbiegen (follow 5.0 km)
   52.9 km   Am Kreisverkehr nehmen Sie die Ausfahrt 3 (follow 6.1 km)
   59.0 km   Rechts abbiegen (follow 1.7 km)
   60.7 km   Schräg links
   60.8 km   Rechts abbiegen
   61.5 km   Kreisverkehr betreten (follow 2.1 km)
   63.6 km   Schräg rechts
   63.7 km   Links abbiegen
   64.1 km   Links abbiegen
   64.1 km   Rechts abbiegen
   64.3 km   Links abbiegen
   64.6 km   Links abbiegen
   65.3 km   Links abbiegen (follow 1.3 km)
   66.6 km   Schräg links
   66.9 km   Links abbiegen
   66.9 km   Rechts abbiegen
   67.2 km   Rechts abbiegen
   67.2 km   Links abbiegen
   67.5 km   Links abbiegen
   67.7 km   Links abbiegen
   67.8 km   Links abbiegen
   67.8 km   Rechts abbiegen
   67.8 km   Scharf links
   67.9 km   Schräg links, Ende der Radtour
