MEDEMBLIK - ANDIJK -ENKHUIZEN    38.7 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Ligplaats Medemblik
  ★ 0.1 km  [see] Stoomgemaal Museum
    0.6 km   Rechtsaf
    1.1 km   Houd links aan naar KP 22
    1.2 km   Houd links aan en dan de 2e rechts naar KP 22
    1.2 km   Rechtsaf
    1.4 km   Houd links aan naar Oudevaartsgat
    1.5 km   Linksaf naar Pekelharinghaven
  ★ 1.5 km  [see] Kasteel Radboud — 13e eeuw
    1.6 km   Rechtsaf naar Pekelharinghaven
    1.9 km   Rechtsaf naar Hoogesteeg
  ★ 2.4 km  [note] Medemblik Winkelcentrum
  ★ 2.4 km  [see] Bakkerijmuseum
  ★ 2.5 km  [dock/stay] Ligplaats Medemblik Treinstation
  ★ 2.5 km  [note] Oude treinstation — tegenwoordig toeristische stoomtrein naar Hoorn in de zomer
    2.8 km   Linksaf naar Ridderstraat
    3.3 km   Linksaf naar Keern
    3.4 km   Houd rechts aan
    3.6 km   Rechtsaf naar KP 69
    4.0 km   Houd rechts aan naar Almereweg
    4.1 km   Rechtsaf
    4.2 km   Houd links aan naar Dissel
    4.2 km   Linksaf naar Almereweg (follow 1.1 km)
    5.4 km   Rechtsaf naar De Oude Stiek
    5.5 km   Rechtsaf naar De Oude Stiek
    5.6 km   Linksaf naar De Oude Stiek
    5.8 km   Rechtdoor naar De Waarde
    5.9 km   Linksaf naar Kerkebuurt
  ★ 6.0 km  [note] Opperdoes — bekend van de Opperdoes Aardappelen
    6.5 km   Linksaf naar Nieuweweg (follow 1.5 km)
  ★ 7.7 km  [note] Stoomtrein naar Hoorn
    8.0 km   Rechtsaf naar Dorpsweg (follow 1.1 km)
  ★ 8.1 km  [note] Twisk — Authentiek dorp met oude boerderijen
    9.1 km   Linksaf naar Coenplein
    9.2 km   Rechtsaf naar Coenplein (follow 2.3 km)
   11.5 km   Linksaf naar Broerdijk
   12.2 km   Rechtsaf
   12.6 km   Rechtsaf naar Broerdijk
   12.7 km   Linksaf naar Oostwouder Dorpsstraat (follow 1.8 km)
   14.5 km   Rechtsaf naar Hazeweel (follow 1.2 km)
   15.7 km   Linksaf
   16.1 km   Houd rechts aan (follow 1.2 km)
   17.3 km   Rechtsaf naar KP 56
   18.0 km   Linksaf naar Vok Koomenweg (follow 1.9 km)
   19.8 km   Linksaf naar Simon Koopmanstraat
  ★ 19.8 km  [note] Wervershoof Centrum
   20.5 km   Rechtsaf naar Kagerbos (follow 1.4 km)
   21.9 km   Rechtsaf naar Kagerdijk
   21.9 km   Linksaf naar Omringdijk (follow 1.0 km)
  ★ 22.2 km  [swimming] Strand
   23.0 km   Houd links aan naar Waterkeringpad
   23.2 km   Rechtdoor naar Waterkeringpad (follow 1.1 km)
  ★ 24.2 km  [food] Restaurant 1619
   24.2 km   Rechtsaf naar Nieuwe Haven
   24.4 km   Rechtsaf naar Proefpolder
   24.5 km   Scherpe bocht naar links naar Waterkeringpad
   25.5 km   Rechtdoor naar Waterkeringpad (follow 6.7 km)
  ★ 27.0 km  [coffee] Tea Garden de Libel Broekoord — Kleine steeg, naast de kerk. Open vanaf 2 Mei. Alleen open op vrijdag, zaterdag en zondag
   32.2 km   Houd links aan naar KP 14 (follow 1.9 km)
   34.0 km   Rechtdoor naar KP 30
   34.6 km   Rechtdoor naar KP 30
   35.6 km   Linksaf en meteen rechtsaf naar KP 30
   35.6 km   Rechtdoor naar KP 30
   35.7 km   Houd rechts aan naar KP 30
   36.4 km   Rechtsaf naar KP 30
   36.5 km   Bij de rotonde, neem de 3e afslag naar KP 30
   36.7 km   Houd rechts aan naar het fietspad
   36.8 km   Linksaf naar KP 30
   36.9 km   Scherpe bocht naar rechts
   36.9 km   Linksaf naar KP 30
  ★ 37.1 km  [see] Zuiderzee museum Enkhuizen — Ingang ZUIDERZEEMUSEUM
   37.7 km   Rechtsaf naar KP 30
   37.7 km   Houd links aan
   37.8 km   Linksaf
   37.8 km   Rechtsaf naar KP 30
  ★ 37.8 km  [bar] Café , Restaurants Oude Haven
   38.0 km   Houd links aan
   38.1 km   Linksaf naar KP 92
  ★ 38.2 km  [bar] Café Enkhuizen
   38.3 km   Houd rechts aan naar Havenweg
   38.5 km   Scherpe bocht naar rechts naar Tritondam
   38.6 km   Rechtsaf naar Dirck Chinaplein
  ★ 38.7 km  [dock/stay] Ligplaats Enkhuizen Gependam
