MEDEMBLIK - MEDEMBLIK    40.7 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] m
    0.1 km   Scharf nach links abbiegen auf Oosterhaven
    0.6 km   Scharf nach links abbiegen auf Hoogesteeg
    0.7 km   Links abbiegen auf Pekelharinghaven
    1.1 km   Links abbiegen auf Pekelharinghaven
    1.2 km   Rechts abbiegen auf Oudevaartsgat
    1.3 km   Rechts abbiegen auf Oosterdijk
    1.5 km   Links abbiegen auf Vooroever
    1.6 km   Rechts abbiegen auf Vooroever
    2.1 km   Links abbiegen
    2.2 km   Bleib rechts
    2.6 km   Links abbiegen
    2.8 km   Bleib rechts
    2.8 km   Bleib links
    3.1 km   Bleib links (follow 1.0 km)
    4.2 km   Bleib links (follow 1.7 km)
    5.9 km   Rechts abbiegen auf Kagerbos
    5.9 km   Links abbiegen auf Simon Koopmanstraat
    6.6 km   Am Kreisverkehr nehmen Sie die 1. Ausfahrt nach KP 55
    6.8 km   Weiter geradeaus am Radweg auf der linken Straßenseite (follow 1.7 km)
    8.5 km   Rechts abbiegen nach KP 55
    9.1 km   Links abbiegen nach KP 55 (follow 1.6 km)
   10.7 km   Links abbiegen
   11.6 km   Links abbiegen auf Kerkepolderpad
   12.1 km   Rechts abbiegen auf Kerkepolderpad
   12.3 km   Links abbiegen auf Heemraad Witweg
   12.7 km   Rechts abbiegen nach Hauwert (follow 4.4 km)
   17.1 km   Rechts abbiegen auf Korenmolenpad (follow 1.4 km)
   18.5 km   Leicht rechts abbiegen auf Oosteinderweg
   18.5 km   Leicht rechts abbiegen auf Oosteinderweg
   18.7 km   Rechts abbiegen
   18.7 km   Bleib rechts auf Nieuweweg
   19.4 km   Leicht rechts abbiegen
   19.4 km   Bleib links
   19.5 km   Rechts abbiegen auf Nieuweweg
   19.7 km   Bleib rechts auf Nieuweweg (follow 1.4 km)
   21.1 km   Bleib rechts auf Oosterstraat
   21.2 km   Rechts abbiegen auf Oosterstraat (follow 1.8 km)
   23.0 km   Links abbiegen auf Buurt
   23.1 km   Bleib rechts auf Gouwtje (follow 1.5 km)
   24.7 km   Rechts abbiegen auf Midwouder Dorpsstraat (follow 1.7 km)
  ★ 25.9 km  [food] Café De Post
  ★ 26.0 km  [food] Tea Garden Vliegenzwam — Behind the toy store
   26.4 km   Links abbiegen auf Broerdijk
   26.5 km   Rechts auf Zuiderzeeweg nach KP 73
   26.7 km   Rechts am Radweg, nehmen Sie die 3. Ausfahrt nach KP 73
   27.5 km   Rechts nach KP 73 (follow 2.4 km)
  ★ 29.7 km  [rest_stop] Ruhepunkt Twisk
   29.9 km   Links auf Dorpsweg, nach KP 72
   30.6 km   Rechts auf Hornderweg, nach KP 70
   30.8 km   Weiter auf Hornderpad (follow 1.4 km)
   32.3 km   Rechts nach KP 69
   32.6 km   Rechts (follow 1.2 km)
   33.7 km   Links nach KP 69
   34.2 km   Links auf Noorderweg nach KP 69
   34.5 km   Rechts nach KP 69
   35.3 km   Rechts abbiegen auf Almersdorperweg
   35.6 km   Links abbiegen auf Noorderpad
   36.0 km   Rechts abbiegen auf Gouw
   36.1 km   Rechts abbiegen auf Zuiderpad
   36.7 km   Links abbiegen auf De Balk
   37.0 km   Links abbiegen auf Almereweg (follow 1.1 km)
   38.1 km   Weiter geradeaus auf Almereweg nach KP 89
  ★ 38.6 km  [bike_shop] Bike Shop Leo Smit
   38.7 km   Rechts nach KP 89
   38.7 km   Rechts
   38.8 km   Rechts und gleich links am Radweg nach KP 90
   38.9 km   Am Kreisverkehr nehmen Sie die 2. Ausfahrt auf Randweg
   39.3 km   Am Kreisverkehr nehmen Sie die 3. Ausfahrt auf Keern nach KP 90
   39.5 km   Rechts auf Keern
   39.6 km   Links nach KP 90
   39.7 km   Rechts auf Turfhoek nach KP 90
   39.9 km   Scharf rechts abbiegen auf Westerhaven, NICHT KP folgen
   40.2 km   Links auf Oosterhaven
   40.6 km   Ende
