MEDEMBLIK (RONDRIT)    40.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Ligplaats Medemblik
    0.3 km   Houd links aan naar Oosterhaven
    0.3 km   Ga linksaf naar Hoogesteeg
    0.5 km   Linksaf naar Pekelharinghaven
    0.8 km   Linksaf naar Pekelharinghaven
    0.9 km   Houd links aan naar Oudevaartsgat
    1.5 km   Linksaf naar Vooroever
    1.6 km   Rechtsaf naar Vooroever
    2.1 km   Linksaf
    2.2 km   Houd rechts aan
    2.7 km   Houd links aan
    2.8 km   Houd rechts aan
    2.8 km   Houd links aan
    3.2 km   Houd links aan (follow 1.0 km)
    4.2 km   Houd links aan (follow 1.7 km)
    5.9 km   Rechtsaf naar Kagerbos
    5.9 km   Linksaf naar Simon Koopmanstraat
    6.6 km   Rechtsaf naar Vok Koomenweg
    6.8 km   Rechtsaf naar Vok Koomenweg (follow 1.7 km)
    8.5 km   Rechtsaf naar Liederik
    9.1 km   Linksaf (follow 1.6 km)
   10.7 km   Linksaf
   11.6 km   Linksaf naar Kerkepolderpad
   12.2 km   Rechtsaf naar Kerkepolderpad
   12.3 km   Linksaf naar Heemraad Witweg
   12.7 km   Rechtsaf naar Hauwert (follow 4.4 km)
   17.1 km   Rechtsaf naar Korenmolenpad (follow 1.4 km)
   18.5 km   Houd rechts aan naar Oosteinderweg
   18.6 km   Houd rechts aan naar Oosteinderweg
   18.7 km   Rechtsaf
   18.7 km   Houd rechts aan naar Nieuweweg
   19.4 km   Houd rechts aan
   19.4 km   Houd links aan
   19.5 km   Rechtsaf naar Nieuweweg
   19.7 km   Houd rechts aan naar Nieuweweg (follow 1.4 km)
   21.1 km   Houd rechts aan naar Oosterstraat
   21.2 km   Rechtsaf naar Oosterstraat (follow 1.8 km)
   23.0 km   Linksaf naar Buurt
   23.1 km   Houd rechts aan naar Gouwtje (follow 1.5 km)
   24.7 km   Rechtsaf naar Midwouder Dorpsstraat (follow 1.7 km)
  ★ 25.9 km  [food] Café De Post
   26.4 km   Linksaf naar Broerdijk
   26.8 km   Linksaf naar Broerdijk
   27.5 km   Rechtsaf naar Kadetjespad (follow 2.3 km)
   29.8 km   Linksaf naar Coenplein
  ★ 29.8 km  [rest_stop] Rustpunt Twisk
   29.9 km   Linksaf naar Dorpsweg
   30.7 km   Rechtsaf naar Hornderweg (follow 1.6 km)
   32.3 km   Rechtsaf naar Mijnsherenweg
   32.5 km   Rechtsaf naar Mijnsherenweg
   32.6 km   Rechtsaf naar Marepad (follow 1.6 km)
   34.2 km   Linksaf naar Noorderweg
   34.5 km   Rechtsaf naar Galgeweg
   35.4 km   Rechtsaf naar Almersdorperweg
   35.6 km   Linksaf naar Noorderpad
   36.1 km   Rechtsaf naar Gouw
  ★ 36.1 km  [note] Opperdoes — Bekend van de aardappels
   36.1 km   Rechtsaf naar Zuiderpad
   36.7 km   Rechtsaf naar Julianastraat
   36.9 km   Linksaf naar Nieuweweg
   37.1 km   Linksaf naar Almereweg (follow 1.9 km)
   39.0 km   Rechtsaf naar Dissel
   39.1 km   Houd rechts aan
   39.2 km   Rechtsaf
   39.2 km   Houd links aan
   39.2 km   Rechtsaf naar Randweg
   39.6 km   Ga de rotonde op
   39.9 km   Houd rechts aan naar Keern
   40.0 km   Rechtsaf naar Turfhoek
   40.2 km   Ga rechtsaf naar Westerhaven
   40.5 km   Houd rechts aan naar Hoogesteeg
   40.6 km   Houd rechts aan naar Oosterhaven
