MOERBRUGGE - BRÜGGE    40.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Moerbrugge Haltestelle
    0.0 km   Start Radtour; Wasser zur linken Seite
    0.2 km   2. Ausfahrt Kreisverkehr zum Knotenpunkt 56
    0.6 km   Schräg links
    1.1 km   Links
    1.8 km   Rechts auf Stuivenbergstraat zum Knotenpunkt 84
    2.3 km   Rechts und direkt links auf Erkegemstraat
    2.9 km   Schräg links (follow 1.3 km)
    4.2 km   Links zum Knotenpunkt 84
    4.3 km   Rechts auf Kampveldstraat
    4.8 km   Links zum Knotenpunkt 84 (follow 1.5 km)
    6.3 km   Links zum Knotenpunkt 85 (follow 1.9 km)
    8.2 km   Rechts zum Knotenpunkt 93 (follow 1.5 km)
    9.7 km   Links zum Knotenpunkt 93
    9.8 km   Rechts
   10.2 km   Rechts und direkt links auf Kortrijksestraat
  ★ 10.3 km  [coffee] Café De Vriendschap Waardamme
   10.4 km   Rechts abbiegen auf De Knok
   10.7 km   Links abbiegen auf De Knok
   10.9 km   Rechts abbiegen auf Terluchtestraat
   11.2 km   Rechts halten
   11.6 km   Leicht rechts abbiegen auf Terluchtestraat
   11.7 km   Rechts abbiegen auf Ridderstraat
   12.0 km   Rechts zum Knotenpunkt 92 (follow 1.6 km)
   13.5 km   Links zum Knotenpunkt 92
   13.6 km   Schräg rechts auf Radweg
   13.7 km   Straße überqueren; Rechts auf Radweg zum Knotenpunkt 92
   13.8 km   Rechts abbiegen
   13.9 km   Dem Straßenverlauf von Zedelgemsestraat folgen (follow 1.3 km)
   15.2 km   Links abbiegen auf Halfuurdreef
   15.8 km   Rechts zum Knotenpunkt 74
   16.1 km   Rechts auf Kloosterstraat
   16.2 km   Links zum Knotenpunkt 74
   16.5 km   Rechts auf Vlasaardstraat
   17.5 km   Rechts auf Radweg
   17.7 km   Links zum Knotenpunkt 74
   18.3 km   Rechts abbiegen auf Mierenboswegel
   18.3 km   Scharf links abbiegen auf Kaasdamdreef
   18.3 km   Rechts abbiegen auf Reservedreef
   18.5 km   Links abbiegen auf Klaverdreef
   19.1 km   Links abbiegen auf Klaverdreef
   19.8 km   Scharf links abbiegen auf Bruggeweg
   20.1 km   Rechts abbiegen auf Hoge dreef
   20.9 km   Rechts abbiegen auf Pierlapont
   21.1 km   Links abbiegen auf Diepstraat
   21.5 km   Scharf links abbiegen auf Vloethemveldzate (follow 1.5 km)
   22.9 km   Geradeaus zum Knotenpunkt 77
   23.9 km   Links abbiegen auf Hollebekestraat
   23.9 km   Links halten auf Vloethemveldzate (follow 1.5 km)
   25.4 km   Scharf rechts abbiegen
   25.6 km   Rechts abbiegen (follow 3.5 km)
  ★ 28.5 km  [coffee] Abbey Zevenkerken; brasserie
   29.1 km   Links halten auf Diksmuidse Heerweg
   29.5 km   Scharf rechts abbiegen
   30.1 km   Links halten
   30.2 km   Schräg links
   30.6 km   Links abbiegen auf Zeeweg
   30.7 km   Links abbiegen
   30.7 km   Rechts abbiegen
   30.7 km   Rechts halten
   30.8 km   Links abbiegen
   31.0 km   Rechts halten
   31.6 km   Dem Straßenverlauf von Lorkendreef folgen
   31.8 km   Rechts abbiegen auf Abelendreef
   32.4 km   Links zum Knotenpunkt 99
   32.5 km   Links auf Sneppendreef zum Knotenpunkt 25
   32.9 km   Links abbiegen auf Pitsenbosdreef
   33.2 km   Rechts abbiegen auf Leikendreef
   33.3 km   Rechts auf Radweg zum Knotenpunkt 25; Straße überqueren
   33.4 km   Links
   33.5 km   Rechts
   33.9 km   Geradeaus zum Tunnel
   34.4 km   Rechts; Straße überqueren
   34.4 km   Links
   34.5 km   Schräg rechts zum Knotenpunkt 25
   34.7 km   Rechts auf Kortebrugge
   34.8 km   Dem Straßenverlauf von Stokveldepad folgen
   34.8 km   Links abbiegen
   34.8 km   Scharf rechts abbiegen
   35.3 km   Rechts abbiegen
   35.4 km   Links abbiegen auf Heidelbergstraat (follow 1.0 km)
   36.4 km   Rechts abbiegen auf Lijsterbeekstraat
   36.6 km   Links abbiegen auf Wulgenbroekstraat
   36.7 km   Rechts abbiegen auf Sint-Michielsestraat
   37.1 km   Rechts halten auf Sint-Michielsestraat
   37.3 km   Links abbiegen
   37.3 km   Rechts abbiegen
   37.6 km   Links abbiegen
   37.6 km   Dem Straßenverlauf folgen
   37.7 km   Rechts abbiegen auf Tragelweg (follow 2.2 km)
   39.9 km   Links über Brücke
   40.0 km   Links; Wasser zur linken Seite
   40.2 km   Schräg links
   40.4 km   Schräg links
   40.5 km   Ende Radtour
  ★ 40.5 km  [dock/stay] Anlegeplatz Bargeweg Brügge
