MONTARGIS (LOOP)    43.2 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Scharf links abbiegen
    0.2 km   Im Kreisverkehr Ausfahrt 2 auf Rue Renée de France nehmen
    0.5 km   Rechts abbiegen auf Place du 18 Juin 1940
    0.5 km   Links abbiegen auf Boulevard Paul Baudin
    0.7 km   Rechts abbiegen
    0.8 km   Rechts abbiegen auf Avenue Adolphe Cochery
    1.1 km   Links halten auf Avenue Adolphe Cochery
    1.3 km   Links halten auf Avenue Adolphe Cochery
    1.6 km   Scharf rechts abbiegen auf Rue Duchesne Rabier (follow 1.7 km)
    3.3 km   Rechts halten
    3.8 km   Rechts halten
    4.0 km   Rechts halten
    4.5 km   Leicht rechts abbiegen auf Route de Viroy
    4.6 km   Rechts halten auf Rue des Bruyères (follow 10.6 km)
  ★ 7.3 km  [coffee] Café Le rendez/vous l´Atelier
   15.2 km   Leicht links abbiegen auf D 163
   15.7 km   Dem Straßenverlauf von Rue de la Salle des Fêtes folgen
   16.0 km   Rechts abbiegen auf Rue de Bel-Air (follow 2.6 km)
  ★ 16.4 km  [rest_stop] picnic place
   18.6 km   Links abbiegen auf Route des Motteaux (follow 1.0 km)
   19.6 km   Scharf rechts abbiegen auf Route des Gravereaux
   20.4 km   Scharf links abbiegen auf Route de Chuelles
  ★ 20.5 km  [see] Museum apiculture Chateau-Renard — Stop for honey tasting. Toilet.
   20.7 km   Scharf links abbiegen auf Route de Chuelles
   21.2 km   Links abbiegen auf Rue Étienne Dolet
  ★ 21.5 km  [coffee] Café Château-Renard — Village with café
   21.7 km   Rechts abbiegen auf Rue des Peupliers
   22.0 km   Links abbiegen auf Avenue Charles Roux
   22.2 km   Rechts abbiegen auf Route de Gy les Nonains (follow 5.1 km)
   27.4 km   Rechts abbiegen auf Route de Château-Renard (follow 2.0 km)
   29.4 km   Rechts abbiegen auf Rue des Anciens Combattants
   29.4 km   Links abbiegen auf Chemin du Pâtis
   30.1 km   Rechts abbiegen auf Route de Conflans (follow 4.4 km)
  ★ 32.7 km  [bar] No Limit Aventure
   34.5 km   Links abbiegen auf Rue de la Mairie
   35.4 km   Rechts abbiegen (follow 2.2 km)
   37.6 km   Rechts halten auf Chemin de Halage
   37.7 km   Dem Straßenverlauf folgen (follow 2.3 km)
   40.0 km   Links halten (follow 1.5 km)
   41.5 km   Dem Straßenverlauf von Chemin de la Baignade folgen
   42.1 km   Leicht links abbiegen
   42.4 km   Links halten
   42.7 km   Dem Straßenverlauf folgen
   42.8 km   Leicht links abbiegen auf Quai du Pâtis
  ★ 43.1 km  [note] Tourist Information Montargis
  ★ 43.2 km  [dock/stay] Docking Montargis
