MORET - MORET    33.3 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Moret-sur-Loing
    0.0 km   Start ride river on your right
    0.1 km   Turn left onto Rue de la Pierre Morin
    0.4 km   Turn left onto Rue de l'Echaudey
    0.6 km   Bear left onto Rue de l'Echaudey
    0.7 km   Turn right onto Rue du Peintre Zanaroff
    0.8 km   Turn left onto Avenue Jean Jaurès, D 302
    1.1 km   Cross bridge
    1.3 km   At roundabout, take exit 1 onto Rue du Peintre Sisley
    1.6 km   Turn right onto Chemin de Halage
    1.7 km   Turn left onto Voie Verte du Canal du Loing (follow 5.6 km)
  ★ 6.9 km  [bar] Café le petit Coq Hardi Nanteau-sur-Lunainn
    7.3 km   Turn right onto Route de Fontainebleau, D 148 (follow 1.2 km)
    8.5 km   Turn left onto Rue Roger Genty, D 104 (follow 2.5 km)
   11.0 km   Cross railway to Rue Renée Montgermont
  ★ 11.0 km  [restroom] Public toilet
   11.6 km   Turn left onto Rue Numa Gillet (follow 1.5 km)
   13.1 km   Bear right onto Rue Armand Charnay
   13.5 km   Continue onto Rue du Général Leclerc/​D104 (follow 1.4 km)
  ★ 13.5 km  [coffee] Café Bourron-Marlotte
  ★ 14.2 km  [note] Tourist office
  ★ 14.3 km  [note] Town Hall Bourron-Marlotte
   14.9 km   Turn left onto Rue de l'Égalité
   15.0 km   Bear left onto Rue des Fougères
   15.6 km   Turn right onto Rue de la Libération
   15.9 km   Bear right onto Route de Grez (follow 1.9 km)
   17.7 km   Continue straight onto Rue Wilson
   18.2 km   Turn left onto Rue Carl Larsson/D40F
  ★ 18.2 km  [monument] Tour de Ganne — medieval ruins
  ★ 18.3 km  [rest_stop] possible place to rest?
  ★ 18.4 km  [note] Bridge Grez
   19.0 km   Turn right onto Rue de Grez, D 40D
   19.8 km   Turn sharp right
  ★ 19.8 km  [caution] turn right — right over the parking
   19.8 km   Turn right follow canal (follow 3.4 km)
  ★ 20.9 km  [coffee] Café Darvault
   23.2 km   Bear right
   23.3 km   Turn right
   23.4 km   Ga rechtdoor (follow 3.0 km)
   26.4 km   Linksaf naar Route de Fontainebleau, D 148
   26.4 km   Rechtsaf naar Chemin du Vieux Moulin (follow 5.3 km)
   31.7 km   Houd rechts aan naar Chemin de Halage
   32.0 km   Rechtsaf naar Quai du Canal
   32.0 km   Linksaf naar Rue du Peintre Sisley, D 302
   32.4 km   Neem afslag 3 naar Rue du Pont du Loing op de rotonde
   32.6 km   Rechtsaf naar Rue de la Pêcherie
   32.7 km   Rechtsaf naar Rue de la Pêcherie
   33.2 km   Rechtsaf naar Place du Vieux Port
