MORET - NEMOURS    40.0 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Moret-sur-Loing
    0.1 km   Links abbiegen
    0.2 km   Dem Straßenverlauf von Rue de la Pierre Morin folgen
    0.7 km   Links halten auf Rue de la Pierre Morin
    0.7 km   Im Kreisverkehr Ausfahrt 1 auf Avenue Jean Jaurès nehmen
    0.8 km   Rechts abbiegen auf Rue des Rogeries
    1.1 km   Links abbiegen auf Rue de la Croix Rouge
    1.7 km   Dem Straßenverlauf von Chemin des Cantèces folgen
  ★ 1.8 km  [restroom] public toilet
    1.8 km   Rechts halten auf Chemin des Cantèces
    1.9 km   Links halten auf Chemin des Cantèces
    2.4 km   Rechts abbiegen auf Route de la Faluère
    2.5 km   Rechts abbiegen auf Route des Buttes
    2.6 km   Links halten auf Route des Buttes
    2.9 km   Links abbiegen auf Route de la Plaine du Rosoir (follow 1.0 km)
    4.0 km   Dem Straßenverlauf von Route de la Plaine du Rosoir folgen (follow 1.5 km)
    5.4 km   Links halten auf Route du Bois Prieur
    5.8 km   Rechts halten auf Route de la Malmontagne
    6.2 km   Rechts halten auf Route de la Malmontagne
    6.5 km   Rechts abbiegen auf Route du Râle
    6.7 km   Links abbiegen
    6.9 km   Links abbiegen
    6.9 km   Scharf links abbiegen
  ★ 6.9 km  [see] Roches de Princes
    7.1 km   Rechts abbiegen auf Route de la Malmontagne
    7.5 km   Links abbiegen auf Route du Haut Mont
    7.6 km   Scharf links abbiegen auf Route de Milady
    8.2 km   Scharf rechts abbiegen auf Route du Râle
    8.5 km   Rechts halten auf Route de Russie
    8.8 km   Leicht links abbiegen auf Route de Russie
    9.2 km   Dem Straßenverlauf von Route de Russie folgen
    9.3 km   Links abbiegen auf Route du Haut Mont
   10.1 km   Links abbiegen auf Route du Haut Mont
   10.2 km   Rechts abbiegen auf Route du Croc Marin
  ★ 10.5 km  [see] Grotte de l'allo
   10.6 km   Leicht links abbiegen auf Route de Fontainebleau à Montigny
  ★ 10.7 km  [coffee] Café Martingo Bourron-Marlotte
   11.2 km   Links halten
   11.3 km   Leicht links abbiegen auf Rue Pierre Cloix (follow 1.0 km)
   12.3 km   Leicht links abbiegen auf Rue du Loing
   12.8 km   Rechts abbiegen (follow 3.6 km)
  ★ 16.4 km  [coffee] La Poterie de la Genevraye — Pottery with tea garden
   16.4 km   Dem Straßenverlauf von Route du Petit-Bois folgen
   16.7 km   Rechts halten auf Route du Moulin
   17.3 km   Links halten auf Route du Moulin
   18.1 km   Links halten auf Route du Moulin (follow 2.0 km)
   20.2 km   Rechts abbiegen auf Route de Montereau
   20.6 km   In den Kreisverkehr einfahren
   21.3 km   Links abbiegen auf Rue de Treuzy
   22.2 km   Links abbiegen auf Rue de l'Église
   22.3 km   Rechts halten auf D 58
   22.7 km   Rechts abbiegen auf D 58 (follow 1.9 km)
   24.7 km   Leicht rechts abbiegen auf D 58
  ★ 24.8 km  [bar] Café le petit Coq Hardi Nanteau-sur-Lunainn
   24.9 km   Dem Straßenverlauf von Rue du Chemin Pavé folgen
   25.0 km   Rechts halten auf Rue du Fourchet (follow 1.1 km)
   26.2 km   Dem Straßenverlauf von Rue du Fourchet folgen (follow 1.2 km)
   27.4 km   Leicht links abbiegen auf Place de la Pompe
   27.4 km   Rechts abbiegen auf Rue du Moulin (follow 1.5 km)
   28.9 km   Links abbiegen auf Rue Grande
   29.5 km   Rechts halten auf D 58
   29.6 km   Im Kreisverkehr Ausfahrt 2 auf Route de Fontainebleau nehmen
   30.4 km   Links abbiegen auf Rue Clotaire Bidault
   30.6 km   Leicht rechts abbiegen auf Rue de Mocquebaril
   30.8 km   Links halten auf Rue de Cherelles
   31.0 km   Links halten (follow 3.9 km)
   34.9 km   Rechts abbiegen auf Route de Fromonville (follow 2.8 km)
   37.7 km   Links halten auf Rue du Loing
   37.9 km   Links abbiegen
  ★ 37.9 km  [note] Bridge Grez
  ★ 40.0 km  [dock/stay] Mooring Nemours
