NAXOS (SANGRI-BEACHES LOOP)    51.6 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn left onto Παπαβασιλείου
    0.1 km   Turn right onto Παπαβασιλείου
    0.3 km   Turn right
    0.3 km   Turn left
    0.5 km   Turn right onto Μιχαηλ Μαργαριτη
    0.7 km   Turn sharp left
    0.8 km   Turn right
    0.8 km   Turn sharp right onto Naxos - Engares
    0.9 km   Turn sharp left
    1.2 km   Turn left
    1.3 km   Turn right
    1.7 km   Turn right
    2.2 km   Turn right
    2.5 km   Turn left
    2.6 km   Turn left (follow 1.1 km)
    3.7 km   Turn right
    4.5 km   Turn slight left onto Naxos - Chalki
    5.0 km   Turn right
    5.0 km   Turn left
    5.1 km   Turn slight right onto Naxos - Chalki
    5.5 km   Turn right onto Galanado - Sangri
    6.1 km   Turn slight left onto Galanado - Sangri
    6.4 km   Turn left
    6.4 km   Turn left onto Galanado - Sangri
    6.9 km   Turn slight left
    7.0 km   Turn slight right (follow 1.2 km)
    8.2 km   Continue onto Connecting Road
    8.4 km   Turn slight left onto Galanado - Sangri (follow 2.1 km)
   10.5 km   Turn slight left onto Galanado - Sangri (follow 2.5 km)
   12.9 km   Turn left
   13.1 km   Turn left onto Galanado - Sangri
   13.2 km   Turn sharp right (follow 1.8 km)
   15.0 km   Turn left (follow 1.5 km)
   16.6 km   Turn slight right
   16.9 km   Turn slight left
   17.2 km   Turn right (follow 10.0 km)
   27.2 km   Turn sharp left onto ΠΥΡΓΑΚΙ ΑΓΙΑΣΟΣ
   28.1 km   Turn sharp left
   28.4 km   Continue onto ΠΑΡΑΛΙΑΚΟΣ ΠΥΡΓΑΚΙΟΥ (follow 5.6 km)
   34.1 km   Turn left (follow 1.7 km)
   35.7 km   Turn right
   36.3 km   Turn slight right (follow 2.7 km)
   39.0 km   Turn right
   39.5 km   Turn sharp left (follow 2.6 km)
   42.1 km   Turn right
   42.2 km   Turn sharp left (follow 1.5 km)
   43.7 km   Turn right (follow 1.6 km)
   45.3 km   Turn left
   46.1 km   Turn right
   46.3 km   Turn right
   46.5 km   Turn right (follow 3.4 km)
   49.9 km   Turn right
   49.9 km   Turn left
   50.0 km   Turn slight right onto Ανδρέα Παπανδρέου
   50.2 km   At roundabout, take exit 2 onto Ανδρέα Παπανδρέου
   50.8 km   At roundabout, take exit 1 onto Protopapadaki
   51.0 km   Turn sharp left onto Παπαβασιλείου
   51.1 km   Turn right onto Παπαβασιλείου
