NEMOURS - NERONVILLE    38.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [start] Drop off Nemours
    0.1 km   Links abbiegen auf Place de la Vieille Cour
    0.2 km   Links abbiegen auf Rue Saint-Laurent
    1.0 km   Links abbiegen auf Route de Glandelles
    1.1 km   Rechts abbiegen auf Rue de la Montagne (follow 2.5 km)
    3.6 km   Links abbiegen auf Rue de la Mairie (follow 6.1 km)
    9.7 km   Rechts abbiegen auf Rue Grande (follow 1.8 km)
   11.5 km   Links abbiegen
   12.3 km   Rechts halten auf Hameau de la Malosse
   13.2 km   Rechts abbiegen (follow 2.0 km)
   15.2 km   Links abbiegen auf Rue Dufet Bourdelle
  ★ 15.4 km  [note] Jardin Bourdelle Egréville
   15.6 km   Links abbiegen auf Rue de la Ligne
   16.1 km   Rechts abbiegen auf Chemin de Préaux
   16.3 km   Links abbiegen auf Rue Edmond Hubert
   16.8 km   Rechts abbiegen auf Place Berne Bellecour
   16.9 km   Wenden auf Place Massenet
  ★ 16.9 km  [note] Egréville center
   16.9 km   Rechts abbiegen auf Rue Edmond Hubert
   17.4 km   Rechts halten auf Rue de la Poterne
   17.4 km   Im Kreisverkehr Ausfahrt 2 auf Route de Jouy nehmen (follow 2.8 km)
   20.2 km   Rechts abbiegen auf Route des Mares (follow 1.3 km)
   21.5 km   Rechts abbiegen auf Chemin de César
   22.3 km   Scharf links abbiegen auf Route du Moulin (follow 1.2 km)
   23.5 km   Rechts abbiegen auf Chemin de l'Orme Lambert
   24.2 km   Scharf links abbiegen auf Rue des Cottencins
   24.3 km   Rechts abbiegen auf Rue du Bois des Fossés (follow 1.8 km)
   26.1 km   Links abbiegen auf Route de Mocquepannier (follow 1.1 km)
   27.2 km   Rechts abbiegen auf Route du Moulin Neuf (follow 2.8 km)
   30.0 km   Scharf rechts abbiegen auf D 219
   30.5 km   Links abbiegen auf C 8 (follow 1.2 km)
   31.7 km   Rechts halten
   32.1 km   Leicht rechts abbiegen
   32.4 km   Scharf links abbiegen
   32.8 km   Leicht rechts abbiegen
   33.5 km   Rechts abbiegen auf Avenue de la Sapinière
   33.7 km   Links abbiegen auf Rue Traversière
   33.9 km   Rechts abbiegen auf Avenue de Saint-Séverin
   34.0 km   Links halten auf Avenue des Sables
   34.5 km   Rechts halten
   34.5 km   Im Kreisverkehr Ausfahrt 2 auf Avenue des Sables nehmen
   34.6 km   Leicht rechts abbiegen auf Avenue des Sables
   35.1 km   Im Kreisverkehr Ausfahrt 1 auf Rue de l'Église nehmen
   35.4 km   Leicht links abbiegen auf Rue Pasteur
   35.6 km   Rechts abbiegen auf Rue de la République
   35.9 km   Links abbiegen auf Rue de César
  ★ 35.9 km  [coffee] Café at a lake Dordives
  ★ 36.0 km  [coffee] Café's Dordives
   36.9 km   Rechts abbiegen auf Voie Verte
  ★ 38.2 km  [dock/stay] Docking Néronville
