NIJMEGEN - DOORNENBURG-NIJMEGEN KORT    48.3 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Ligplaats Poseidon
    0.2 km   Houd links aan naar Waalkade
    0.3 km   Blijf op Waalkade
    0.8 km   Linksaf naar Ooysedijk
  ★ 1.3 km  [see] Ooijpolder — Natuurgebied dat onbebouwd blijft dankzij inzet allerlei natuurgroeperingen
    1.5 km   Op dijk blijven (follow 2.2 km)
    3.8 km   Dijk volgen
    3.9 km   Blijf op Ooijse Bandijk (follow 1.3 km)
  ★ 4.8 km  [see] Restanten oude steenfabriek Groenlanden
    5.2 km   Vervolg op dijk
    5.6 km   Blijf op Ooijse Bandijk
    6.5 km   Dijk blijven volgen (follow 4.0 km)
  ★ 7.0 km  [coffee] Oortjeshekken, vanbaf ca 1600 al de plek om even biuj te komen. Eten, slapen en drinken.
  ★ 9.6 km  [see] Wienerberger — De laatste baksteenfabriek van de Oijpolder sluit in 2023 definitief zijn deuren.
   10.5 km   Blijf op Erlecomsedam
   11.2 km   Linksaf naar Duffeltdijk (follow 2.2 km)
   13.3 km   Linksaf naar Duffeltdijk
   13.4 km   Linksaf naar knooppunt 71
  ★ 13.4 km  [coffee] De Waard van Kekerdom — Café Restaurant
   13.8 km   Rechtsaf
   14.2 km   Houd links aan
   14.6 km   Linksaf
   15.3 km   Ga rechtsaf naar Klaverland (follow 1.1 km)
  ★ 15.3 km  [coffee] Millinger Theetuin — Open vanaf 11 uur. Toegang € 7,50 incl. 1 drankje
  ★ 16.4 km  [ferry] Fietsveer Millingerwaard - Doornenburg — Vaart vanaf 1 mei. Eerste afvaart om ca. 10 uur. Kosten ca 2,50
   16.4 km   Rechtdoor (follow 2.3 km)
   18.7 km   Linksaf naar Rijndijk
   18.8 km   Blijf op Rijndijk
   19.5 km   Houd rechts aan naar Zalmstraat
   19.8 km   Ga rechtsaf naar van Lyndenstraat
   19.9 km   Linksaf naar Heerbaan
   20.1 km   Linksaf naar Burgemeester Eijckelhofstraat
  ★ 20.1 km  [food] Brasserie de Kookdoorn — Café Restaurant vanaf 11 uur
   20.6 km   Houd links aan naar Rijndijk
  ★ 20.7 km  [coffee] IJssalon Clevers
   20.7 km   Rechtsaf naar veerpont
  ★ 21.1 km  [ferry] Veerdienst Millingen - Pannerden
   21.4 km   Linksaf naar Kijfwaard (follow 1.4 km)
   22.8 km   Rechtsaf naar Kijfwaard
  ★ 22.9 km  [see] Steenfabrieken en kleiputten
   23.0 km   Blijf op Lobberdenseweg (follow 1.4 km)
   24.4 km   Rechtsaf naar Korte Nieuwstraat
   24.5 km   Houd links aan naar Nieuwstraat
   24.6 km   Houd links aan naar Renbaan
   24.7 km   Houd links aan naar Aerdtsestraat
   24.8 km   Linksaf naar Schoolstraat
  ★ 25.1 km  [food] Cafetaria Janssen
   25.2 km   Rechtsaf naar Dorpsplein
   25.4 km   Rechtsaf naar Hoogeweg
   25.6 km   Linksaf naar Doornenburgseweg
   26.0 km   Weg oversteken (follow 1.1 km)
  ★ 26.7 km  [ferry] Veer Pannerden - Doornenburg
  ★ 26.8 km  [see] Pannerdense Kanaal
   27.1 km   Linksaf naar Sterreschans
   27.3 km   Blijf op Sterreschans
   27.3 km   Houd links aan
   27.3 km   Houd links aan (follow 1.6 km)
  ★ 28.2 km  [see] Fort Pannerden — Geopend van 11 uur. Entree 14,50 (Museumkaart geldig).
  ★ 28.2 km  [coffee] Bij Fort binnenterras en bij mooi weer buitenterras
   28.9 km   Houd links aan
   29.1 km   Houd rechts aan naar Sterreschans
   29.3 km   Rechtsaf naar Rijndijk
   29.5 km   Linksaf naar Rijndijk
   29.5 km   Rijndijk volgen (follow 1.4 km)
  ★ 29.8 km  [see] Begin van de Linge — Deze stroomt door de Betuwe naar Gorinchem
   30.8 km   Linksaf naar Kerkstraat (follow 1.0 km)
  ★ 31.3 km  [see] Kasteel Doornenburg — Kasteel uit de 13e eeuw met imposante binnenplaats. Ooit stond dit kasteel centraal in de film Floris (met Rutger Hauer). Rondleiding (audio) mogelijk, 12,50.
  ★ 31.5 km  [coffee] Herberg De Doornenburg — op binnenplaats van het kasteel
   31.8 km   Rechtsaf naar Pannerdenseweg
   32.0 km   Ga rechtsaf naar Duisterestraat (follow 1.5 km)
   33.5 km   Linksaf
   34.4 km   Angersestraatweg aanhouden
   34.9 km   Houd rechts aan naar Dorpsstraat
   35.1 km   Rechtsaf naar Dorpstraat
   35.1 km   Rechtdoor naar Dorpstraat
   35.2 km   Houd rechts aan naar Dorpstraat
   35.7 km   Linksaf naar Markt
  ★ 35.7 km  [food] De Klok
   35.9 km   De Waaldijk omhoog
   35.9 km   Houd rechts aan naar Waaldijk (follow 1.1 km)
   37.1 km   Blijf op Waaldijk (follow 2.3 km)
   39.3 km   Houd links aan naar Buitenpolder
   39.6 km   Richting knooppunt 32
   40.5 km   Houd rechts aan naar Buitenpolder (follow 1.5 km)
  ★ 41.4 km  [see] Steenfabriek
   42.0 km   Rechtsaf naar Defensiedijk (follow 1.6 km)
   43.6 km   Linksaf naar Waaldijk
  ★ 44.2 km  [see] Fort Lent
   44.5 km   Blijf op Bemmelsedijk richting knooppunt 80
   45.2 km   Houd rechts aan naar Bemmelsedijk
   45.3 km   Rechtsaf naar Turennesingel
   45.3 km   Houd links aan naar Turennesingel
   45.4 km   Houd rechts aan naar Parmasingel
   45.5 km   Rechtsaf naar Griftdijk Zuid
   45.7 km   Rechtsaf naar Griftdijk Zuid
   45.7 km   Ga rechtsaf naar Prins Mauritssingel en brug op
  ★ 46.1 km  [see] Brug over Spiegelwaal — Nevengeul in het kader van projekt Meer ruimte voor de Rivier
   46.4 km   Houd rechts aan naar Sint Titussingel
  ★ 46.6 km  [see] Waalbrug Nijmegen
   47.3 km   Blijf op Keizer Traianusplein
   47.4 km   Rechtsaf naar Sint Jorisstraat
   47.5 km   Houd rechts aan naar Kelfkensbos knooppunt 2
   47.7 km   Houd rechts aan naar Voerweg
   48.0 km   Houd links aan naar Waalkade
   48.1 km   Houd links aan naar Waalkade
