OFFENBACH - ASCHAFFENBURG    49.7 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Drop off Offenbach
    0.0 km   Rechts halten (follow 5.1 km)
    5.1 km   Links abbiegen
    5.6 km   Links abbiegen
    5.7 km   Rechts halten
    5.9 km   Links halten
    6.1 km   Links abbiegen auf Schmiedegasse
    6.1 km   Rechts halten
    6.5 km   Rechts abbiegen
    6.5 km   Links halten
    7.3 km   Links abbiegen
    8.1 km   Links abbiegen (follow 3.0 km)
   11.1 km   Rechts halten
   11.1 km   Links halten
   11.2 km   Links abbiegen
   11.5 km   Links abbiegen
   11.6 km   Rechts abbiegen auf Leinpfad (follow 1.9 km)
   13.4 km   Scharf links abbiegen
   13.4 km   Rechts abbiegen
   13.5 km   Rechts abbiegen auf Philippsruher Allee
  ★ 13.5 km  [see] Castle Kesselstadt
   14.4 km   Rechts abbiegen auf Konrad-Adenauer-Straße
   14.8 km   Links halten
   14.8 km   Im Kreisverkehr Ausfahrt 3 auf Kanaltorplatz nehmen
  ★ 15.2 km  [note] Hanau
   15.3 km   Rechts abbiegen auf Kölnische Straße
   15.4 km   Links abbiegen auf Lautenschlägerstraße
   15.5 km   Rechts abbiegen auf Schnurstraße
   15.8 km   Rechts abbiegen auf Friedrich-Ebert-Anlage
   16.0 km   Links abbiegen auf Brüder-Grimm-Straße
   16.1 km   Rechts abbiegen auf Brüder-Grimm-Straße
   16.2 km   Rechts abbiegen
   16.3 km   Scharf links abbiegen
   16.4 km   Rechts abbiegen auf Am Pedro-Jung-Park
   16.5 km   Links abbiegen auf Mainstraße
   16.5 km   Links abbiegen auf Mainstraße
   16.6 km   Rechts abbiegen
   16.8 km   Links abbiegen
   16.9 km   Rechts abbiegen
   17.1 km   Scharf rechts abbiegen auf Mainstraße
   17.1 km   Rechts abbiegen auf Westerburgstraße, B 43, B 45
   17.2 km   Dem Straßenverlauf von B 43, B 45 folgen
   17.5 km   Scharf links abbiegen
   17.5 km   Scharf rechts abbiegen
   17.6 km   Links abbiegen auf Dietesheimer Straße
   18.1 km   Scharf links abbiegen
   18.3 km   Scharf rechts abbiegen (follow 1.1 km)
   19.3 km   Links abbiegen
   19.5 km   Links halten
   20.1 km   Links halten
   20.2 km   Rechts abbiegen
   20.8 km   Links abbiegen
   20.9 km   Links halten
   21.1 km   Links halten
   21.4 km   Links halten
   22.0 km   Links abbiegen
   22.2 km   Links halten (follow 1.8 km)
   24.0 km   Leicht links abbiegen (follow 2.3 km)
   26.3 km   Rechts halten auf Mainuferweg (follow 4.8 km)
   31.1 km   Dem Straßenverlauf von Große Fischergasse folgen
   31.2 km   Rechts halten auf Hospitalstraße
   31.2 km   Rechts abbiegen auf Gerbergasse
   31.2 km   Links abbiegen
   31.3 km   Rechts abbiegen auf Große Rathausgasse
  ★ 31.3 km  [note] Seligenstadt
   31.3 km   Scharf links abbiegen auf Marktplatz
   31.3 km   Links abbiegen auf Marktplatz
  ★ 31.4 km  [coffee] Bäckerei Haas
   31.4 km   Links abbiegen auf Freihofstraße
   31.6 km   Dem Straßenverlauf von Große Maingasse folgen
  ★ 31.6 km  [see] Monastery and gardens
   31.7 km   Rechts abbiegen auf Mainuferweg
  ★ 31.8 km  [restroom] Toilet Bubenschulhof
   31.8 km   Dem Straßenverlauf von Mainuferweg folgen
   32.7 km   Leicht links abbiegen
   33.4 km   Rechts halten (follow 2.8 km)
   36.1 km   Scharf links abbiegen
   36.2 km   Rechts abbiegen
   36.5 km   Rechts abbiegen (follow 3.9 km)
   40.4 km   Rechts abbiegen auf Friedhofsweg
   41.2 km   Rechts abbiegen auf Lindengasse
   41.3 km   Rechts abbiegen auf Lindengasse
   42.2 km   Rechts abbiegen
   42.7 km   Rechts abbiegen (follow 2.0 km)
   44.7 km   Rechts halten
   45.1 km   Rechts halten (follow 2.1 km)
   47.2 km   Rechts halten (follow 1.1 km)
   48.4 km   Rechts halten (follow 1.2 km)
  ★ 49.2 km  [see] Castle Johannisburg Aschaffenburg
  ★ 49.4 km  [note] Asschaffenburg center
   49.6 km   Dem Straßenverlauf folgen
   49.6 km   Links abbiegen
  ★ 49.7 km  [dock/stay] Docking Aschaffenburg
