OUDE WETERING - KEUKENHOF - LEIDEN    34.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring
    0.1 km   Start Radtour; Wasser zur rechten Seite
    1.0 km   Rechts abbiegen zum Knotenpunkt 10
    1.1 km   Rechts abbiegen zum Knotenpunkt 9
    1.2 km   Links abbiegen
    1.2 km   Links abbiegen
    1.3 km   Geradeaus weiterfahren
    2.3 km   Rechts abbiegen zum Knotenpunkt 9
    2.9 km   Geradeaus zum Knotenpunkt 8
    3.0 km   Rechts abbiegen
    3.0 km   Links abbiegen (follow 4.0 km)
    7.0 km   Geradeaus weiterfahren
    7.2 km   Links abbiegen zum Knotenpunkt 8
    7.3 km   Geradeaus zum Knotenpunkt 25
    7.5 km   Schräg links
    8.1 km   Geradeaus zum Knotenpunkt 1 (follow 2.6 km)
   10.7 km   Scharf links (follow 2.2 km)
   12.9 km   Links abbiegen
   13.3 km   Links abbiegen zum Knotenpunkt 91
  ★ 13.3 km  [coffee] Leijduin
   13.3 km   Schräg links
   13.4 km   Schräg rechts
   14.3 km   Rechts abbiegen
   14.4 km   Schräg rechts
   14.7 km   Links abbiegen
   14.9 km   Rechts abbiegen
   15.2 km   Schräg rechts
   15.4 km   Scharf rechts
   15.4 km   Rechts abbiegen
   15.4 km   Links abbiegen
   15.6 km   Rechts abbiegen
   15.6 km   Links abbiegen zum Knotenpunkt 91
   15.9 km   Rechts abbiegen zum Knotenpunkt 29
   16.5 km   Schräg rechts
   16.6 km   Schräg links
   16.6 km   Schräg links
  ★ 16.6 km  [coffee] Café Vogelenzang
  ★ 16.6 km  [coffee] The Tulip Barn
   16.6 km   Links abbiegen zum Knotenpunkt 29
   16.7 km   Scharf rechts zum Knotenpunkt 49
   17.0 km   Rechts abbiegen
   17.1 km   Schräg rechts
   17.1 km   Schräg links zum Knotenpunkt 49
  ★ 17.2 km  [note] Main entrance Keukenhof
  ★ 17.3 km  [bike_parking] Keukenhof
   17.4 km   Links abbiegen zum Knotenpunkt 7 (follow 1.2 km)
   18.5 km   Rechts abbiegen zum Knotenpunkt 87
   19.0 km   Links abbiegen zum Knotenpunkt 87 (follow 1.1 km)
   20.1 km   Links abbiegen zum Knotenpunkt 55
   21.1 km   Rechts abbiegen zum Knotenpunkt 58
   21.8 km   Rechts dan Links abbiegen zum Knotenpunkt 58 (follow 1.2 km)
   23.0 km   Links abbiegen zum Knotenpunkt 50
   23.2 km   Schräg rechts
   23.9 km   Rechts abbiegen
  ★ 24.0 km  [note] Sassenheim — Shops, restaurants
   24.5 km   Geradeaus zum Knotenpunkt 50
   25.0 km   Links abbiegen zum Knotenpunkt 51
   25.3 km   Links und Rechts abbiegen zum Knotenpunkt 51
   25.5 km   Links abbiegen zum Knotenpunkt 51
   25.6 km   Rechts abbiegen
   25.8 km   Überqueren und Rechts abbiegen zum Knotenpunkt 51
   25.9 km   Geradeaus zum Knotenpunkt 52
   26.2 km   Schräg links, Strasse überqueren
   26.2 km   Rechts abbiegen
   26.2 km   Links abbiegen, Bahnübergang überqueren
   26.3 km   Rechts abbiegen zum Knotenpunkt 52
   26.9 km   Schräg rechts
   27.0 km   Links abbiegen zum Knotenpunkt 76
   27.9 km   Links abbiegen zum Knotenpunkt 76
   28.2 km   Rechts abbiegen (follow 1.1 km)
  ★ 28.7 km  [restroom] Toilet
  ★ 28.7 km  [bar] Coazy
  ★ 28.8 km  [bar] Bar
   29.3 km   Rechts abbiegen zum Knotenpunkt 76
   29.4 km   Links abbiegen
   29.7 km   Schräg links
   29.7 km   Geradeaus weiterfahren
   29.7 km   Geradeaus auf Radweg zum Knotenpunkt 01
   30.1 km   Schräg rechts
   30.6 km   Geradeaus weiterfahren
   30.9 km   Schräg rechts
   31.4 km   Schräg rechts auf Radweg
   31.5 km   Links abbiegen zum Knotenpunkt 21
   31.7 km   Scharf rechts zum Knotenpunkt 14 (follow 1.1 km)
   32.8 km   Schräg rechts auf Zwarte Pad
   33.3 km   Links abbiegen zum Knotenpunkt 13
  ★ 33.4 km  [note] Leiden
   34.1 km   Schräg rechts zum Knotenpunkt 13
   34.6 km   Ende der Radtour
  ★ 34.6 km  [dock/stay] Mooring Leiden Zijlsingel
