PARIS (BOUGIVAL) - AUVERS-SUR-OISE (VIA AX MAJEURE)    47.9 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Flauwe bocht naar links
    0.1 km   Turn right
    0.5 km   Turn right and directly right again through the parc back to the river
    0.7 km   Turn left; river on your left (follow 2.3 km)
    3.0 km   Continue onto Chemin de Halage (follow 1.7 km)
    4.7 km   Bear right
    4.8 km   Turn right
    4.8 km   Turn right; cross bridge (follow 1.3 km)
    6.2 km   Neem op de rotonde de 1ste afslag op Av. Gambetta richting Poissy/​Cergy/​Pontoise
    6.5 km   Turn slight right onto Avenue Le Nôtre
    6.6 km   Continue onto Allée du Boulingrin
    6.6 km   Turn right
    7.0 km   Turn left
    7.4 km   Turn right
    7.4 km   Turn right
    7.6 km   Turn left
    7.9 km   Turn right onto Route de Maisons-Laffitte, D 157
    8.8 km   Turn left onto Route du Petit Parc
    9.5 km   Turn right onto Route Royale
   10.0 km   Turn left
   10.2 km   Turn right onto Route de la Vierge
   10.9 km   Keep left onto Route du Maître Particulier (follow 1.3 km)
   12.3 km   Turn left onto Route de la Biche (follow 1.3 km)
   13.5 km   Turn left onto Route de Coligny
   14.2 km   Turn slight left
   14.7 km   Turn sharp right onto Route du Chêne Capitaine (follow 1.6 km)
   16.3 km   Turn left onto Route de la Muette
   16.8 km   Turn right onto Route Forestière des Pavillons
   17.7 km   Turn slight left onto Route de la Vente Frileuse
   18.5 km   Keep left onto Route du Corra (follow 1.5 km)
   20.0 km   Turn right onto Route de la Ferme
   20.2 km   Turn left onto Route Madame (follow 1.6 km)
   21.8 km   Turn right
   22.1 km   Turn left
   22.2 km   Turn left onto Allée des Tamaris Cité de Garenne
   22.5 km   Turn slight right onto Allée des Prunus
   22.6 km   Turn left
   23.0 km   Turn right
   23.2 km   Turn left
   23.2 km   Turn right
   23.3 km   Turn left to Promenade François Mitterrand
   23.8 km   U Turn to Promenade François Mitterrand
  ★ 23.8 km  [coffee] Conflans
   24.4 km   Sharp left
   24.5 km   Sharp right
   25.4 km   Turn sharp right (follow 3.4 km)
   28.9 km   Bear left (follow 1.0 km)
   29.9 km   Turn left onto Voie des Sabliers (follow 1.0 km)
   30.9 km   Turn left (follow 1.1 km)
   32.0 km   Bear right
   32.1 km   Turn left
   32.1 km   Turn left onto La Passerelle
   32.5 km   Turn right onto Rue de Vauréal
  ★ 32.5 km  [see] Ax Majeur
   32.8 km   Bear right
   33.1 km   Turn right
   33.2 km   Turn left
   34.0 km   Turn right
   34.9 km   Turn sharp right onto Rue de Neuville
   35.0 km   Bear left
  ★ 35.1 km  [coffee] Cergy, cafes
   35.7 km   Continue straight onto Passage du Chemin Neuf
   36.0 km   Turn right onto Allée des Voies (follow 1.4 km)
   37.3 km   Turn left onto Chemin des Voies
   38.3 km   Turn right; underpass bridge (follow 1.8 km)
   40.1 km   Turn slight right; keep river at your right
   40.4 km   Slight right onto bike path
   40.6 km   Bear right onto Quai du Pothuis (follow 1.2 km)
   41.8 km   Turn left onto Chemin du Ruisseau
   42.0 km   Turn right (follow 1.6 km)
   43.6 km   Bear left onto Rue du Valhermeil
   43.7 km   Sharp right (follow 1.0 km)
   44.7 km   Bear right to Rue des Ruelles
   45.5 km   Turn right to Rue de la Chériette
   45.9 km   Turn right to Rue Rémy
   45.9 km   Bear left to Rue Gachet
   46.6 km   Bear left on Rue Victor Hugo
   46.7 km   Turn right on Rue de Zundert, D 928
   47.1 km   Turn left onto Rue de la Sansonne
  ★ 47.2 km  [see] Auberge Ravoux (Vincent van Gogh)
   47.2 km   Continue onto Rue Daubigny
  ★ 47.5 km  [see] Church Auvers
   47.6 km   Turn slight right onto Rue de Paris
  ★ 47.6 km  [see] Vincents grave
   47.6 km   Continue onto Rue de Paris, D 928
   47.7 km   Turn left onto Rue Marcel Martin
   47.8 km   Turn sharp right
  ★ 47.9 km  [dock/stay] barge Auvers sur Oise
