PARIS (BOUGIVAL) - AUVERS VIA AX MAJEURE    47.0 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [note] La Défense
    0.0 km   Start der Radtour
    0.0 km   Rechts abbiegen
    0.1 km   Schräg links
    0.2 km   Rechts abbiegen; Brücke überqueren
    0.5 km   Rechts und direkt wieder rechts zurück zum Fluss
  ★ 0.5 km  [dock/stay] Mooring Paris Chatou
  ★ 0.5 km  [dock/stay] Mooring Paris Rueil sur Seine
    0.6 km   Schräg rechts
    0.7 km   Rechts abbiegen (follow 3.1 km)
    3.8 km   Geradeaus weiterfahren
    4.6 km   Rechts und direkt links auf Strasse weiterfahren
    4.7 km   Continue onto Quai de l'Orme de Sully
    4.8 km   Schräg rechts
    4.8 km   Schräg rechts
    4.9 km   Rechts abbiegen; Brücke überqueren
    5.2 km   Geradeaus weiterfahren (follow 1.0 km)
    6.2 km   1. Ausfahrt im Kreisverkehr auf Avenue Gambella
  ★ 6.6 km  [coffee] Café's Saint-Germain-en-Laye
    6.7 km   Geradeaus weiterfahren
    6.7 km   Rechts abbiegen
    6.9 km   Links abbiegen
    7.0 km   Rund um Terrasse fahren
  ★ 7.3 km  [coffee] Café terrace Saint-Germain-en-Laye — cafe with terrace and view
    7.3 km   Rechts abbiegen
    7.6 km   Schräg links
    7.6 km   Schräg rechts
    7.7 km   Schräg rechts
    7.8 km   Links, Strasse überqueren; dann schräg rechts auf Avenue des Loges
    8.1 km   Schräg links auf Route du Pavillon Chinois
    8.4 km   Schräg rechts auf Étoile d'Ayen
    8.5 km   Weiter auf Étoile d'Ayen
    8.6 km   Rechts abbiegen auf Route de la Mare d'Ayen
    9.1 km   Schräg links
    9.1 km   Rechts abbiegen
    9.8 km   Weiter geradeaus; Strasse überqueren (follow 2.1 km)
   11.9 km   Rechts abbiegen auf Route Vieille de Poissy (follow 2.3 km)
   14.2 km   Rechts abbiegen auf Route de Poissy
   14.4 km   Links abbiegen auf Route d'Achères (follow 1.2 km)
   15.5 km   Schräg links auf Radweg weiterfahren
   16.5 km   Rechts abbiegen
   16.7 km   Links abbiegen
   16.9 km   Rechts abbiegen
   17.0 km   Rechts abbiegen auf Avenue de Stalingrad
   17.2 km   Links abbiegen
   17.5 km   2. Ausfahrt im Kreisverkehr
   17.9 km   Schräg rechts; Route National überqueren
   17.9 km   Schräg links auf Radweg
   18.0 km   Schräg rechts auf Rue de Seine
   18.5 km   Schräg links (follow 1.4 km)
   20.0 km   Scharf rechts abbiegen
   20.1 km   Scharf links auf Radweg
   20.4 km   Schräg rechts (follow 1.6 km)
   22.0 km   Links abbiegen
   22.1 km   Links abbiegen
   22.4 km   Rechtsaf naar Promenade François Mitterrand
   22.9 km   Keer om naar Promenade François Mitterrand
  ★ 22.9 km  [coffee] Conflans
   23.4 km   Ga linksaf
   23.5 km   Ga rechtsaf
   24.2 km   Houd rechts aan
   24.4 km   Houd links aan (follow 1.9 km)
   26.3 km   Continue onto Chemin de Fin d'Oise
   26.8 km   Links abbiegen
   27.0 km   Rechts abbiegen auf Chemin de Halage
   27.9 km   Schräg links
   28.0 km   Continue onto Chemin de Halage (follow 1.0 km)
   29.0 km   Links abbiegen auf Voie des Sabliers (follow 1.0 km)
   30.1 km   Links abbiegen (follow 1.1 km)
   31.1 km   Rechts abbiegen
   31.2 km   Links abbiegen
   31.3 km   Links abbiegen; Brücke überqueren
   31.7 km   Rechts abbiegen
  ★ 31.7 km  [note] Ax Majeur
   31.9 km   Schräg rechts
   32.0 km   Geradeaus weiterfahren (follow 1.1 km)
   33.2 km   Rechts abbiegen
   34.1 km   Scharf rechts auf Rue de Neuville
   34.2 km   Scharf links
   34.3 km   Geradeaus weiterfahren
   34.9 km   Schräg links auf Passage du Chemin Neuf
   35.1 km   Rechts abbiegen auf Allée des Voies (follow 1.4 km)
   36.5 km   Links abbiegen
   37.5 km   Schräg rechts auf Radweg (follow 1.8 km)
   39.3 km   Geradeaus weiterfahren
   39.4 km   Rechts und direkt links
   39.5 km   Rechts abbiegen
   39.8 km   Links und direkt rechts
   40.1 km   Schräg rechts auf Radweg
   40.8 km   Schräg rechts auf Quai Eugène Turpin
   41.0 km   Links abbiegen
   41.2 km   Rechts abbiegen (follow 1.6 km)
   42.8 km   Schräg links auf Rue du Valhermeil
   42.9 km   Scharf rechts
   43.3 km   Geradeaus weiterfahren
   43.9 km   Houd rechts aan naar Rue des Ruelles
   44.1 km   Blijf op Rue des Meulières
   44.6 km   Rechtsaf naar Rue de la Chériette
   45.1 km   Rechtsaf naar Rue Rémy
   45.1 km   Houd links aan naar Rue Gachet
   45.6 km   Blijf op Rue Victor Hugo
   45.8 km   Houd links aan naar Rue Victor Hugo
   45.8 km   Rechtsaf naar Rue de Zundert, D 928
  ★ 46.3 km  [note] Auberge Ravoux (Vincent van Gogh)
  ★ 46.7 km  [note] Church Auvers
   46.7 km   Rechtsaf naar Rue de Paris, D 928
   46.8 km   Linksaf naar Rue Marcel Martin
   46.9 km   Rechtsaf
   46.9 km   Linksaf
   46.9 km   Linksaf
   46.9 km   Linksaf
  ★ 47.0 km  [dock/stay] Mooring Auvers sur Oise
