PARIS (CITY) - PARIS (BOUGIVAL) (VIA LA DÉFENCE)    33.1 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Turn sharp right
    0.4 km   Turn right onto Place Philippe de Broca
    0.5 km   Turn right onto Quai de la Rapée
    0.6 km   Turn left
    0.6 km   Turn right onto Parc Berges de Seine - Georges Pompidou (follow 1.4 km)
    2.1 km   Turn right onto Parc Rives de Seine - Georges Pompidou
    2.2 km   Keep right onto Quai de l'Hôtel de Ville
    2.2 km   Turn left onto Quai de l'Hôtel de Ville
    2.4 km   Turn sharp left onto Pont d'Arcole
    2.4 km   Turn left onto Pont d'Arcole
    2.4 km   Turn sharp right (follow 2.1 km)
    4.5 km   Keep right onto Promenade des Berges de la Seine — André Gorz (follow 1.7 km)
    6.3 km   Keep right onto Promenade Gisèle Halimi
    6.6 km   Flauwe bocht naar rechts naar Port de la Bourdonnais (follow 3.2 km)
  ★ 7.4 km  [note] Eifel Tower
  ★ 7.4 km  [note] Eifel Tower
  ★ 7.4 km  [note] Eifel Tower
    9.8 km   Turn left onto Place Tattegrain
    9.8 km   Turn sharp left onto Avenue Henri Martin
   10.2 km   Turn left onto Place de Colombie
   10.2 km   Turn right onto Place de Colombie
   10.3 km   Continue onto Avenue de Saint-Cloud
   10.7 km   At roundabout, take exit 2 onto Chemin de Ceinture du Lac Inférieur
   10.7 km   Turn slight right onto Chemin de Ceinture du Lac Inférieur
   11.2 km   Turn right onto Avenue de l'Hippodrome
   11.3 km   Turn sharp right onto Chemin de Ceinture du Lac Inférieur (follow 1.4 km)
  ★ 12.4 km  [note] Bois de Boulogne
  ★ 12.4 km  [note] Bois de Boulogne
  ★ 12.4 km  [note] Bois de Boulogne
   12.7 km   Turn left onto Route de Suresnes
   12.7 km   Turn right onto Route de Suresnes
   12.8 km   Turn left onto Route Sablonneuse
   13.3 km   Turn right onto Allée de Longchamp
   13.3 km   Turn sharp left onto Route de l'Étoile
   13.3 km   Turn right onto Route Sablonneuse
   14.0 km   Turn right onto Route de la Porte Saint-James
   14.2 km   Turn right onto Allée de Madrid à Neuilly
   14.7 km   Turn sharp left
   14.8 km   Turn left onto Boulevard Maurice Barrès
   14.8 km   Turn right onto Avenue de Madrid
   15.2 km   Turn left onto Rue Boutard
   15.4 km   Turn right onto Rue de Longchamp
   15.6 km   Continue onto Avenue Charles de Gaulle
   15.7 km   Turn left
   15.9 km   Turn right
   16.0 km   Turn right
   16.1 km   Turn left onto Passerelle de l'Aigle
   16.2 km   Turn right
   16.2 km   Turn left (follow 3.1 km)
  ★ 17.4 km  [note] La Défense
  ★ 17.4 km  [note] La Défense
  ★ 17.4 km  [note] La Défense
   19.3 km   Turn right onto Boulevard National, D 992
   19.4 km   Turn left onto Boulevard National
   19.9 km   Turn right onto Rue Roussel
   19.9 km   Turn right onto Boulevard National
   20.0 km   Turn right onto Boulevard National, D 992
   20.1 km   Turn right
   20.3 km   Continue onto Boulevard Charles de Gaulle
   20.4 km   Turn slight left onto Rue Cugnet
   20.5 km   Turn right onto Boulevard Charles de Gaulle, D 992
   20.5 km   Keep right onto Boulevard Charles de Gaulle
   20.9 km   Turn left onto Rue Gabriel Péri
   21.0 km   Turn left
   21.0 km   Turn left onto Rue Gabriel Péri, D 986
   21.0 km   Turn left
   21.2 km   Keep right onto Boulevard Charles de Gaulle
   21.6 km   Turn right
   21.8 km   Turn right
   21.9 km   Turn left onto Chemin de Halage
   22.0 km   Turn right onto Chemin de Halage (follow 2.0 km)
   24.0 km   Turn left onto Chemin de Halage
   24.1 km   Turn left
   24.1 km   Turn right
   24.9 km   Turn left
   24.9 km   Turn right
   25.1 km   Turn right
   25.1 km   Turn right onto Avenue Hoche
   25.5 km   Turn right
   25.6 km   Turn left onto Chemin de Halage (follow 1.0 km)
   26.6 km   Keep right onto Avenue Jules Quentin
   26.6 km   Turn right
   26.8 km   Turn slight left onto Passerelle du Port de Nanterre
   26.8 km   Turn left onto Passerelle du Port de Nanterre
   26.8 km   Turn slight left onto Promenade Bleue (follow 1.4 km)
  ★ 28.0 km  [note] Nice park with roses
  ★ 28.0 km  [note] Nice park with roses
  ★ 28.0 km  [note] Nice park with roses
   28.2 km   Turn right
   28.3 km   Turn right onto Quai Adolphe Giquel
   28.4 km   Turn right
   28.7 km   Turn right onto Rue des Martinets
   28.7 km   Turn right
   28.8 km   Turn left
   29.0 km   Turn right
   29.0 km   Turn right
   29.2 km   Turn left
   29.3 km   Turn right onto Quai Jean Mermoz
   29.7 km   Turn right onto Quai Maxime Laubeuf (follow 1.8 km)
   31.4 km   Continue onto Berge de la Prairie
   32.2 km   Turn right onto Rue Anatole France
   32.3 km   Turn right onto Rue Paul Déroulède
   32.5 km   Turn right onto Rue des Ponts
   32.6 km   Continue onto Pont Maréchal de Lattre de Tassigny
   32.8 km   Turn left
   32.9 km   Turn slight right onto Avenue Jean Baptiste Charcot
