PESCHIERA SUL GARDA - MANTOVA    44.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Hotel Piccini
    0.1 km   Turn left onto Viale della Repubblica
    0.5 km   Turn sharp right onto Via Risorgimento
    0.6 km   At roundabout, take exit 4 onto Via Risorgimento
    0.9 km   At roundabout, take exit 2 onto Via Risorgimento
    1.0 km   Turn right onto Piazzale Cesare Betteloni
    1.2 km   Turn right
    1.3 km   Turn left onto Via Campo Sportivo
    1.4 km   Keep left onto Peschiera - Mantova E7
    2.0 km   Continue onto Via portovecchio
    2.4 km   Continue onto Peschiera - Mantova E7 - BNF (follow 5.1 km)
    7.4 km   Turn left
    7.7 km   Continue onto EV7
    7.8 km   Turn right onto EV7 (follow 5.1 km)
   12.9 km   Turn left onto EV7
   13.0 km   Turn right onto EV7 (follow 1.4 km)
  ★ 14.3 km  [note] Castle Scaligero Valeggio
   14.4 km   Turn right onto Via Raffaello Sanzio
  ★ 14.6 km  [see] Photo stop Borghetto brug
   14.6 km   Turn slight right onto Via Raffaello Sanzio
   14.8 km   Turn sharp right onto Via Mantegna
  ★ 14.9 km  [restroom] WC
   15.1 km   Keep right onto EV7 (follow 13.2 km)
   28.3 km   Turn right onto EV7 (follow 7.2 km)
   35.6 km   Turn right
   35.6 km   Turn left (follow 3.9 km)
   39.6 km   Turn sharp right onto Strada Marmirolo
   39.8 km   Turn right onto EV7
   40.0 km   Turn left onto EV7
   40.3 km   Turn right onto EV7
   40.5 km   Turn right onto EV7 (follow 1.0 km)
   41.5 km   Turn left onto Strada Soave
   41.5 km   Keep right onto EV7
   41.8 km   Turn right onto EV7
   42.7 km   Turn sharp right onto Via Santa Maria Nuova
   42.9 km   Turn right onto EV7
  ★ 43.8 km  [note] Station Mantova
   43.9 km   Turn left
  ★ 44.6 km  [food] Papa's Café, Mantova
   44.6 km   Turn right
   44.6 km   Turn left
   44.7 km   Turn left
   44.8 km   Turn left
  ★ 44.8 km  [dock/stay] Hotel Casa Poli
  ★ 44.8 km  [note] Pick Up Mantova
   44.9 km   Turn right
  ★ 44.9 km  [bike_parking] Meeting point???
