PONT-L'ÉVÊQUE - COMPIÈGNE (VALLEY ROUTE)    37.3 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Keep right onto bridge
    0.5 km   Turn left
    0.7 km   Turn left
    1.1 km   Turn right onto Rue Neuve (follow 1.3 km)
    2.4 km   Turn right onto D 599 (follow 1.9 km)
    4.3 km   Bear left onto Place Saint-Eloi
  ★ 4.3 km  [note] Abbey d'Ourscamp
    4.4 km   Bear left onto Place Saint-Eloi
    5.2 km   Bear left
    5.8 km   Turn right (follow 4.2 km)
   10.0 km   Turn right onto Rue du Fort (follow 2.7 km)
   12.8 km   Bear right (follow 1.5 km)
   14.3 km   Turn left to Rue de Paris, D 932 (follow 2.3 km)
  ★ 14.3 km  [bar] Bar Brasserie Le Rallye
   16.6 km   Turn left to Rue Robert Charpentier (follow 1.2 km)
   17.8 km   Turn left to Boulevard Lafayette, D 15
   18.3 km   Turn left to Rue du Général Mangin
   18.5 km   Turn right to Rue Henri Barbusse (follow 1.3 km)
   19.8 km   Turn left cross bridge
   19.9 km   Turn sharp right then turn left; canal at your right (follow 1.1 km)
   21.0 km   Turn right cross bridge
   21.1 km   Sharp left
   22.0 km   Turn right
   22.0 km   Turn sharp left
   22.6 km   Turn left onto bike path
   23.0 km   Blijf op Rue Ludovic Deligny
   23.5 km   Turn right and cross tracks
   23.5 km   Turn left
   23.6 km   Turn left (follow 1.1 km)
   24.7 km   Turn left onto Place de la Gare
   25.1 km   At roundabout, take exit 2
   26.0 km   Turn left and directly right
   26.1 km   Turn right
   26.2 km   Turn left (follow 2.5 km)
   28.8 km   Turn right cross bridge
   29.5 km   Linksaf
   29.5 km   Turn left
  ★ 29.8 km  [note] Clairière de l'Armistice
  ★ 29.8 km  [restroom] restroom
   30.0 km   Ga linksaf
   30.0 km   Turn left (follow 1.1 km)
   31.1 km   Sharp right onto Route du Carandeau
   31.3 km   Turn left (follow 1.3 km)
   32.6 km   Bear right along river (follow 1.6 km)
   34.2 km   Cross road then turn right on bikepath (follow 1.2 km)
   35.4 km   Cross road; continue on bikepath (follow 1.6 km)
   37.0 km   Turn right
  ★ 37.3 km  [dock/stay] barge Compiegne
  ★ 37.3 km  [note] center of Compiegne
  ★ 37.3 km  [dock/stay] Alternative mooring Compiègne
  ★ 37.3 km  [dock/stay] Alternative mooring Compiègne
