PONT SUR YONNE - SENS (PARC DU MOULIN A TAN)    44.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.2 km  [dock/stay] Pont-sur-Yonne mooring
    0.3 km   Turn right
    0.4 km   Turn sharp left onto Rue Carnot
  ★ 0.4 km  [bar] Pont-sur-Yonne Several bars
    0.6 km   Turn left onto Rue de la Résistance
    0.8 km   Turn sharp left
    0.8 km   Turn right (follow 1.7 km)
    2.6 km   Turn slight right
    2.6 km   Continue onto Rue du Prieuré (follow 1.7 km)
    4.3 km   Turn right onto Rue Charles de Gaulle
    4.6 km   Turn left onto Rue du Chêne
    4.9 km   Keep right onto Rue du Veau
    5.1 km   Turn left onto Rue de Chalopin
    5.4 km   Turn right onto D 23
    5.7 km   Turn left (follow 3.3 km)
  ★ 5.9 km  [bar] Gisy-les-Nobles Aérodrome Restaurant
    9.0 km   Turn right onto Rue de la Chapelle-sur-Oreuse (follow 1.3 km)
   10.3 km   Turn right onto Rue des Haies
   10.5 km   Turn right (follow 2.5 km)
   13.1 km   Keep right onto Route d'Hollard
   13.7 km   Turn left onto Rue Pierre Bonnotte
   14.2 km   Turn left onto D 25 (follow 7.0 km)
  ★ 16.0 km  [note] begraafplaats — commonwealth war graves
  ★ 20.6 km  [water] Thorigny Drinkwater
  ★ 20.9 km  [coffee] café brocante
  ★ 21.0 km  [convenience_store] Thorigny Proxi Market
   21.1 km   Turn right onto Rue Pasteur
  ★ 21.1 km  [see] Grotwoning — (nog niet geweest)
   21.3 km   Turn right onto Rue Chifflot
   21.5 km   Turn sharp left onto Route de Sens
   21.7 km   Turn left onto Route de Voisines (follow 4.8 km)
   26.5 km   Turn slight right onto Grande Rue
   26.7 km   Turn left onto Rue de l'Horloge
   26.8 km   Turn right onto Place de la Chapelle
   26.9 km   Continue onto Rue des Fossés
   27.0 km   Turn left onto Rue de Fontaine (follow 4.2 km)
   31.2 km   Turn right onto Rue des Marais (follow 2.1 km)
  ★ 31.2 km  [rest_stop] Fontaine-la-Gaillarde lavoir picnic
  ★ 31.3 km  [note] Washing place Fontaine-la-Gaillarde
  ★ 33.0 km  [convenience_store] Saligny Fromagerie Lincet
   33.3 km   Turn left onto Rue du Gué
  ★ 33.3 km  [bar] Saligny Bar restaurent Le Basilic
   33.7 km   Turn right onto Rue des Vaux Renards (follow 1.9 km)
  ★ 34.9 km  [coffee] Café / bakery Malay-le-Grand
  ★ 34.9 km  [coffee] Café / Bakery Malay-le-Grand
   35.7 km   Continue onto Route de la Vallée des Prés
   35.8 km   Turn slight left onto D 46
   36.4 km   Turn left
   36.8 km   Turn right
   37.0 km   Turn left (follow 1.1 km)
   38.1 km   Turn right onto Rue des Grahuches
   38.3 km   Turn right onto Boulevard Georges Clémenceau
   38.4 km   Turn left onto Avenue de l'Europe
   38.8 km   Turn left onto Promenade des Champs Plaisants
   39.0 km   Keep right onto Rue d'Alsace-Lorraine
   39.0 km   Turn left
   39.1 km   Turn left onto Ceinture Verte
   39.4 km   Turn right
   39.5 km   Keep right onto Rue Marcel Aymé
   39.7 km   Turn left onto Rue Marcel Aymé
   39.8 km   Turn right onto Rue René Binet
   40.1 km   At roundabout, take exit 1 onto Rue René Binet
   40.4 km   Turn left onto Rue Maurice Prou
   40.9 km   Turn right onto Rue de la Grande Jolivotte
   41.2 km   Turn left onto Chemin des Courtils Moreau
   41.4 km   Turn left onto Rue des Charmes
   41.6 km   Turn right onto Rue des Maraichers
   41.8 km   Turn left onto Avenue de Sénigallia
   41.9 km   Turn right onto Chemin d'Entre Deux Vannes
   42.2 km   Turn left onto Rue du Général Dubois
  ★ 42.4 km  [restroom] Toilet
  ★ 42.5 km  [park] Sens Parc de moulin an Tan
  ★ 42.5 km  [rest_stop] Parc du moulin a Tan — fietsen parkeren
   42.7 km   Turn left onto Rue de Mocquesouris
   42.8 km   Continue onto Rue du Coup de Pied de Mocquesouris
   43.0 km   Turn right onto Rue Eugène Delaporte
   43.2 km   Turn left onto Boulevard de la Liberté
   43.5 km   Turn right onto Quai du Petit Hameau
  ★ 44.2 km  [dock/stay] Sens Mooring
  ★ 44.2 km  [note] Sens market
  ★ 44.2 km  [monument] Sens Cathedral
  ★ 44.2 km  [dock/stay] Mooring Sens
  ★ 44.2 km  [dock/stay] Mooring Sens
