REMICH - SAARBURG (ENTLANG FLUSS)    48.0 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Remich
    0.0 km   Links abbiegen auf Zur Moselbrücke (follow 3.0 km)
    3.0 km   Dem Straßenverlauf folgen
    4.0 km   Leicht links abbiegen (follow 2.0 km)
    6.0 km   Links abbiegen
    6.9 km   Links abbiegen
    6.9 km   Rechts abbiegen (follow 3.5 km)
   10.4 km   Rechts halten
   10.5 km   Links abbiegen auf L 134
   10.6 km   Rechts abbiegen auf Rue Principale, CR 122B
   11.2 km   Rechts abbiegen auf Rue Principale, CR 122C
   11.5 km   Links abbiegen auf Route du Vin, N 10 (follow 1.3 km)
  ★ 11.6 km  [winery] Wine Cooperative Wormeldange Poll Fabaire
   12.8 km   Rechts abbiegen
   13.0 km   Scharf rechts abbiegen auf Rue Principale, CR 122B
   13.6 km   Links abbiegen auf Am Bahnhof (follow 7.1 km)
  ★ 20.7 km  [caution] Steep — Small bike lane uphill with left curve
   20.7 km   Rechts halten (follow 1.2 km)
   21.9 km   Rechts abbiegen auf B 419
   22.1 km   Rechts abbiegen auf Moselstraße
   22.6 km   Rechts abbiegen auf Am Bahnhof, B 419
   23.3 km   Turn right onto Am Bahnhof
   23.3 km   Scharf rechts abbiegen
   23.3 km   Scharf rechts abbiegen
   23.4 km   Leicht links abbiegen auf B 419
   23.8 km   Rechts abbiegen
   23.8 km   Links abbiegen auf Rue de la Poste
  ★ 23.8 km  [convenience_store] Bakery Grevenmacher
   23.9 km   Rechts abbiegen auf Rue de l'Église
   24.0 km   Rechts abbiegen auf Place du Marché
  ★ 24.0 km  [restroom] Public restroom Grevenmacher
  ★ 24.0 km  [coffee] Café Grevenmacher — good place to park bikes
   24.0 km   Links abbiegen auf Rue de l'Église
   24.2 km   Links abbiegen auf Rue Kummert, CR 140
   24.3 km   Leicht links abbiegen auf Rue du Pont, N 10A
   24.4 km   Scharf rechts abbiegen
   24.5 km   Links abbiegen auf Rue du Pont, N 10A
   24.7 km   Links halten auf Am Bahnhof, B 419
   25.0 km   Rechts abbiegen
   25.0 km   Dem Straßenverlauf folgen
   25.1 km   Rechts abbiegen (follow 1.8 km)
   26.9 km   Rechts abbiegen auf Moselstraße
   27.0 km   Leicht links abbiegen
   27.7 km   Links halten (follow 2.1 km)
   29.8 km   Leicht links abbiegen auf Moselstraße (follow 1.6 km)
  ★ 31.0 km  [bar] zur Fähre
   31.4 km   Links halten
   32.3 km   Rechts abbiegen
   32.3 km   Links abbiegen
   33.1 km   Links abbiegen (follow 3.6 km)
  ★ 36.3 km  [see] Saarmündung — Mouth Saar => Moselle
   36.6 km   Dem Straßenverlauf folgen (follow 3.1 km)
   39.7 km   Links abbiegen (follow 4.0 km)
   43.7 km   Links halten
   43.9 km   Links halten
   44.1 km   Links halten
   44.5 km   Links abbiegen
   44.6 km   Leicht links abbiegen (follow 2.3 km)
  ★ 46.7 km  [dock/stay] Docking Saarburg (alternative)
   46.9 km   Links halten
  ★ 48.0 km  [dock/stay] Docking Saarburg (centre)
  ★ 48.0 km  [restroom] Restroom
  ★ 48.0 km  [note] Saarburg Centre
