REMICH - SAARBURG (ÜBER MANNEBACH)    39.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Remich
    0.0 km   Links abbiegen auf Zur Moselbrücke (follow 3.0 km)
    3.0 km   Dem Straßenverlauf folgen
    4.0 km   Leicht links abbiegen (follow 2.0 km)
    6.0 km   Links abbiegen
    6.9 km   Links abbiegen
    6.9 km   Rechts abbiegen (follow 3.5 km)
   10.4 km   Rechts halten
   10.5 km   Links abbiegen auf L 134
   10.6 km   Rechts abbiegen auf Rue Principale, CR 122B
   11.2 km   Rechts abbiegen auf Rue Principale, CR 122C
   11.5 km   Links abbiegen auf Route du Vin, N 10 (follow 1.3 km)
  ★ 11.6 km  [winery] Wine Cooperative Wormeldange Poll Fabaire
   12.8 km   Rechts abbiegen
   13.0 km   Scharf rechts abbiegen auf Rue Principale, CR 122B
   13.6 km   Turn left onto Bahnhofstraße (follow 6.0 km)
   19.6 km   Rechts abbiegen
   19.6 km   Links abbiegen
   19.7 km   Rechts abbiegen
  ★ 19.9 km  [convenience_store] Bakery
   20.5 km   Links abbiegen auf Neuweg (follow 2.2 km)
   22.7 km   Rechts abbiegen
   23.1 km   Links abbiegen
   23.4 km   Rechts abbiegen
   23.9 km   Links abbiegen (follow 2.1 km)
   26.0 km   Scharf rechts abbiegen auf L 136 (follow 1.9 km)
   27.9 km   Links abbiegen auf Römerstraße, L 136
  ★ 28.1 km  [coffee] Bakery / Café / Restroom Tawern
   28.3 km   Leicht links abbiegen auf Bachstraße, K 110
   28.5 km   Links abbiegen auf Bachstraße
   28.9 km   Dem Straßenverlauf folgen
   29.4 km   Links halten (follow 3.5 km)
   33.0 km   Rechts abbiegen auf Hauptstraße, L 135
   33.1 km   Links abbiegen auf Hauptstraße, L 135
  ★ 33.2 km  [bar] Brewery Mannebach — Mannebacher Brauhaus
   33.2 km   Leicht rechts abbiegen auf Kümmerner Weg, L 135
   33.3 km   Links abbiegen auf Kirchstraße
   33.3 km   Scharf links abbiegen auf Schulstraße
   33.4 km   Links abbiegen auf Schulstraße
   33.4 km   Rechts abbiegen auf Hauptstraße, L 135
   33.5 km   Rechts abbiegen auf Hauptstraße, L 135
   33.9 km   Links abbiegen auf L 135 (follow 2.7 km)
   36.6 km   Links abbiegen
   36.8 km   Rechts abbiegen
   36.9 km   Links abbiegen auf L 135 (follow 2.3 km)
   39.2 km   Im Kreisverkehr Ausfahrt 3 auf Graf-Siegfried-Straße nehmen
   39.8 km   Scharf links abbiegen auf Staden
   39.9 km   Links abbiegen
   39.9 km   Links abbiegen
  ★ 39.9 km  [dock/stay] Docking Saarburg (centre)
  ★ 39.9 km  [dock/stay] Docking Saarburg (alternative)
