RONDTOUR KØGE    34.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.2 km  [note] Køge mini-by  museum
  ★ 0.3 km  [note] Braunstein Brouwerij
  ★ 8.5 km  [note] Vallø Castle
  ★ 11.0 km  [note] Toftegaard Trivhuscafe
  ★ 14.9 km  [note] toiletten bij pompstation
  ★ 27.0 km  [note] supermarket
  ★ 34.5 km  [note] torvet - square
  ★ 34.6 km  [note] st Nicolaichurch
  ★ 34.6 km  [note] Det gamle Hus - oldest house
  ★ 34.6 km  [note] cityhall
  ★ 34.6 km  [note] Køge museum
  ★ 34.6 km  [note] KØS museum for kunst
