ROTTERDAM - KINDERDIJK - NIEUWPOORT    42.8 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [see] Markthal
  ★ 0.1 km  [dock/stay] Ligplaats Rotterdam Oosterkade
    0.2 km   Rechtsaf naar Maasboulevard
    0.3 km   Rechtsaf
    0.4 km   Rechtsaf naar Maasboulevard
  ★ 1.2 km  [see] Zicht op Skyline van Rotterdam
    1.3 km   Houd rechts aan naar Maasboulevard
    1.5 km   Houd links aan op het fietspad naar KP 67
    1.9 km   Rechtsaf naar KP 75
    2.0 km   Blijf op het fietspad; steek de weg over naar KP 75
  ★ 2.3 km  [see] Drinkwater Station — Watertoren uit 1874
    2.7 km   Steek de weg over en ga rechtsaf het fietspad op naar KP 75
    2.8 km   Rechtsaf naar Nesserdijk
    3.0 km   Houd links aan naar Nesserdijk (follow 2.4 km)
  ★ 4.8 km  [see] Van Brienenoordbrug — Gebouwd in 1965 (eerste gedeelte). 1990 tweede gedeelte.
    5.4 km   Rechtsaf naar Schaardijk (follow 2.2 km)
    7.6 km   Houd rechts aan
    7.6 km   Houd links aan naar Kars-Wegeling Pad
    7.9 km   Rechtsaf naar Algeraweg
  ★ 8.1 km  [see] Algerabrug — Gebouwd in 1958. Sluizen en brug zijn onderdeel van de Deltawerken.
    8.6 km   Rechtsaf
    8.6 km   Rechtsaf naar Koningin Wilhelminaplein
    8.9 km   Linksaf naar Noorderstraat
    9.0 km   Scherp naar rechts naar Tuinstraat
    9.1 km   Linksaf naar IJsseldijk
    9.3 km   Linksaf naar Lekdijk
    9.8 km   Rechtsaf naar Lekdijk
    9.8 km   Rechtdoor naar Parallelweg
    9.9 km   Linksaf naar Industrieweg
   10.7 km   Houd links aan naar KP 81
   10.7 km   Rechtsaf
   11.0 km   Rechtdoor
   11.3 km   Rechtsaf (follow 1.9 km)
   13.1 km   Rechtdoor
   14.0 km   Rechtsaf naar KP 81
   14.2 km   Rechtdoor naar KP 14
   14.7 km   Linksaf, steek de weg over
   14.9 km   Linksaf
   15.1 km   Rechtsaf naar KP 14 (follow 1.1 km)
  ★ 16.0 km  [ferry] Ferry Krimpen - Kinderdijk — ca € 1,00 pp enkele reis
   16.2 km   Linksaf
   16.2 km   Houd links aan naar Lekweg
   16.4 km   Houd links aan
   16.6 km   Linksaf naar Molenstraat
   16.6 km   Rechtdoor naar Molenstraat
   16.7 km   Rechtsaf naar Nederwaard (follow 1.2 km)
  ★ 16.9 km  [note] Ingang
  ★ 17.0 km  [rest_stop] Bankjes
  ★ 17.0 km  [note] Ticketverkoop Molentours
  ★ 17.0 km  [restroom] ca € 1,00 pp
  ★ 17.0 km  [coffee] Café en souvenirs
  ★ 17.6 km  [see] Molens Kinderdijk
  ★ 17.6 km  [see] Museummolen
   18.0 km   Rechtdoor naar KP 19 (follow 2.2 km)
  ★ 18.1 km  [see] Museummolen
   20.2 km   Linksaf naar KP 07 (follow 4.9 km)
   25.2 km   Linksaf; ga de brug over
   25.3 km   Rechtsaf naar Achterdijk (follow 2.8 km)
  ★ 25.6 km  [see] Broekmolen
   28.1 km   Rechtsaf naar KP 33
  ★ 28.3 km  [caution] Steile brug
   28.4 km   Linksaf (follow 2.1 km)
  ★ 29.3 km  [note] De Donk — Kleine buurt, gebouwd op een zandduin
   30.4 km   Linksaf naar Brandwijksedijk (follow 3.9 km)
  ★ 32.3 km  [coffee] Riekjeshoeve — Boerderijwinkel. IJs. Toilet. Bankjes
  ★ 34.3 km  [caution] Zeer steile brug, beter om te lopen.
   34.4 km   Rechtsaf; dan links de brug over
   34.4 km   Linksaf naar KP 68
   34.9 km   Rechtsaf
   35.0 km   Linksaf naar Achterland
  ★ 35.0 km  [see] Watermolen — Achterlandse Molen
   35.7 km   Houd rechts aan naar Molenkade
  ★ 35.8 km  [see] Watermolen
   36.4 km   Houd rechts aan naar Molenkade
   36.8 km   Houd rechts aan naar Molenkade
  ★ 36.9 km  [see] Watermolen
   37.2 km   Linksaf naar Kerkstraat
   37.6 km   Rechtsaf naar Voorstraat (follow 1.7 km)
  ★ 37.7 km  [food] Posthuis — Café Restaurant open vanaf 12 h
   39.3 km   Scherp naar rechts naar KP 83
   39.7 km   Linksaf
   40.0 km   Linksaf naar Wilgenweg
   40.0 km   Linksaf naar Wilgenweg (follow 2.1 km)
  ★ 41.5 km  [note] Schoonhoven: meerdere restaurants en winkels
  ★ 41.5 km  [dock/stay] Ligplaats Schoonhoven
  ★ 41.5 km  [note] Zilvermuseum
  ★ 41.6 km  [ferry] Ferry Schoonhoven — ca € 1,30 pp
   42.1 km   Linksaf naar Wilgenweg
   42.1 km   Rechtsaf naar Provincialeweg
   42.1 km   Houd rechts aan naar Tiendweg
   42.3 km   Turn slight right onto Hoogstraat
  ★ 42.5 km  [see] Nieuwpoort — Old town as fortress. Since 1283
  ★ 42.5 km  [food] De Dam — Café en Restaurant
   42.5 km   Sla linksaf de Buitenhaven in
   42.6 km   Maak een U-bocht naar de Buitenhaven
   42.7 km   Sla licht naar rechts af naar Het Hoofd
