ROTTERDAM - KINDERDIJK - SCHOONHOVEN - GOUDA    60.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [see] Markthal
  ★ 0.1 km  [dock/stay] Ligplaats Rotterdam Oosterkade
    0.2 km   Turn right onto Maasboulevard
    0.2 km   Turn right
    0.4 km   Rechtsaf naar Maasboulevard
    1.3 km   Houd rechts aan naar Maasboulevard
  ★ 1.3 km  [see] Zicht op Skyline van Rotterdam
    1.9 km   Rechtsaf naar Oude Plantagedreef
    2.0 km   Rechtdoor naar Honigerdijk
  ★ 2.1 km  [see] Drinkwater Station — Watertoren uit 1874
    2.7 km   Linksaf naar Nesserdijk
    2.8 km   Rechtsaf naar Nesserdijk
    3.0 km   Houd links aan naar Nesserdijk (follow 2.4 km)
  ★ 4.7 km  [see] Van Brienenoordbrug — Eerste gedeelte gebouwd in 1965, tweede gedeelte in 1990.
    5.4 km   Rechtsaf naar Schaardijk
    5.5 km   Scherp naar rechts naar Schaardijk (follow 2.2 km)
    7.6 km   Houd rechts aan
    7.7 km   Houd links aan naar Kars-Wegeling Pad
    7.9 km   Rechtsaf naar Algeraweg
  ★ 8.1 km  [see] Algerabrug — Gebouwd in 1958, sluizen en brug zijn onderdeel van de Deltawerken
    8.6 km   Rechtsaf
    8.7 km   Rechtsaf naar Koningin Wilhelminaplein
    8.9 km   Linksaf naar Noorderstraat
    9.1 km   Scherp naar rechts naar Tuinstraat
    9.2 km   Linksaf naar IJsseldijk
    9.8 km   Rechtsaf naar Lekdijk
    9.8 km   Rechtdoor naar Parallelweg
    9.9 km   Linksaf naar Industrieweg
   10.0 km   Scherp naar rechts naar Lekdijk
   10.7 km   Houd links aan naar Toepad
   10.8 km   Rechtsaf naar Sluisvlietpad
   11.2 km   Rechtsaf naar Sluisvlietpad
   11.3 km   Rechtsaf (follow 2.8 km)
   14.1 km   Rechtsaf naar Krilpad
   14.8 km   Linksaf naar Krilpad
   15.0 km   Linksaf naar Schepenstraat
   15.1 km   Rechtsaf naar Hoofdstraat
   15.6 km   Rechtdoor
  ★ 16.0 km  [ferry] Ferry Krimpen - Kinderdijk — ca € 1,- pp enkele reis
   16.2 km   Linksaf
   16.2 km   Houd links aan naar Lekweg
   16.5 km   Houd links aan
   16.7 km   Linksaf naar Molenstraat
   16.7 km   Rechtdoor naar Molenstraat
   16.8 km   Rechtsaf naar KP 02 (follow 3.5 km)
  ★ 17.0 km  [note] Ingang
  ★ 17.0 km  [rest_stop] Bankjes
  ★ 17.0 km  [restroom] ca € 1,- pp
  ★ 17.0 km  [note] Ticketverkoop Molentours
  ★ 17.1 km  [coffee] Café en souvenirs
  ★ 17.5 km  [see] Museummolen
  ★ 17.7 km  [see] Windmolens
  ★ 18.1 km  [see] Museummolen
   20.3 km   Houd links aan (follow 4.9 km)
   25.2 km   Linksaf; ga over de brug
   25.4 km   Rechtsaf naar KP 33 (follow 2.8 km)
  ★ 25.6 km  [see] Broekmolen
   28.2 km   Rechtsaf naar KP 33
  ★ 28.3 km  [caution] Steile brug
   28.4 km   Linksaf (follow 2.1 km)
  ★ 29.2 km  [note] De Donk — Kleine buurt, gebouwd op een zandduin
   30.5 km   Linksaf naar Brandwijksedijk (follow 3.9 km)
  ★ 32.4 km  [coffee] Riekjeshoeve
  ★ 34.4 km  [caution] Zeer steile brug, beter om te lopen
   34.4 km   Rechtsaf; dan links de brug over
   34.5 km   Linksaf naar KP 68
   35.0 km   Linksaf naar Achterland
  ★ 35.1 km  [see] Watermolen — Achterlandse Molen
   35.8 km   Houd rechts aan naar Molenkade
  ★ 35.9 km  [see] Watermolen
   36.4 km   Houd rechts aan naar Molenkade
   36.8 km   Houd rechts aan naar Molenkade
  ★ 36.9 km  [see] Watermolen
   37.2 km   Linksaf naar Kerkstraat
   37.6 km   Rechtsaf naar Voorstraat (follow 1.7 km)
  ★ 37.7 km  [food] Posthuis — Café Restaurant. Open vanaf 12 h
   39.3 km   Scherp naar rechts naar Liesveld
   39.8 km   Linksaf
   40.0 km   Linksaf naar Wilgenweg
   40.0 km   Linksaf naar Wilgenweg (follow 2.1 km)
   42.1 km   Linksaf naar Wilgenweg
   42.1 km   Linksaf naar Provincialeweg
   42.2 km   Houd rechts aan naar Tiendweg
   42.3 km   Houd rechts aan naar Hoogstraat
  ★ 42.6 km  [food] De Dam — Café Restaurant
   42.6 km   Maak een U-bocht naar Hoogstraat (follow 1.2 km)
  ★ 42.6 km  [see] Nieuwpoort — Oude versterkte stad. Sinds 1283
   43.8 km   Rechtsaf naar Veerstoep
   43.9 km   Rechtdoor naar Veerdienst Schoonhoven
  ★ 44.0 km  [ferry] Ferry Schoonhoven — ca € 1,30 pp
  ★ 44.2 km  [food] Brasserie De Veerpoort
   44.2 km   Rechtsaf naar Buiten de Veerpoort
  ★ 44.3 km  [see] De Veerpoort
   44.4 km   Linksaf naar Tol
   44.5 km   Rechtsaf naar Koestraat
   44.8 km   Rechtsaf naar Kerkstraat
  ★ 44.8 km  [note] Zilvermuseum
   44.9 km   Maak een U-bocht naar Haven
  ★ 44.9 km  [note] Schoonhoven: meerdere restaurants en winkels
   44.9 km   Rechtsaf naar Koestraat
   45.1 km   Rechtdoor naar Koestraat
   45.4 km   Rechtsaf naar Meester Kesperplein
   45.4 km   Houd links aan naar Meester Kesperplein
   45.5 km   Linksaf
   45.5 km   Houd rechts aan naar H.A. Schreuderstraat
   46.0 km   Linksaf naar Opweg
   46.1 km   Rechtsaf naar Bonrepas (follow 2.4 km)
  ★ 46.5 km  [see] Watermolen
  ★ 46.8 km  [rest_stop] Koffie en bankjes — Self Service
   48.5 km   Rechtsaf naar Slangeweg
   48.6 km   Houd links aan naar Oost-Vlisterdijk (follow 3.5 km)
  ★ 48.6 km  [coffee] De Vlist
  ★ 49.2 km  [bar] Café Vlist
  ★ 51.5 km  [see] Poolstokspringclub
   52.1 km   Houd links aan naar het fietspad (follow 1.2 km)
  ★ 52.9 km  [see] Watermolen
   53.2 km   Houd links aan naar Bredeweg
   53.7 km   Rechtsaf naar Jan van Arkelstraat
   54.0 km   Houd rechts aan naar Grote Haven
   54.0 km   Linksaf
   54.1 km   Linksaf
   54.1 km   Rechtsaf naar Grote Haven
  ★ 54.1 km  [see] Historisch gemaal — Sinds 1872. Open voor bezoek
   54.3 km   Rechtsaf naar Veerstraat
   54.6 km   Linksaf naar Steinsedijk
   54.6 km   Scherp naar links naar Steinsedijk (follow 3.9 km)
   58.5 km   Scherp naar links naar Goejanverwelledijk
   58.6 km   Houd rechts aan naar Goejanverwelledijk
   58.8 km   Houd links aan naar Nieuwe Veerstal
   58.8 km   Rechtdoor naar Nieuwe Veerstal
   58.9 km   Houd rechts aan naar Nieuwe Veerstal
  ★ 59.0 km  [see] Graanmolen
   59.0 km   Houd rechts aan naar Oosthaven
  ★ 59.5 km  [see] St Jans Kerk — Glas-in-lood ramen
   59.5 km   Rechtsaf naar Wijdstraat
  ★ 59.6 km  [note] Gouda centrum — Marktplein en kaasmarkt
   59.7 km   Rechtsaf naar Markt
   59.7 km   Linksaf naar Achter de Waag
  ★ 59.8 km  [bike_parking] Gratis fietsenstalling
  ★ 59.8 km  [restroom] Openbaar toilet — in de fietsenstalling
  ★ 59.8 km  [note] Centrale plein: winkels, restaurants, cafés
  ★ 59.8 km  [see] Oude Waaggebouw — Kaasmuseum en VVV
  ★ 59.8 km  [food] Pannekoekenrestaurant
  ★ 59.8 km  [bar] Gouda Café en Restaurants
   59.8 km   Houd rechts aan naar Markt
   59.9 km   Linksaf naar Wijdstraat
   60.0 km   Houd rechts aan en houd dan links aan naar KP 40
   60.0 km   Linksaf naar Westhaven
   60.5 km   Houd links aan naar Westhaven
   60.5 km   Rechtsaf naar IJsselkade
  ★ 60.5 km  [dock/stay] Ligplaats Gouda Veerstal
  ★ 60.5 km  [see] Historische haven
