ROTTERDAM (BOOMPJESKADE) - GOUDA    56.9 km    · signs & notes only ·

Knooppunten: 12 · 32 · 86 · 15 · 23 · 85 · 29 · 88 · 89 · 9 · 92 · 93 · 26 · 24 · 3 · 6 · 5 · 23 · 29 · 41 · 40

DIRECTIONS
    0.0 km   Turn right onto Boompjes
  ★ 0.0 km  [water] Water Source
    0.8 km   Keep right onto Westzeedijk
    1.3 km   Turn right onto Westzeedijk
    1.4 km   Turn left onto Westzeedijk
    1.7 km   Continue onto Droogleever Fortuynplein
    1.9 km   Turn right onto G.J. de Jonghweg
    2.2 km   Turn left onto Rochussenstraat (follow 2.0 km)
  ★ 2.7 km  [dock/stay] Mooring ship
    4.3 km   Continue straight to junction 12
  ★ 4.6 km  [note] Mevlana Mosk
  ★ 4.7 km  [note] Zoo Blijdorp
    4.9 km   Follow signs to junction 32 (exit right, heading NE) toward junction 86
    6.7 km   Follow signs to junction 86 (exit left, heading NW) toward junction 15
    8.1 km   Turn right to junction 15 (follow 1.0 km)
    9.1 km   Follow signs to junction 23 (exit left, heading E) toward junction 85
    9.6 km   Follow signs to junction 85 via bike path, bikepath (exit left, heading NE) toward junction 29
   11.4 km   Follow signs to junction 29 (exit right, heading SE) toward junction 88
   12.5 km   Follow signs to junction 88 (exit right, heading NE) toward junction 89
   14.4 km   Turn right to junction 89
   15.3 km   Follow signs to junction 9 (exit left, heading NE) toward junction 92
   18.8 km   Continue straight to junction 92
   19.5 km   Continue straight to junction 93
   20.1 km   Follow signs to junction 26 (exit right, heading SE) toward junction 24
   23.8 km   Continue straight to junction 24
   24.5 km   Turn left; cross bridge then turn right to junction 3
   25.3 km   Follow signs to junction 6 (exit right, heading E) toward junction 5
   28.5 km   Turn left to junction 5
   29.1 km   Follow signs to junction 23 (exit left, heading NW) toward junction 29
  ★ 33.1 km  [coffee] Café Cyclo Style Moordrecht
   33.3 km   Follow signs to junction 29 via bike path (exit right, heading NE) toward junction 41
   35.9 km   Follow signs to junction 41 (exit right, heading E) toward junction 40
   38.8 km   Follow signs to junction 40 via IJsselkade, Schielands Hoge Zeedijk, Haastrechtsebrug, Verkeersplein Stolwijkersluis, Schoonhovenseweg, Goudseweg, Dorpsplein, Wijdstraat, Schoonouwenseweg, Geerpad, Willem-Alexanderstraat, Julianaplein, West-Vlisterdijk, Bonrepas, Opweg, Vlisterweg, Meester Kesperplein, Pleinweg, Uitdragersstraat, Tol, Veerstraat, Buiten de Veerpoort, Veerstoep, Schoonhovenseveer, Buitenhaven, Het Hoofd (exit right)
  ★ 38.8 km  [note] Gouda center — market square and cheese market
  ★ 39.3 km  [dock/stay] Mooring Gouda Veerstal
