ROTTERDAM (COOLHAVEN) - WATERBUS 3,0 KM DEU 2026    3.0 km    · signs & notes only ·

DIRECTIONS
    0.3 km   Rechts halten
    0.4 km   Leicht rechts abbiegen auf G.J. de Jonghweg
    0.7 km   Links abbiegen auf G.J. de Jonghweg
    0.7 km   Links halten auf G.J. de Jonghweg
    0.8 km   Dem Straßenverlauf von G.J. de Jonghweg folgen
    1.4 km   Rechts abbiegen auf Parkkade
    1.9 km   Scharf links abbiegen auf Heuvellaan
    2.4 km   Rechts abbiegen auf Westplein
    2.5 km   Rechts abbiegen auf Veerkade
    2.7 km   Links halten auf Willemskade
    2.9 km   Rechts abbiegen
  ★ 3.0 km  [ferry] Waterbus
