SAARBURG - REMICH (VIA RIVER)    52.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Saarburg (centre)
    0.0 km   Start of ride; water on your right (follow 8.3 km)
  ★ 1.3 km  [dock/stay] Docking Saarburg (alternative)
    8.3 km   Turn right; stay along the river (follow 1.9 km)
   10.3 km   Turn right (follow 2.4 km)
  ★ 11.8 km  [see] Mouth of Saar - Moselle
   12.6 km   Bear left (follow 2.4 km)
   15.0 km   Turn right
   15.7 km   Bear left
   15.8 km   Turn right
   15.8 km   Turn right
   16.6 km   Bear right (follow 4.4 km)
  ★ 17.1 km  [coffee] zur Fähre — after 11 am
   21.1 km   Bear right onto Moselstraße
   21.2 km   Turn left to stay on Moselstraße (follow 1.8 km)
   23.0 km   Turn left; cross road then right
   23.1 km   Turn left
   23.3 km   Bear right
   23.7 km   Turn right
   23.8 km   Turn left onto Proosteneck
  ★ 23.9 km  [convenience_store] Bakery Grevenmacher
  ★ 23.9 km  [restroom] Public restroom Grevenmacher
  ★ 23.9 km  [bar] Bar — Own lunch permitted when ordering a drink
  ★ 23.9 km  [coffee] Café Grevenmacher — good place to park bikes
   24.0 km   Turn left onto Place du Marché
   24.2 km   Turn left
   24.3 km   Bear left
   24.6 km   Bear right
   24.8 km   Turn left
   25.4 km   Turn left
   25.9 km   Turn left; river at your right
   26.1 km   Turn left (follow 1.2 km)
  ★ 27.3 km  [caution] Steep — narrow bike path downhill with right curve
   27.3 km   Turn right cross road; continue along the river (follow 2.9 km)
   30.1 km   Bear right (follow 4.3 km)
   34.4 km   Turn right cross bridge
   34.6 km   Turn right onto Rue Principale
   35.1 km   Turn right onto Rue Principale
   35.4 km   Turn left onto Route du Vin, N 10
   35.6 km   Make a U-turn onto Route du Vin, N 10 (follow 1.4 km)
  ★ 35.6 km  [winery] Wine Cooperative Wormeldange Poll Fabaire
   37.0 km   Turn right onto Rue Principale,
   37.4 km   Turn right ocross bridge
   37.6 km   Turn right (follow 3.6 km)
   41.1 km   Turn left and directly right
   42.1 km   Bear right onto Moselradweg (follow 2.0 km)
   44.1 km   Bear right
   44.2 km   Bear left
   44.8 km   Bear right (follow 3.1 km)
   47.9 km   Turn right to mooring
   48.2 km   Turn left
   48.4 km   Turn right onto B406
   48.7 km   Enter the roundabout
   48.7 km   At roundabout take exit 1
   48.9 km   Turn left onto Wieser Str.
   49.5 km   Turn left onto Berger Weg
   49.6 km   Turn right onto Martinusstraße
   50.1 km   Bear right onto Römerstraße
   50.2 km   Turn left to Roman villa. Turn around to bike back to the ship
  ★ 50.2 km  [monument] Roman Mozaik floor Nennig
   50.2 km   Turn right
   50.9 km   Turn left
   51.0 km   Turn right
   51.6 km   Turn right
   51.8 km   At roundabout take exit 3
   52.1 km   Turn right
   52.2 km   Bear left
   52.3 km   Turn right
   52.4 km   Bear left
   52.5 km   End of ride
  ★ 52.5 km  [dock/stay] Docking Remich
