SAMARA - AMIENS    15.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Barge Samara
    8.2 km   Turn right
    8.9 km   Turn right (follow 1.4 km)
   10.2 km   Continue onto Quai de la Somme (follow 1.5 km)
   11.7 km   Turn right
   11.8 km   Turn right
   11.8 km   Turn right onto Quai de la Passerelle
   12.0 km   Turn slight right
   12.0 km   Turn right onto Rue du Jardin des Plantes
   12.0 km   Turn left
   12.0 km   Turn right
   12.1 km   Turn left onto Place Vogel
   12.3 km   Turn right onto Rue du Marché Lanselles
   12.4 km   Turn left onto Rue des Orfèvres
   12.5 km   Continue onto Rue André
   12.6 km   Turn left onto Rue André
  ★ 12.6 km  [note] Tourist Info Amiens
   12.6 km   Turn slight right onto Place Notre-Dame
   12.7 km   Turn slight left onto Place Notre-Dame
   12.7 km   Turn slight left onto Rue Cormont
   12.9 km   Keep right onto Place Saint-Michel
   12.9 km   Continue onto Rue Adeodat Lefevre
   13.0 km   Turn slight right onto Rue de l'Oratoire
   13.3 km   Turn left
   13.3 km   Turn right onto Boulevard d'Alsace-Lorraine
   13.6 km   Turn left
   13.7 km   Turn slight left onto Boulevard de Beauvillé
  ★ 13.8 km  [note] Les Hortillonnages
   14.0 km   Turn sharp right onto Chemin de Halage (follow 1.1 km)
   15.1 km   Turn slight left
   15.2 km   Turn right
   15.3 km   Turn left onto Boulevard des Fusillés
   15.5 km   Turn sharp left onto Rue du Jardin des Plantes
   15.5 km   Turn right
   15.6 km   Turn slight right
  ★ 15.6 km  [dock/stay] Barge Amiens
