SAMBEEK- VENLO    48.3 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Drop off Sambeek
    0.0 km   Start am Schiff, Wasser zur linken Seite
    0.9 km   Dem Straßenverlauf zum Knotenpunkt 34 folgen
    1.3 km   Dem Straßenverlauf zum Knotenpunkt 86 folgen
    1.3 km   Rechts abbiegen
    1.4 km   Links abbiegen, Straße überqueren
    1.6 km   Rechts abbiegen
    1.9 km   Links abbiegen
    2.0 km   Rechts abbiegen zum Knotenpunkt 14
    2.5 km   Rechts halten
    2.7 km   Links abbiegen
    2.8 km   Rechts abbiegen zum Knotenpunkt 33
  ★ 3.3 km  [food] Café / Restaurant Rimpelt
    3.5 km   Dem Straßenverlauf folgen zum Knotenpunkt 83 (follow 1.1 km)
    4.6 km   Dem Straßenverlauf folgen zum Knotenpunkt 77 (follow 1.2 km)
    5.8 km   Rechts abbiegen auf Smal
  ★ 6.7 km  [coffee] De Smal
    6.7 km   Dem Straßenverlauf folgen zum Knotenpunkt 69 (follow 1.6 km)
    8.4 km   Scharf links abbiegen zum Knotenpunkt 82 (follow 1.1 km)
    9.5 km   Rechts abbiegen zum Knotenpunkt 31
   10.1 km   Rechts halten
   10.6 km   Links abbiegen
   11.3 km   Erst links, dann direkt rechts abbiegen
   11.6 km   Links abbiegen zum Knotenpunkt 79 (follow 2.5 km)
   14.1 km   Geradeaus weiterfahren zum Knotenpunkt 37
   14.6 km   Scharf rechts abbiegen zum Knotenpunkt 29 (follow 1.1 km)
   15.7 km   Rechts abbiegen
   16.1 km   Links abbiegen
   16.5 km   Links halten
   16.7 km   Straße überqueren
   16.7 km   Links abbiegen zum Knotenpunkt 65
   17.0 km   Rechts abbiegen
   17.8 km   Geradeaus weiterfahren zum Knotenpunkt 66 (follow 1.1 km)
   18.9 km   Links abbiegen, Straße überqueren
   18.9 km   Links abbiegen
   19.0 km   Rechts abbiegen (follow 1.0 km)
   20.0 km   Klinks abbiegen zum Knotenpunkt 71
   20.8 km   Recht abbiegen zum Knotenpunkt 15
   21.3 km   Rechts halten (follow 2.3 km)
   23.6 km   Rechts halten zum Knotenpunkt 14; Fähre benutzen
  ★ 23.9 km  [ferry] ferry
  ★ 24.2 km  [coffee] Café Tante Jetje Bltterswijck
   24.2 km   Links abbiegen zum Knotenpunkt 58 (follow 1.2 km)
   25.4 km   Erst links, dann direkt rechts abbiegen zum Knotenpunkt 10
   25.4 km   Rechts abbiegen
   25.6 km   Links halten (follow 1.1 km)
   26.8 km   Rechts abbiegen
   27.1 km   Rechts abbiegen
   27.5 km   Links halten zum Knotenpunkt 09
   27.7 km   Links abbiegen
   28.1 km   Links abbiegen
   28.3 km   Rechts abbiegen
   29.0 km   Rechts abbiegen
   29.5 km   Rechts abbiegen zum Knotenpunkt 53
   30.2 km   Links abbiegen, Knotenpunktsystem verlassen
   30.7 km   Knotenpunktsystem zu Knotenpunkt 57 folgen
   31.0 km   Geradeaus weiterfahren zum Knotenpunkt 56
   31.2 km   Links abbiegen
   31.5 km   Links abbiegen zum Knotenpunkt 70; Fähre nutzen
  ★ 31.5 km  [ferry] Ferry
   31.9 km   Dem Straßenverlauf folgen zum Knotenpunkt 25
   32.3 km   Rechts abbiegen (follow 1.8 km)
   34.1 km   Dem Straßenverlauf folgen zum Knotenpunkt 92
   34.9 km   Rechts halten
   34.9 km   Rechts halten
   35.7 km   Rechts abbiegen
   35.8 km   Links abbiegen zum Knotenpunkt 28 (follow 1.1 km)
   36.9 km   Links abbiegen
   37.0 km   Links abbiegen
   37.2 km   Rechts abbiegen
   37.2 km   Rechts abbiegen
   37.6 km   Rechts abbiegen
   38.0 km   Links abbiegen
   38.2 km   Links abbiegen (follow 1.1 km)
   39.3 km   Rechts abbiegen zum Knotenpunkt 84 (follow 1.4 km)
   40.7 km   Rechts abbiegen
   41.7 km   Links halten zum Knotenpunkt 96
   42.0 km   Rechts abbiegen zum Knotenpunkt 07 (follow 1.5 km)
   43.6 km   Scharf rechts abbiegen
   44.5 km   Links abbiegen
   44.8 km   Rechts abbiegen
   45.7 km   Rechts abbiegen
   45.7 km   Rechts abbiegen; Knotenpunktsystem verlassen
   45.9 km   Links abbiegen
   46.0 km   Rechts abbiegen
   46.2 km   Links abbiegen
   46.3 km   Rechts halten (follow 1.1 km)
   47.4 km   Rechts abbiegen, dem Knotenpunktsystem zu Knotenpunkt 07 folgen
   47.9 km   Dem Straßenverlauf zum Knotenpunkt 08 folgen
   47.9 km   2.Ausfahrt im Kreisverkehr nehmen zum Knotenpunkt 08
   48.1 km   Rechts abbiegen auf Fahrradweg
   48.2 km   Scharf rechts abbiegen
   48.2 km   Links abbiegen
   48.3 km   Ende der Radtour
  ★ 48.3 km  [dock/stay] Docking Venlo
