SCHIPPERSKERK - ROERMOND    39.6 km    · signs & notes only ·

Knooppunten: 25 · 21

DIRECTIONS
  ★ 0.0 km  [start] Liegeplatz Schipperskerk
    1.0 km   Links abbiegen auf Meerveldweg
    1.0 km   Rechts abbiegen auf Waddenlaan
    1.2 km   Links abbiegen auf Medealaan
    1.3 km   Rechts abbiegen auf Ruitersdijk (follow 2.2 km)
  ★ 3.5 km  [see] Der große Stuhl — Schmalste Stelle der Niederlande (4,8 km)
    3.5 km   Links abbiegen auf Illikhoven
    3.7 km   Rechts abbiegen auf Illikhoven
    3.8 km   Scharf links abbiegen auf Visserweert
    3.8 km   Rechts halten (follow 1.3 km)
    5.1 km   Links halten auf Ruitersdijk
    5.2 km   Rechts halten auf Ruitersdijk
    6.0 km   Scharf rechts abbiegen auf Ruitersdijk
    6.2 km   Rechts abbiegen auf Kokkelertstraat
    6.5 km   Links abbiegen auf Maaseikerweg
    6.5 km   Rechts abbiegen
    6.5 km   Links abbiegen auf Maaseikerweg (follow 1.3 km)
    7.8 km   Leicht rechts abbiegen auf Koningin Fabiolalaan
    7.8 km   Links abbiegen
    7.8 km   Links abbiegen auf Koningin Fabiolalaan
    7.9 km   Rechts abbiegen auf Bleumerstraat, N761
    8.2 km   Rechts abbiegen auf Markt
    8.2 km   Links abbiegen auf Markt
    8.2 km   Rechts abbiegen auf Eikerstraat
  ★ 8.2 km  [note] Touristeninformation, WC, Museum
  ★ 8.2 km  [coffee] Café De Starre — Markt 42, Maaseik
    8.5 km   Links halten auf Venlosesteenweg
    8.8 km   Rechts abbiegen auf Heilige Harlindisstraat
    8.8 km   Links abbiegen auf Kluisstraat
    9.1 km   Links abbiegen auf Koningin Fabiolalaan
    9.2 km   Rechts abbiegen
    9.2 km   Rechts abbiegen auf Koningin Fabiolalaan
    9.3 km   Links abbiegen auf Hamontweg
    9.7 km   Rechts halten
    9.7 km   Leicht rechts abbiegen auf Hamontweg
   10.0 km   Follow signs to junction 25 (exit left, heading N) toward junction 21
  ★ 11.8 km  [coffee] Bar mit Terrasse
  ★ 13.5 km  [coffee] Cafe De Spaenjerd — Schöne Terrasse
   18.1 km   Follow signs to junction 21 (exit left)
  ★ 20.1 km  [note] Weiße Stadt Thorn
  ★ 20.2 km  [coffee] Kaffee und Pfannkuchen
  ★ 39.6 km  [dock/stay] Liegeplatz Roermond
