SCHLÖGEN - LINZ    57.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Riverresort Hotel
    3.8 km   Keep right
    4.0 km   Turn right (follow 5.0 km)
    9.0 km   Turn slight right onto Kobling, L525
    9.6 km   Turn left onto Kobling (follow 9.2 km)
   18.7 km   Keep right onto Donauradweg (follow 6.6 km)
   25.3 km   Turn left
   25.3 km   Turn right (follow 4.1 km)
  ★ 25.9 km  [coffee] Bäckerei Moser
  ★ 25.9 km  [restroom] Free toilets
  ★ 25.9 km  [see] Pfarrkirche Aschach
  ★ 25.9 km  [bike_parking] Behind bus stop
  ★ 26.2 km  [parking] Driver stop
  ★ 26.4 km  [convenience_store] SPAR supermarket
  ★ 26.4 km  [parking] VAN and bike parking
   29.5 km   Turn sharp left onto Donauradweg (follow 11.5 km)
   40.9 km   Turn sharp left onto Fall
   41.0 km   Turn left onto Donauradweg (follow 2.4 km)
  ★ 42.8 km  [see] Fotostop (Schloss Ottensheim)
  ★ 42.9 km  [see] Schloss Ottensheim
   43.5 km   Turn sharp right onto Donauweg
   43.6 km   Turn left
   43.9 km   Turn slight right
   44.0 km   Turn slight right
   44.3 km   Turn left
   44.4 km   Turn right
  ★ 44.4 km  [parking] Driver stop
   44.4 km   Turn right
  ★ 44.5 km  [bike_parking] bike parking
  ★ 44.5 km  [restroom] Free toilet
   44.5 km   Make a U-turn
  ★ 44.5 km  [note] Wilhering Abbey
  ★ 44.5 km  [coffee] Stifts Café Wilhering
  ★ 44.5 km  [see] Rococo church
   44.5 km   Turn left
   44.6 km   Turn left
   44.7 km   Turn right
   45.0 km   Turn slight left
   45.0 km   Turn slight left
   45.3 km   Turn right onto Donauweg
   45.5 km   Turn sharp left
   45.7 km   Turn right onto Donauradweg
  ★ 45.7 km  [ferry] Ferry to Ottensheim
  ★ 45.8 km  [see] Cable ferry
   46.0 km   Turn right onto Siglallee (follow 1.5 km)
  ★ 47.1 km  [caution] Walk, train cross
   47.5 km   Turn left (follow 4.1 km)
  ★ 47.5 km  [caution] Bike tunnel sharp turn
  ★ 47.9 km  [caution] Small bike line next to busy road
   51.6 km   Turn left
  ★ 51.6 km  [caution] Bike tunnel walk!
   51.7 km   Turn slight right onto Gartenstadtstraße
   52.3 km   Turn right
   52.3 km   Turn left onto Wilheringer Straße
   52.7 km   Slight left (follow 2.0 km)
   54.7 km   Slight right onto Obere Donaustraße
  ★ 55.3 km  [see] Foto stop Linz
   55.6 km   Slight left to stay on Obere Donaustraße
   55.6 km   Turn left onto Flußgasse
   55.8 km   Turn right onto Bernaschekpl.
   55.8 km   Continue onto Fiedlerstraße
   55.9 km   Turn right onto Hauptstraße/​B129
   56.3 km   Continue onto Hauptpl.
   56.4 km   Keep right onto Hofgasse
   56.6 km   Turn left onto Hahnengasse
   56.6 km   Turn left onto Altstadt
   56.7 km   Continue onto Landhausplatz
  ★ 56.7 km  [caution] Walking area!
   56.8 km   Turn sharp right
  ★ 57.1 km  [food] Stiegl-Klosterhof (Dinner)
   57.2 km   Continue onto Herrenstraße
  ★ 57.2 km  [see] Fotostop Mariendom
   57.4 km   Turn left onto Langgasse
   57.5 km   Turn right onto Gesellenhausstraße
  ★ 57.6 km  [dock/stay] Kolping Hotel
  ★ 57.6 km  [bike_parking] Bikes in parking garage Hotel
