SCHOKKERHAVEN - VOLLENHOVE (ÜBER SCHOKLAND)    30.1 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Schokkerhaven
    0.0 km   Rechts abbiegen auf Ramsdijk
    0.2 km   Links halten auf Ramsdijk
    0.5 km   Dem Straßenverlauf von Palenweg folgen
    1.3 km   Rechts abbiegen
    1.5 km   Rechts halten
    1.6 km   Leicht rechts abbiegen auf Ruïnepad (follow 1.0 km)
    2.6 km   Dem Straßenverlauf von Ruïnepad folgen
  ★ 3.4 km  [see] Museum Schokland — Geological, archaeological and historical objects in the permanent exhibition give a picture of the genesis of the Noordoostpolder area, the origin and disappearance of the island, the life of the Schokker population and the eventual reclamation of the polder.

Photocredits: Museum Schokland
    3.5 km   Rechts abbiegen auf Middelbuurt
    3.5 km   Rechts abbiegen auf Middelbuurt
    3.7 km   Links abbiegen auf Plankenpad (follow 2.7 km)
  ★ 5.9 km  [see] Former harbour Schokland — Wooden platforms and moorings of the reconstructed harbour on the former island of Schokland, Unesco world heritage in the Netherlands

Photocredits: Ernst Dirksen Fotografie
    6.4 km   Rechts abbiegen (follow 1.1 km)
    7.5 km   Rechts abbiegen auf Vliegtuigweg
    8.3 km   Rechts abbiegen
    8.8 km   Rechts abbiegen auf Sloefweg
    9.3 km   Rechts abbiegen auf Drietorensweg
    9.3 km   Leicht rechts abbiegen auf Drietorensweg
   10.2 km   Links abbiegen auf Mammouthweg (follow 4.6 km)
  ★ 11.5 km  [dock/stay] Docking Ramspolbrug
   14.8 km   Dem Straßenverlauf von Mammouthweg folgen
   15.0 km   Leicht links abbiegen
   15.0 km   Rechts abbiegen (follow 1.3 km)
   16.3 km   Links abbiegen
   16.6 km   Links halten
   17.5 km   Rechts halten
   17.7 km   Rechts halten
   18.1 km   Links abbiegen auf Leemringweg
   18.3 km   Rechts abbiegen auf Leemringweg
  ★ 18.4 km  [bar] Voorsterbos Brasserie de Voorst
   18.5 km   Rechts abbiegen
   18.5 km   Links abbiegen
   18.9 km   Links halten (follow 2.2 km)
   21.1 km   Links abbiegen
   21.1 km   Rechts halten
   21.1 km   Links abbiegen (follow 2.0 km)
   23.1 km   Rechts abbiegen
   23.8 km   Links abbiegen
   23.9 km   Links abbiegen auf Kadoelerweg
   24.2 km   Links halten
   24.5 km   Links abbiegen
   24.8 km   Rechts abbiegen auf Repelweg
   25.6 km   Links abbiegen
   26.1 km   Links abbiegen auf Deltaweg
   26.2 km   Leicht rechts abbiegen auf Scheveweg
   26.4 km   Links abbiegen auf Scheveweg
   26.6 km   Wenden auf Scheveweg
  ★ 26.6 km  [see] Waterloo forest — State Monument Waterloopbos is a historic open-air laboratory in a beautiful polder forest. Here hundreds of studies have been carried out into the behavior of water. You will find remnants of the research for the Delta Works, but also water works for exotic places such as the port of Lagos.
  ★ 26.6 km  [coffee] Waterloopbos Café
   26.8 km   Rechts abbiegen auf Scheveweg
   27.0 km   Links halten auf Deltaweg
   27.1 km   Rechts abbiegen auf Voorsterweg
   27.6 km   Links abbiegen auf Repelweg (follow 1.6 km)
   29.3 km   Leicht rechts abbiegen auf Vollenhoverweg
   29.7 km   Leicht rechts abbiegen auf Aan Zee
   29.8 km   Dem Straßenverlauf folgen
   29.8 km   Leicht rechts abbiegen auf Aan Zee
   29.8 km   Rechts abbiegen auf Haven
  ★ 30.1 km  [dock/stay] Docking Vollehoven
