SCHOONHOVEN - UTRECHT CITY CENTRE (LUNCH AT SWIMMINGPOOL)50 KM ENG 2026    51.2 km    · signs & notes only ·

DIRECTIONS
    0.3 km   Turn left onto Tol
    0.4 km   Turn right onto Koestraat
    1.1 km   Continue onto Pleinweg
    1.1 km   Turn right onto Meester Kesperplein
    1.2 km   Turn left
    1.2 km   Turn slight right onto H.A. Schreuderstraat
    1.8 km   Turn left onto Opweg
    1.8 km   Turn right onto Bonrepas (follow 2.4 km)
    4.2 km   Rechtsaf naar Slangeweg
    4.3 km   Houd links aan naar Oost-Vlisterdijk (follow 2.9 km)
    7.2 km   Rechtsaf naar Hoonaardpad (follow 1.4 km)
    8.5 km   Linksaf naar Hoonaardpad
    9.3 km   Linksaf naar Hoenkoopse Buurtweg (follow 1.6 km)
   10.9 km   Rechtsaf naar Provincialeweg Oost
   11.2 km   Linksaf naar Provincialeweg Oost
   11.3 km   Linksaf
   11.5 km   Linksaf naar Goejanverwelle
   11.6 km   Houd rechts aan naar Goejanverwelle (follow 1.1 km)
   12.7 km   Rechtsaf naar Poppelendam (follow 4.3 km)
  ★ 15.8 km  [note] Cheese farm Ruige Weide
   17.0 km   Rechtsaf naar Tappersheul
   17.0 km   Houd rechts aan naar Kerkwetering
   17.9 km   Linksaf naar Papenhoeflaan
   17.9 km   Houd rechts aan naar Johan J. Vierbergenweg
   18.1 km   Houd links aan
   18.2 km   Rechtsaf naar Oude Singel
   18.2 km   Rechtsaf naar Oude Singel
   18.3 km   Rechtsaf naar Biezenpoortstraat
   18.5 km   Rechtsaf naar Kromme Haven
   18.5 km   Houd links aan naar Donkere Gaard
  ★ 18.8 km  [monument] Witches' Weighhouse museum (heksenwaag)
   18.8 km   De Donkere Gaard draait iets naar rechts en wordt de Peperstraat
   18.8 km   Sla linksaf naar de Visbrug
   18.9 km   Sla linksaf om op de Visbrug te blijven
   18.9 km   Sla rechtsaf naar de Kapellestraat
   19.1 km   Weg vervolgen naar de Waardsedijk (follow 5.2 km)
