SCHWEICH - BERNKASTEL-KUES    54.3 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [stop] Drop off Schweich
    0.2 km   Leicht links abbiegen
    0.3 km   Rechts abbiegen
    0.3 km   Rechts abbiegen
    0.4 km   Rechts abbiegen auf L 141
    0.7 km   Rechts abbiegen
    1.4 km   Links halten (follow 2.2 km)
    3.6 km   Links abbiegen
    4.4 km   Links abbiegen (follow 1.6 km)
    6.0 km   Links abbiegen (follow 1.5 km)
    7.5 km   Rechts halten
    7.6 km   Scharf links abbiegen auf K 85
    7.7 km   Links abbiegen auf Wiesenflurweg
    7.9 km   Scharf rechts abbiegen
    8.1 km   Links abbiegen auf In der Kirchheck
  ★ 8.1 km  [monument] Roman Villa Mehring
    8.1 km   Links abbiegen auf Im Hostert
  ★ 8.1 km  [restroom] Mehring toilet (free)
    8.2 km   Links abbiegen auf Wiesenflurweg
    8.3 km   Rechts abbiegen auf Wiesenflurweg
    8.4 km   Rechts abbiegen (follow 3.3 km)
   11.7 km   Links halten
   12.2 km   Dem Straßenverlauf folgen (follow 1.0 km)
   13.3 km   Links halten (follow 1.9 km)
   15.2 km   Dem Straßenverlauf von Hinter der Kirche folgen
   15.3 km   Rechts abbiegen auf Maternusstraße
   15.3 km   Dem Straßenverlauf von Moselstraße folgen
   15.8 km   Links abbiegen (follow 1.6 km)
   17.4 km   Turn left
   17.7 km   Dem Straßenverlauf folgen
   17.8 km   Rechts abbiegen auf Beethovenstraße
  ★ 17.8 km  [coffee] Offm Herach
  ★ 17.9 km  [coffee] Cafe Alter Bahnhof
   18.6 km   Links abbiegen auf Im Moselwinkel
   18.7 km   Rechts abbiegen (follow 2.3 km)
  ★ 20.5 km  [coffee] Cafe Leiwen
   21.0 km   Links halten
   21.4 km   Rechts abbiegen auf K 86
  ★ 21.5 km  [note] Kneipp footh bath Leiwen
   21.5 km   Leicht links abbiegen
  ★ 21.7 km  [restroom] Restroom
   22.1 km   Dem Straßenverlauf folgen (follow 1.7 km)
   23.7 km   Links abbiegen auf L 156
   23.7 km   Rechts halten (follow 1.6 km)
   25.3 km   Rechts abbiegen
   26.2 km   Links abbiegen
   26.2 km   Leicht rechts abbiegen
   26.5 km   Rechts abbiegen auf L 156
   26.5 km   Dem Straßenverlauf von Hinterburg, L 156 folgen
   27.0 km   Links abbiegen auf Burgstraße
  ★ 27.0 km  [coffee] Cafe Warsberger Weinhof
   27.1 km   Dem Straßenverlauf folgen
   27.1 km   Rechts abbiegen
  ★ 27.1 km  [coffee] Cafe Käpt'n Cook
  ★ 27.2 km  [food] Ausonius Restaurant Pizzeria
  ★ 27.3 km  [start] Neumagen pick-up / drop-off
   27.3 km   Rechts abbiegen
   27.4 km   Links abbiegen
  ★ 27.4 km  [see] Tombstone wineship
   27.4 km   Dem Straßenverlauf von Moselstraße folgen
   27.7 km   Links abbiegen auf Römerstraße, L 156
   28.2 km   Links abbiegen
   28.3 km   Links abbiegen auf B 53
   28.9 km   Links abbiegen
   29.7 km   Rechts halten (follow 2.7 km)
   32.4 km   Rechts halten
  ★ 32.8 km  [note] Roman wine press Piesport
   33.2 km   Rechts abbiegen auf Ausoniusufer
   33.2 km   Rechts abbiegen auf Brückenstraße, L 50
   33.4 km   Rechts abbiegen auf Brückenstraße
   33.5 km   Scharf rechts abbiegen
  ★ 33.6 km  [convenience_store] Edeka supermarket — bakery in Edeka supermarket
   33.7 km   Links halten (follow 1.7 km)
  ★ 33.7 km  [restroom] Restroom — in building next to supermarket
   35.4 km   Leicht links abbiegen auf Moselstraße
   36.0 km   Rechts abbiegen auf Moselstraße
   36.1 km   Links abbiegen
  ★ 36.2 km  [bar] Moselblick
   36.3 km   Rechts halten (follow 1.1 km)
   37.4 km   Rechts halten (follow 3.0 km)
   40.4 km   Sla linksaf richting Moselstraße
   40.5 km   Sla rechtsaf richting Moselstraße
   40.6 km   Weg vervolgen naar Moselstraße (follow 1.8 km)
  ★ 40.6 km  [restroom] toilet (€ 0,50)
  ★ 41.2 km  [bar] (seasonal) wine terrace
   42.3 km   Links abbiegen
   43.2 km   Rechts halten
   43.4 km   Links abbiegen
   43.8 km   Links abbiegen
   44.4 km   Dem Straßenverlauf von Nussbaumallee folgen (follow 2.5 km)
  ★ 44.7 km  [restroom] Restroom — (ask at tourist office)
   46.9 km   Links abbiegen auf Moselstraße
   47.0 km   Rechts abbiegen
   47.3 km   Rechts abbiegen
   47.3 km   Links abbiegen
   47.5 km   Rechts halten
   47.5 km   Rechts halten
   47.6 km   Links abbiegen
   47.6 km   Rechts abbiegen (follow 1.6 km)
   49.2 km   Links abbiegen
   49.2 km   Rechts abbiegen
   50.0 km   Links abbiegen (follow 2.0 km)
   52.0 km   Leicht rechts abbiegen
  ★ 52.1 km  [dock/stay] Docking Bernkastel (Schutzhafen)
   52.3 km   Rechts abbiegen
   52.3 km   Links abbiegen
   52.5 km   Rechts abbiegen
  ★ 52.5 km  [dock/stay] Docking Bernkastel (city)
   52.6 km   Rechts abbiegen auf Gestade, B 53
  ★ 52.6 km  [atm] atm
  ★ 52.7 km  [bike_parking] Bike Parking — (down the stairs)
  ★ 52.7 km  [restroom] Restroom
   52.7 km   Rechts abbiegen auf L 47
  ★ 52.7 km  [see] Bernkastel old city center
   53.0 km   Links abbiegen auf Saarallee, L 47
   53.1 km   Links abbiegen auf Triniusstraße
   53.2 km   Rechts halten
   53.2 km   Rechts abbiegen
   53.4 km   Links halten
   54.0 km   Rechts halten
   54.2 km   Links abbiegen
