ST. AMANDS - ANTWERP (VIA WATERBUS)    37.2 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Scharf links abbiegen
    0.1 km   Links abbiegen auf Kaai
    0.2 km   Links halten
    0.2 km   Links halten (follow 1.2 km)
    1.5 km   Links halten
    1.5 km   Links abbiegen
    1.6 km   Rechts abbiegen
    2.0 km   Links abbiegen (follow 2.3 km)
    4.3 km   Rechts abbiegen
    4.4 km   Links abbiegen auf Benedenstraat
    4.5 km   Links abbiegen auf Luipegem
    4.5 km   Links abbiegen auf Luipegem
    4.6 km   Links abbiegen auf Beerdonkstraat (follow 1.2 km)
    5.8 km   Dem Straßenverlauf von Appeldijkstraat folgen (follow 1.5 km)
    7.3 km   Rechts abbiegen auf Binnendijkstraat (follow 3.6 km)
   10.9 km   Rechts abbiegen auf Sas
   11.3 km   Links halten
   11.7 km   Links abbiegen
   12.2 km   Rechts halten
   12.4 km   Leicht links abbiegen auf Consciencestraat
   12.5 km   Rechts abbiegen auf Wilfordkaai
   12.7 km   Dem Straßenverlauf von Wilfordkaai folgen
  ★ 12.7 km  [coffee] Cafes in Temse
   12.7 km   Rechts abbiegen auf Priester Poppestraat
   12.8 km   Links abbiegen auf Kasteelstraat
   12.9 km   Links abbiegen auf Markt
  ★ 12.9 km  [coffee] Gulden Cop — Open daily from 10am
Closed Wed
   13.0 km   Links abbiegen auf Wilfordkaai
   13.4 km   Links halten
   13.5 km   Links abbiegen
   14.3 km   Leicht rechts abbiegen
   14.9 km   Rechts halten (follow 2.5 km)
   17.4 km   Rechts halten
   17.7 km   Rechts abbiegen (follow 1.2 km)
   19.0 km   Links halten
   19.0 km   Leicht rechts abbiegen auf Lepelstraat
   19.5 km   Scharf rechts abbiegen auf Gelaagstraat
   19.6 km   Rechts halten
   20.0 km   Links abbiegen auf Nederstraat
   20.1 km   Leicht rechts abbiegen auf Nederstraat
   20.1 km   Rechts abbiegen auf Nederstraat
  ★ 20.1 km  [see] Water Mill
   20.2 km   Scharf rechts abbiegen
  ★ 20.2 km  [monument] Statue Mercator
   20.2 km   Biegen Sie links ab.
   20.4 km   Weiter auf der Scheepbouwersstraat
   20.8 km   Halten Sie sich links auf der Overloopdijk.
   21.3 km   Halten Sie sich rechts auf der Overloopdijk.
   21.7 km   Biegen Sie scharf rechts auf die Overloopdijk ab.
   21.7 km   Wenden Sie auf den Overloopdijk.
   21.7 km   Biegen Sie leicht links in den Zandgaanweg ein. (follow 1.0 km)
   22.7 km   Biegen Sie links ab auf den Blauwe Gaanweg.
   23.1 km   Scharf rechts abbiegen (follow 1.0 km)
  ★ 23.6 km  [see] Castle Wissekerke
  ★ 23.8 km  [coffee] De Schuur — Small agricultural museum with bar.
  ★ 24.1 km  [note] turn left for lunch — Turn left across the dyke for lunch in Bazel.
   24.2 km   Halten links
   25.1 km   Halten Rechts (follow 2.2 km)
   27.4 km   Halten links
   27.5 km   Beigen scharf rechts
   27.8 km   Beigen links auf Overloopdijk
   27.9 km   Leicht links abbiegen auf Overloopdijk
  ★ 28.0 km  [note] Waterbus Kruibeke - Antwerpen — 32km until this point
  ★ 28.0 km  [ferry] Ferry Kruibeke - Antwerp — Departures at 10 min & 40 min past every whole hour. 
Does not operate at 1.10pm
   28.0 km   Links halten auf DeWaterbus Schelde (follow 7.6 km)
   35.6 km   Rechts halten
   35.7 km   Links abbiegen
   35.7 km   Rechts abbiegen
   35.8 km   Rechts abbiegen
  ★ 35.8 km  [monument] Cathedral of our Lady
   36.0 km   Links halten
   36.9 km   Rechts abbiegen
  ★ 37.0 km  [see] MAS Museum — Panorama roof with free access.
   37.1 km   Links abbiegen auf Kattendijkdok-Westkaai
  ★ 37.1 km  [dock/stay] Docking Antwerpen (Willemdok)
  ★ 37.2 km  [dock/stay] Docking Antwerpen (Kattendijkdok)
  ★ 37.2 km  [dock/stay] Docking Antwerpen (Bar Paniek)
