ST. AMANDS - ANTWERPEN    39.8 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Scharf links abbiegen
    0.1 km   Links abbiegen auf Kaai
    0.2 km   Leicht rechts abbiegen (follow 1.3 km)
    1.5 km   Links halten
    1.5 km   Links abbiegen
    1.6 km   Rechts abbiegen
    1.9 km   Links abbiegen
    2.0 km   Links abbiegen (follow 1.5 km)
    3.4 km   Links halten
    4.3 km   Rechts abbiegen
    4.4 km   Links abbiegen auf Benedenstraat
    4.5 km   Links abbiegen auf Luipegem
    4.5 km   Links abbiegen auf Luipegem
    4.6 km   Links abbiegen auf Beerdonkstraat (follow 1.2 km)
    5.8 km   Dem Straßenverlauf von Appeldijkstraat folgen (follow 1.5 km)
    7.3 km   Rechts abbiegen auf Binnendijkstraat (follow 3.6 km)
  ★ 9.4 km  [monument] Schloss Marnix de Sainte- Aldegonde
   10.9 km   Rechts abbiegen auf Sas
   11.3 km   Links halten
   11.7 km   Links abbiegen
   12.2 km   Rechts halten
   12.4 km   Rechts abbiegen
   12.4 km   Rechts abbiegen auf Kasteelstraat
  ★ 12.6 km  [restroom] Toilet in Schwimmbad
   12.7 km   Leicht rechts abbiegen auf Kasteelstraat
   12.8 km   Rechts abbiegen auf Fonteinstraat (follow 1.5 km)
   14.3 km   Rechts abbiegen auf Scouselestraat
   14.5 km   Rechts abbiegen auf Lange Dreef
   15.1 km   Links halten
   15.1 km   Links abbiegen (follow 1.6 km)
   16.8 km   Rechts halten
   17.1 km   Rechts abbiegen (follow 1.2 km)
   18.3 km   Links halten
   18.3 km   Leicht rechts abbiegen auf Lepelstraat
   18.8 km   Scharf rechts abbiegen auf Gelaagstraat
   18.9 km   Rechts halten
  ★ 19.0 km  [monument] Skulptur der schwarzen Dame
   19.3 km   Turn left
  ★ 19.4 km  [monument] Gezeitenmühle
  ★ 19.4 km  [monument] Graventoren
   19.8 km   Continue onto Scheepbouwersstraat
   20.0 km   Enter roundabout
   20.0 km   Turn sharp left
   20.1 km   Rechts abbiegen
   20.1 km   Leicht rechts abbiegen
   20.5 km   Rechts halten
   21.4 km   Rechts halten
   21.5 km   Scharf rechts abbiegen
   21.6 km   Links abbiegen
   22.0 km   Scharf rechts abbiegen auf Achter den Berg (follow 1.8 km)
  ★ 22.9 km  [monument] Schloss Wissekerke
  ★ 23.1 km  [coffee] De Schuur
   23.8 km   Turn right onto Dweerse gaanweg (follow 2.6 km)
   26.5 km   Turn slight left
   26.6 km   Links abbiegen auf Scheldelei
   26.7 km   Rechts abbiegen auf Langestraat
   26.8 km   Rechts abbiegen auf Langestraat
   26.8 km   Links abbiegen auf Molenstraat
   27.2 km   Rechts abbiegen auf Akkerstraat
   27.7 km   Rechts abbiegen auf Warandestraat
   27.9 km   Leicht links abbiegen auf Hollestraat
   28.7 km   Rechts abbiegen auf Vossenstraat
   29.6 km   Scharf rechts abbiegen auf Heirbaan
   30.5 km   Dem Straßenverlauf von Krijgsbaan folgen
   30.6 km   Scharf links abbiegen auf Heirbaan
   31.4 km   Rechts abbiegen auf Veldstraat
   31.6 km   Rechts abbiegen auf Oeverkant
   32.0 km   Links halten
   32.0 km   Links abbiegen
   33.0 km   Scharf rechts abbiegen auf Martinusplein
   33.1 km   Dem Straßenverlauf folgen
   33.3 km   Links abbiegen
   33.3 km   Rechts abbiegen auf Kaaiplein (follow 2.5 km)
   35.8 km   Rechts halten auf Beatrijslaan (follow 1.0 km)
   36.8 km   Rechts abbiegen
   36.9 km   Rechts abbiegen
   36.9 km   Rechts abbiegen
   36.9 km   Links abbiegen
   36.9 km   Rechts abbiegen
   37.5 km   Dem Straßenverlauf von Sint-Annatunnel folgen
   37.5 km   Links abbiegen auf Sint-Jansvliet
   37.6 km   Rechts abbiegen
   37.6 km   Rechts abbiegen auf Sint-Jansvliet
   37.6 km   Links abbiegen auf Hoogstraat
   37.9 km   Links abbiegen auf Suikerrui
   37.9 km   Leicht links abbiegen auf Suikerrui
   38.1 km   Rechts abbiegen auf Suikerrui
   38.1 km   Links abbiegen auf Suikerrui
   38.1 km   Rechts abbiegen
   38.4 km   Links halten (follow 1.1 km)
   39.5 km   Rechts abbiegen auf Rijnkaai
   39.6 km   Rechts abbiegen auf Limastraat
   39.7 km   Rechts abbiegen auf Limastraat
   39.7 km   Rechts abbiegen auf Limaplein
   39.8 km   Links abbiegen auf Limaplein
   39.8 km   Links abbiegen auf Kattendijkdok-Westkaai
