TERNEUZEN - ANTWERPEN    58.2 km    · signs & notes only ·

DIRECTIONS
    1.1 km   Keep right onto Beneluxweg
    1.2 km   Turn left onto Kennedylaan
    1.3 km   Turn right onto Verlengde van Steenbergenlaan
    1.5 km   Continue onto van Steenbergenlaan
    1.8 km   Turn left onto van Steenbergenlaan
    1.8 km   Continue onto Oostelijk Bolwerk
    1.9 km   Turn right
    1.9 km   Turn sharp left onto Oesterputten
    2.1 km   Turn slight left onto Scheldeboulevard
    2.2 km   Turn right onto Scheldeboulevard
    2.7 km   Turn left onto Scheldeboulevard
    2.9 km   Continue onto Churchilllaan
    3.0 km   Turn slight left onto Scheldeboulevard (follow 2.3 km)
    5.4 km   Turn slight left onto Margarethaweg (follow 1.0 km)
    6.4 km   Turn right onto Paardendijk (follow 1.3 km)
    7.7 km   Turn slight left onto Valweg
    7.9 km   Turn left onto Val
    8.6 km   Turn right onto Grote Huissenspolderweg (follow 1.7 km)
   10.3 km   Turn left onto Reuzenhoek (follow 1.7 km)
   12.0 km   Turn left onto Plein
   12.1 km   Continue onto Veerstraat
   12.2 km   Turn right onto Veerstraat
   12.3 km   Turn left
   12.4 km   Turn right onto Veerstraat
   12.6 km   Turn left onto Veerstraat (follow 1.4 km)
   14.0 km   Continue onto Veer
   14.1 km   Turn right onto Veer
   14.5 km   Keep left onto Paviljoenweg
   14.6 km   Turn left onto Paviljoenweg
   15.4 km   Turn slight right onto Paviljoenweg
   15.4 km   Continue onto Sasdijk (follow 9.1 km)
   24.5 km   Turn right onto Frans van Waesberghestraat
   24.6 km   Turn right onto Vestdijkstraat
   24.7 km   Turn left onto Houtenkwartier
   24.8 km   Turn right onto Frans van Waesberghestraat
   24.9 km   Turn right onto Gentsestraat
   25.2 km   Turn left
   25.2 km   Turn left
   25.3 km   Turn slight right onto van der Maelstedeweg (follow 11.5 km)
   36.7 km   Turn left onto Bralstraat-West
   37.7 km   Turn right onto Drijdijk (follow 1.7 km)
   39.3 km   Turn sharp left onto Watermolendijk
   39.8 km   Turn left (follow 14.3 km)
   54.1 km   Turn right
   54.1 km   Turn left
   54.7 km   Turn right
   55.1 km   Turn left
   55.3 km   Turn left onto Lode Zielenslaan
   55.5 km   Turn right
   55.6 km   Turn left
   55.6 km   Turn left
   55.6 km   Turn right
   56.2 km   Continue onto Sint-Annatunnel
   56.2 km   Turn right
   56.2 km   Turn right onto Sint-Jansvliet
   56.3 km   Turn right onto Sint-Jansvliet
   56.3 km   Turn left
   56.3 km   Turn right (follow 1.5 km)
   57.8 km   Turn right
   58.0 km   Turn left onto Kattendijkdok-Westkaai
