TERSCHELLING (SCHLEIFE)    41.8 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Terschelling
    0.3 km   Rechts abbiegen auf Willem Barentszkade
    0.4 km   Dem Straßenverlauf von Werkhaven folgen
    1.2 km   Links halten
    1.5 km   Rechts abbiegen
  ★ 1.6 km  [note] Bunker Museum (closed in 2025) — Due to renovation closed for 2025
    1.8 km   Rechts abbiegen (follow 3.2 km)
    5.0 km   Rechts halten (follow 1.9 km)
    6.9 km   Links halten
    7.0 km   Links abbiegen
    7.1 km   Dem Straßenverlauf von Strieperweg folgen
    7.8 km   Rechts abbiegen (follow 1.3 km)
    9.0 km   Rechts abbiegen auf Formerum Zuid
  ★ 9.0 km  [coffee] De Koffiemolen
  ★ 9.7 km  [note] Ship wreck museum — Museum, coffee, toilet
    9.9 km   Leicht links abbiegen auf Formerum Zuid
   10.0 km   Rechts abbiegen
   10.3 km   Rechts abbiegen auf Oosterboutenweg (follow 1.4 km)
   11.7 km   Links abbiegen auf Ringwaterweg (follow 3.0 km)
   14.7 km   Rechts halten auf Oosterend
   15.0 km   Leicht rechts abbiegen auf Oosterend (follow 1.4 km)
  ★ 15.3 km  [coffee] Heeren van der Schelling
   16.4 km   Links abbiegen auf Dwarsdijk
   16.7 km   Rechts abbiegen auf Dwarsdijk (follow 2.0 km)
  ★ 18.2 km  [note] path to viewpoint
  ★ 18.2 km  [see] Viewpoint Boschplaat
   18.8 km   Turn left (follow 1.3 km)
  ★ 20.0 km  [food] Heartbreak Hotel
   20.0 km   Links abbiegen auf Badweg Oosterend
   20.3 km   Rechts abbiegen
   20.5 km   Links halten (follow 3.3 km)
   23.8 km   Links abbiegen auf Badweg Hoorn (follow 1.5 km)
  ★ 23.8 km  [food] Kaap Hoorn
   25.3 km   Scharf rechts abbiegen auf Duinweg Hoorn
   25.6 km   Rechts halten auf Duinweg
   25.9 km   Dem Straßenverlauf von Duinweg folgen
   26.4 km   Rechts halten auf Duinweg
   27.0 km   Rechts abbiegen
   27.7 km   Links abbiegen
   28.2 km   Rechts halten
   29.0 km   Scharf rechts abbiegen
   29.6 km   Links abbiegen
   30.3 km   Rechts halten
   30.7 km   Rechts abbiegen
   30.8 km   Scharf links abbiegen auf Midsland aan Zee
  ★ 30.8 km  [food] De Branding
   31.0 km   Links abbiegen auf Midsland aan Zee (follow 1.6 km)
   32.6 km   Rechts abbiegen
   32.9 km   Links abbiegen auf West aan Zee
   33.1 km   Dem Straßenverlauf von Badweg West folgen
   33.2 km   Rechts halten
   33.2 km   Links abbiegen
  ★ 33.4 km  [food] West aan Zee
   33.4 km   Dem Straßenverlauf folgen (follow 1.5 km)
  ★ 34.8 km  [food] De Bessenschuur (Cranberries)
  ★ 34.8 km  [segment_start] Keep left for short route back to ship
   34.8 km   Rechts abbiegen
   35.1 km   Rechts abbiegen (follow 1.1 km)
   36.2 km   Links abbiegen auf Longway (follow 1.3 km)
   37.4 km   Rechts abbiegen
   37.9 km   Rechts halten
   38.8 km   Links halten
   38.8 km   Scharf rechts abbiegen
   39.4 km   Links halten
   39.7 km   Rechts abbiegen
   40.6 km   Rechts halten
   40.9 km   Rechts halten
   41.0 km   Links abbiegen auf Groene Strand
   41.3 km   Im Kreisverkehr Ausfahrt 3 auf Willem Barentszkade nehmen
