TESTFAHRT: AMSTERDAM (OOSTERDOK)    13.0 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Links abbiegen auf Oosterdok
    0.4 km   Scharf rechts abbiegen auf Oosterdokskade
    0.6 km   Im Kreisverkehr Ausfahrt 1 auf De Ruijterkade nehmen
    0.9 km   Rechts abbiegen auf De Ruijterkade
    1.0 km   Rechts abbiegen
  ★ 1.0 km  [ferry] Kostenlose Fähre
    1.0 km   Kostenlose Fähre
    1.4 km   Dem Straßenverlauf folgen (follow 1.3 km)
    2.7 km   Links halten
    2.8 km   Leicht rechts abbiegen
    3.1 km   Links abbiegen auf Meeuwenlaan
    3.2 km   Rechts abbiegen auf Nieuwendammerdijk (follow 1.8 km)
  ★ 3.2 km  [caution] Nieuwendammerdijk — Enge Straße, langsam fahren und jederzeit anhalten können. Abstand halten!
    5.0 km   Leicht links abbiegen auf Nieuwendammerdijk
    5.3 km   Rechts abbiegen
    5.4 km   Dem Straßenverlauf von Schellingwouderdijk folgen (follow 1.0 km)
    6.4 km   Links abbiegen auf Liergouw
    6.7 km   Rechts abbiegen (follow 2.8 km)
    9.5 km   Rechts abbiegen auf Zeeburgerdijk
    9.7 km   Rechts halten auf Th. K. van Lohuizenlaan
    9.8 km   Links abbiegen auf Zeeburgerpad
   10.6 km   Rechts abbiegen
   10.7 km   Links abbiegen
   11.2 km   Links abbiegen
  ★ 11.2 km  [caution] Dageraadsbrug — Fahrradverkehr aus allen Richtungen; Radwege während des Wartens freihalten!
   11.2 km   Links halten
   12.0 km   Links halten auf Kattenburgerplein
   12.1 km   Dem Straßenverlauf folgen
   12.1 km   Links abbiegen
   12.3 km   Rechts abbiegen
  ★ 12.7 km  [caution] Bruno van Moerkerkpassage — Fahren Sie extrem langsam! Scharfe Kurven und entgegenkommende Fahrräder!
   12.8 km   Dem Straßenverlauf von Oosterdok folgen
