TESTFAHRT: BRÜGGE    10.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Anlegestelle Bargeweg Brügge
    0.2 km   Rechts abbiegen
    0.6 km   Rechts über Brücke zum Knotenpunkt 69
    0.6 km   Rechts; Wasser zur rechten Seite (follow 2.2 km)
    2.8 km   Links auf Tragelweg zum Knotenpunkt 69
    2.9 km   Straße überqueren; Dann links zum Knotenpunkt 69
    3.0 km   Links abbiegen
    3.0 km   Rechts abbiegen auf Meulestee
    3.3 km   Rechts abbiegen auf Abdijenroute
    3.5 km   Dem Straßenverlauf von Abdijenroute folgen (follow 2.4 km)
    6.0 km   Schräg links zum Knotenpunkt 98
    6.5 km   Links abbiegen
    6.9 km   Schräg links
    7.0 km   Rechts auf Opkenstraat zum Knotenpunkt 98
    7.3 km   Links zum Knotenpunkt 98
    7.5 km   Links abbiegen
    7.9 km   Links abbiegen auf Zandtiende
    8.6 km   Rechts abbiegen auf Tramstraat
    8.8 km   Rechts abbiegen
    9.1 km   Rechts abbiegen
    9.1 km   Links halten
    9.3 km   Schräg links
    9.4 km   Rechts auf Blekerijstraat zum Knotenpunkt 98
    9.6 km   Links
    9.6 km   Rechts zum Knotenpunkt 98
    9.7 km   Über Brücke; Dann links zum Knotenpunkt 05
   10.3 km   Links und direkt rechts auf Bargeweg; Wasser zur linken Seite
   10.6 km   Links halten
   10.7 km   Links abbiegen
