THOLEN - ANTWERPEN    53.3 km    · signs & notes only ·

DIRECTIONS
    0.9 km   Links abbiegen auf Eendrachtsdijk
    1.1 km   Rechts abbiegen auf Eendrachtsweg (follow 1.1 km)
    2.2 km   Links halten
    2.2 km   Leicht rechts abbiegen auf Noorder Kreekweg (follow 1.6 km)
    3.8 km   Links abbiegen auf Tholenseweg
    4.2 km   Rechts halten auf Tholenseweg
    4.3 km   Im Kreisverkehr Ausfahrt 1 auf Nieuw Beijmoerseweg nehmen (follow 1.5 km)
    5.7 km   Rechts halten auf Nieuw Beijmoerseweg
    5.9 km   Rechts halten auf Nieuw Beijmoerseweg
    5.9 km   Rechts abbiegen auf Ringersweg
    6.4 km   Links halten auf Ringersweg
    6.8 km   Links abbiegen
    6.8 km   Rechts halten
    7.4 km   Links abbiegen auf Boerenverdriet
    7.6 km   Scharf links abbiegen auf Garnizoenspad
    7.6 km   Leicht rechts abbiegen auf Garnizoenspad
    7.9 km   Rechts abbiegen auf Burgemeester Stulemeijerlaan
    8.0 km   Rechts abbiegen auf Burgemeester Stulemeijerlaan
    8.2 km   Links abbiegen auf Westersingel
    8.2 km   Rechts abbiegen auf Steenbergsestraat
    8.4 km   Dem Straßenverlauf von Beursplein folgen
  ★ 8.6 km  [note] Restaurants and cafes
    8.8 km   Links abbiegen auf Moeregrebstraat
    9.0 km   Rechts abbiegen auf Westersingel
    9.2 km   Dem Straßenverlauf von Zuid-Westsingel folgen
    9.4 km   Leicht links abbiegen auf Het Retranchement
   10.1 km   Rechts abbiegen
  ★ 10.3 km  [rest_stop] Lunch at the beach with the support van.
  ★ 10.4 km  [restroom] Toilet in the swimmingpool
   10.9 km   Rechts abbiegen
   11.2 km   Rechts abbiegen
   11.5 km   Rechts abbiegen auf Lodijkepad
   11.5 km   Links abbiegen auf Poppendijke
   11.8 km   Rechts halten auf Poppendijke
   11.8 km   Leicht links abbiegen auf Beatrixpad
   12.0 km   Links halten
   12.3 km   Dem Straßenverlauf von Fianestraat folgen
   13.2 km   Scharf rechts abbiegen auf Vossenweg
   14.2 km   Rechts halten auf Vossenweg
   14.8 km   Rechts abbiegen auf Beukendreef (follow 1.3 km)
   16.1 km   Links abbiegen auf Reimerswaalweg
   16.4 km   Rechts abbiegen auf Langeweg (follow 1.9 km)
   18.3 km   Links abbiegen auf Rijzendeweg
  ★ 18.6 km  [monument] Information board about battle of the Schelde (WO II) and viewingpoint
   18.6 km   Scharf rechts abbiegen auf Vinkenslag
   19.2 km   Rechts abbiegen auf Berglaan
   19.2 km   Leicht links abbiegen auf Berglaan
   19.7 km   Links abbiegen auf Onderstal
  ★ 19.7 km  [monument] Canadian war memorial
  ★ 19.7 km  [monument] Canadian M4A1E9 Sherman tank (WO II)
   20.5 km   Rechts abbiegen auf Scheldeweg
   20.9 km   Rechts abbiegen
   20.9 km   Rechts halten auf Ossendrechtseweg
   21.0 km   Rechts abbiegen auf Ossendrechtseweg
   21.5 km   Dem Straßenverlauf von Calfven folgen
   22.0 km   Links abbiegen auf Trambaan
   22.0 km   Rechts halten auf Trambaan
   22.7 km   Dem Straßenverlauf von Trambaan folgen
   23.3 km   Links abbiegen auf Vierwindenlaan
   23.6 km   Leicht rechts abbiegen auf Schapendreef
   24.2 km   Leicht links abbiegen auf Koningin Wilhelminastraat
   24.6 km   Links abbiegen auf Molenstraat
   25.2 km   Links abbiegen auf Hageland
   25.7 km   Rechts abbiegen auf Hageland
   25.8 km   Links abbiegen auf Hageland
  ★ 26.5 km  [note] Farmshop (vending machines) and restrooms.
   26.7 km   Rechts abbiegen auf Laagstraat (follow 1.3 km)
   28.0 km   Rechts abbiegen auf Molenbosstraat
   28.1 km   Links abbiegen auf Pannenhoef
   28.6 km   Rechts abbiegen (follow 3.2 km)
   31.9 km   Leicht rechts abbiegen auf Antwerpsestraat
   32.1 km   Rechts halten auf Antwerpsestraat
   32.1 km   Links abbiegen auf Weg naar de Hooiweide
   32.2 km   Rechts abbiegen auf Weg naar de Hooiweide
   32.3 km   Links abbiegen auf Weg naar de Hooiweide
   32.4 km   Leicht rechts abbiegen auf Hooiweide
   32.5 km   Links abbiegen
   32.5 km   Rechts abbiegen
   32.8 km   Rechts halten auf Lindekensdreef (follow 2.3 km)
  ★ 33.6 km  [rest_stop] Drinks and cake from the Support van at the parking of Castle Ravenhof
  ★ 33.6 km  [note] Boundary marker / alternative stop support van
   35.1 km   Links abbiegen auf Danckerse Weg (follow 1.7 km)
   36.8 km   Rechts abbiegen auf Hoogeind
   36.8 km   Links abbiegen auf Hasenpad
  ★ 36.9 km  [caution] Small sandy bike lane
   37.1 km   Dem Straßenverlauf von Hasenpad folgen (follow 3.6 km)
   40.7 km   Links abbiegen auf Parijseweg / Parijse weg
   40.8 km   Links abbiegen auf Hoevensebaan
   40.9 km   Rechts abbiegen auf Binnenweg
   41.3 km   Rechts abbiegen auf Albertdreef
   41.3 km   Rechts abbiegen auf Essenhoutstraat
   41.4 km   Links abbiegen auf Palmstraat
   42.4 km   Rechts abbiegen auf Klein Heiken
   42.4 km   Links abbiegen (follow 1.5 km)
   43.9 km   Rechts abbiegen
   44.0 km   Rechts abbiegen auf Driehoekstraat
   44.2 km   Links abbiegen
   44.4 km   Rechts abbiegen auf Bund
   44.5 km   Rechts abbiegen auf Ferdinand Pauwelsstraat
   44.5 km   Links abbiegen auf Waterstraat
   44.7 km   Im Kreisverkehr Ausfahrt 2 auf Geestenspoor nehmen
   45.1 km   Links abbiegen auf August Scheyvaertslaan
  ★ 45.7 km  [note] Watercastle  hof van Veltwijck
  ★ 45.7 km  [restroom] Public toilet
   45.7 km   Scharf rechts abbiegen auf Joseph Hermansdreef
   46.0 km   Rechts abbiegen auf Lindenlei
   46.4 km   Rechts halten
   46.4 km   Rechts abbiegen (follow 1.6 km)
   48.0 km   Links halten (follow 2.0 km)
   50.1 km   Links abbiegen auf Columbiastraat
   50.3 km   Links abbiegen
   50.3 km   Rechts abbiegen auf Groenendaallaan (follow 1.2 km)
   51.5 km   Links abbiegen
   51.5 km   Rechts abbiegen
   51.6 km   Leicht rechts abbiegen
  ★ 51.6 km  [note] Havenhuis — Het Havenhuis combineert een gerestaureerde brandweerkazerne uit de 20e eeuw met een futuristische bovenbouw ontworpen door de wereldberoemde architecte Zaha Hadid.

De bovenbouw lijkt op een glazen schip of een diamant, en symboliseert Antwerpen als wereldhaven.

Sinds de opening in 2016 is het een architecturaal icoon en een trekpleister voor bezoekers.

Begane vloer kun je bezoeken tijdens kantooruren, er zit in het atrium ook een koffiebar.
   52.3 km   Links abbiegen auf Droogdokkenweg
   52.7 km   Links abbiegen auf Limastraat
   52.7 km   Rechts abbiegen auf Limastraat
   52.7 km   Rechts abbiegen auf Limaplein
   52.8 km   Links abbiegen auf Sasdok-Zuidkaai
   53.1 km   Rechts abbiegen auf Kattendijkdok-Westkaai
