THOLEN - KREEKRAK (OST)    32.3 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Tholen
    1.2 km   Links abbiegen auf Eendrachtsdijk
    1.8 km   Links abbiegen auf Eendrachtsweg
    1.8 km   Leicht rechts abbiegen auf Eendrachtsweg
    1.8 km   Scharf links abbiegen auf Wal
    2.0 km   Leicht links abbiegen auf Kaaij
    2.3 km   Leicht rechts abbiegen auf Bosstraat
  ★ 2.4 km  [see] Windmill Tholen
    2.4 km   Leicht links abbiegen auf Markt
    2.5 km   Rechts abbiegen auf Markt
  ★ 2.5 km  [see] Tholen historical centre
  ★ 2.5 km  [see] Windmill Tholen
    2.5 km   Rechts abbiegen auf Kerkstraat
  ★ 2.6 km  [see] Town hall
    2.9 km   Leicht links abbiegen auf Eendrachtsweg
    2.9 km   Rechts abbiegen auf Eendrachtsdijk
    3.3 km   Links abbiegen auf Eendrachtsweg (follow 1.1 km)
    4.4 km   Links halten
    4.4 km   Scharf links abbiegen auf Noorder Kreekweg
    5.1 km   Rechts abbiegen auf Vrouwenlandseweg
    5.9 km   Links abbiegen auf Heenweg
    6.4 km   Rechts abbiegen auf Jan Bodeweg
    6.8 km   Scharf rechts abbiegen auf Polderweg
    7.3 km   Links abbiegen auf Erasmusweg
    7.5 km   Rechts abbiegen auf Sleutelweg
    8.1 km   Links abbiegen auf Erasmusweg
    8.5 km   Links abbiegen auf Léharstraat
    8.8 km   Dem Straßenverlauf von Daansbergen folgen
    9.4 km   Scharf rechts abbiegen
    9.5 km   Links abbiegen auf Schansbaan
    9.5 km   Rechts abbiegen auf Steenbergseweg
    9.5 km   Links abbiegen auf Schansbaan
    9.8 km   Rechts abbiegen auf Molenwieken
   10.0 km   Dem Straßenverlauf folgen
   10.8 km   Rechts abbiegen
   10.9 km   Scharf links abbiegen
   11.0 km   Links abbiegen
  ★ 11.2 km  [note] Fort de Roovere
  ★ 11.2 km  [coffee] De Schaft
   11.4 km   Rechts abbiegen
   11.5 km   Rechts abbiegen
   11.5 km   Rechts abbiegen auf Schansbaan (follow 1.2 km)
   12.8 km   Rechts abbiegen auf Schansbaan
   13.6 km   Rechts abbiegen auf Moerstraatsebaan (follow 1.0 km)
   14.6 km   Links abbiegen auf Bemmelenberg (follow 1.0 km)
  ★ 15.5 km  [food] Brasserie de Berk
   15.7 km   Links halten auf Bemmelenberg
   15.9 km   Scharf rechts abbiegen auf Bemmelenberg
   16.1 km   Scharf rechts abbiegen auf Bergsebaan
   16.3 km   Links abbiegen
   16.8 km   Links abbiegen auf Gareelweg
   17.0 km   Links abbiegen auf Ruytershoveweg
  ★ 17.2 km  [monument] Canadian Cemetery WWII
   17.2 km   Rechts abbiegen auf Ruytershoveweg
   17.3 km   Rechts abbiegen auf Gareelweg
   17.5 km   Links abbiegen auf Gareelweg
   18.0 km   Rechts abbiegen auf Mastendreef
   18.5 km   Scharf links abbiegen auf Holleweg
   18.7 km   Links abbiegen auf Klaverveldenweg
   19.6 km   Links abbiegen auf Balsedreef
   19.6 km   Rechts abbiegen auf Boslustweg (follow 1.7 km)
  ★ 19.7 km  [food] Restaurant Bozlust — also picnic tables
   21.3 km   Rechts abbiegen auf Molenzichtweg (follow 2.5 km)
   23.8 km   Rechts halten auf Heimolen
   24.4 km   Links abbiegen auf Vossenweg
   25.4 km   Rechts halten auf Vossenweg
   26.0 km   Rechts abbiegen auf Beukendreef (follow 1.3 km)
   27.3 km   Rechts abbiegen auf Reimerswaalweg (follow 1.1 km)
   28.4 km   Dem Straßenverlauf von Reimerswaalweg folgen (follow 2.8 km)
   31.1 km   Rechts abbiegen
   31.1 km   Links abbiegen auf Oostelijke Schelderijnweg (follow 1.1 km)
  ★ 32.2 km  [note] Kreekrak locks
   32.2 km   Leicht links abbiegen auf Oostelijke Schelderijnweg
  ★ 32.2 km  [stop] Kreekrak West - Pick up / drop off
  ★ 32.3 km  [stop] Kreekrak East - Pick up / drop off
