THOLEN - KREEKRAK (WEST)    20.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] docking Tholen
    1.2 km   Links abbiegen auf Eendrachtsdijk
    1.8 km   Links abbiegen auf Eendrachtsweg
    1.8 km   Leicht rechts abbiegen auf Eendrachtsweg
    1.8 km   Scharf links abbiegen auf Wal
    2.0 km   Leicht links abbiegen auf Kaaij
    2.2 km   Rechts abbiegen auf Hoogstraat
    2.4 km   Links abbiegen auf Kerkstraat
  ★ 2.4 km  [see] Town Hall
    2.5 km   Links abbiegen auf Markt
    2.5 km   Leicht rechts abbiegen auf Oudelandsestraat
  ★ 2.5 km  [see] historical centre Tholen
    2.9 km   Rechts abbiegen auf Molensingel
    3.1 km   Links abbiegen
    3.3 km   Im Kreisverkehr Ausfahrt 2 nehmen
    3.7 km   Rechts halten
    3.8 km   Rechts abbiegen
    4.0 km   Links abbiegen auf Oudelandsedijk (follow 1.9 km)
    5.9 km   Scharf rechts abbiegen auf Ceresweg (follow 1.1 km)
    7.0 km   Links abbiegen auf Cruyshoekweg
    7.4 km   Links abbiegen auf Gortzakweg (follow 11.9 km)
  ★ 7.9 km  [see] small beach
  ★ 9.8 km  [bar] Bar — drinks, snacks, restrooms
  ★ 17.3 km  [note] Kreekrak locks
   19.3 km   Links abbiegen auf Oesterdam
   19.6 km   Links abbiegen auf Westelijke Schelderijnweg
   20.0 km   Links abbiegen auf Westelijke Schelderijnweg
  ★ 20.0 km  [stop] Kreekrak East - Pick up / drop off
  ★ 20.5 km  [stop] Kreekrak West - Pick up / drop off
