THOLEN - WILLEMSTAD (ÜBER OUD VOSSEMEER)    45.4 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] docking Tholen
    1.2 km   Links abbiegen auf Eendrachtsdijk
    1.8 km   Links abbiegen auf Eendrachtsweg
    1.8 km   Leicht rechts abbiegen auf Eendrachtsweg
    1.8 km   Scharf links abbiegen auf Wal
    2.0 km   Leicht links abbiegen auf Kaaij
    2.3 km   Leicht rechts abbiegen auf Bosstraat
  ★ 2.4 km  [see] Windmill
    2.4 km   Leicht links abbiegen auf Markt
    2.5 km   Rechts abbiegen auf Markt
  ★ 2.5 km  [note] Tholen historical centre
  ★ 2.5 km  [see] Windmill
    2.5 km   Rechts abbiegen auf Kerkstraat
    2.8 km   Leicht links abbiegen auf Eendrachtsweg
    2.9 km   Leicht links abbiegen auf Bastion
    3.0 km   Im Kreisverkehr Ausfahrt 1 auf Grindweg nehmen
    3.1 km   Links halten (follow 1.9 km)
    5.0 km   Dem Straßenverlauf von Oud Vossemeersedijk folgen
    5.9 km   Rechts abbiegen
    6.2 km   Links abbiegen auf Leguitsedijk (follow 1.5 km)
    7.7 km   Rechts abbiegen auf Vogelsangsedijk
    8.5 km   Rechts abbiegen auf Zeedijk (follow 2.1 km)
   10.6 km   Rechts abbiegen auf Zeedijk (follow 3.7 km)
  ★ 11.9 km  [note] pass through the fence
   14.3 km   Links abbiegen auf Campweg
   14.5 km   Links abbiegen auf Campweg
   14.5 km   Links abbiegen auf Rijksweg, N257 (follow 2.1 km)
   16.6 km   Links abbiegen auf Heensedijk (follow 4.1 km)
   20.6 km   Links halten auf Beneden Sasweg
   20.7 km   Links abbiegen auf Beneden Sasweg
   21.0 km   Links halten auf Beneden Sasweg
   21.2 km   Links halten auf Beneden Sasweg
   21.2 km   Links abbiegen auf Vlietdijk
  ★ 21.2 km  [note] Historical Lock — press button to cross lock
  ★ 21.2 km  [coffee] het Schippershuis — only open in high season
   21.4 km   Links halten auf Vlietdijk
   21.4 km   Dem Straßenverlauf von Vlietdijk folgen (follow 1.4 km)
   22.8 km   Links abbiegen auf Koningsoorddijk (follow 4.0 km)
   26.8 km   Links abbiegen auf Boompjesdijk
   27.0 km   Dem Straßenverlauf von Smallendijk folgen (follow 1.2 km)
   28.2 km   Links abbiegen auf Oudlandsedijk
   28.5 km   Dem Straßenverlauf von Oudlandsedijk folgen (follow 2.6 km)
  ★ 31.1 km  [bar] Hotel-Rest. Thuis!
   31.1 km   Links abbiegen auf Havenweg
  ★ 31.1 km  [note] Dinterloord
   32.0 km   Dem Straßenverlauf von Postbaan folgen
   32.7 km   Rechts halten
   32.8 km   Im Kreisverkehr Ausfahrt 1 nehmen
   32.9 km   Leicht rechts abbiegen auf Postbaan (follow 1.8 km)
   34.7 km   Leicht links abbiegen auf Potenblokseweg
   35.3 km   Links abbiegen auf Oude Heijningsedijk (follow 1.1 km)
  ★ 36.1 km  [see] Memorial Flooding 1953
   36.5 km   Dem Straßenverlauf von Kraaiendijk folgen
   36.9 km   Rechts halten auf Kraaiendijk
   37.6 km   Dem Straßenverlauf von Kraaiendijk folgen
   38.2 km   Links halten auf Kraaiendijk
   38.4 km   Rechts abbiegen auf Tussenweg (follow 1.0 km)
   39.5 km   Links abbiegen auf Helsedijk
   39.5 km   Links halten auf Helsedijk (follow 1.1 km)
   40.5 km   Rechts halten auf Helsedijk
   40.6 km   Rechts abbiegen auf Helsedijk
   40.8 km   Links halten
   41.1 km   Rechts abbiegen auf Maltaweg
   41.8 km   Rechts abbiegen auf Maltaweg
   41.8 km   Rechts abbiegen auf Maltaweg
   42.2 km   Leicht rechts abbiegen auf Hellegatsweg (follow 1.6 km)
   43.8 km   Rechts abbiegen auf Lantaarndijk
   44.2 km   Rechts abbiegen auf Benedenkade
   44.3 km   Links abbiegen auf Benedenkade
  ★ 44.3 km  [note] Willemstad fortified town
   44.4 km   Rechts abbiegen auf Voorstraat
   44.6 km   Links abbiegen auf Landpoortstraat
   44.7 km   Links abbiegen auf Achterstraat
   45.0 km   Dem Straßenverlauf von Benedenkade folgen
   45.1 km   Rechts abbiegen auf Benedenkade
   45.3 km   Im Kreisverkehr Ausfahrt 1 auf Havenhoofd nehmen
  ★ 45.4 km  [dock/stay] docking Willemstad
