THOLEN - WILLEMSTAD (ÜBER STEENBERGEN)    42.1 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] docking Tholen
    1.2 km   Links abbiegen auf Eendrachtsdijk
    1.8 km   Links abbiegen auf Eendrachtsweg
    1.8 km   Leicht rechts abbiegen auf Eendrachtsweg
    1.8 km   Scharf links abbiegen auf Wal
    2.0 km   Leicht links abbiegen auf Kaaij
    2.3 km   Leicht rechts abbiegen auf Bosstraat
  ★ 2.4 km  [see] Windmill
    2.4 km   Leicht links abbiegen auf Markt
    2.5 km   Rechts abbiegen auf Markt
  ★ 2.5 km  [note] Tholen historical centre
  ★ 2.5 km  [see] Windmill
    2.5 km   Rechts abbiegen auf Kerkstraat
    2.8 km   Leicht links abbiegen auf Eendrachtsweg
    2.9 km   Rechts abbiegen auf Eendrachtsdijk
    3.3 km   Links abbiegen auf Eendrachtsweg (follow 1.1 km)
    4.4 km   Links halten
    4.4 km   Scharf links abbiegen auf Noorder Kreekweg (follow 3.1 km)
    7.5 km   Rechts abbiegen auf Kladsedijk (follow 1.4 km)
    8.9 km   Links abbiegen auf Kladde (follow 1.1 km)
   10.0 km   Dem Straßenverlauf von Koeveringsedijk folgen
   10.6 km   Rechts abbiegen auf Westlandse Langeweg (follow 1.2 km)
   11.7 km   Links abbiegen auf Westlandse Langeweg
   12.3 km   Links abbiegen auf Westlandse Langeweg (follow 1.1 km)
   13.4 km   Scharf links abbiegen auf Ligneweg
   14.1 km   Leicht links abbiegen auf Drie Lindekensdijk
   14.1 km   Rechts abbiegen auf Doornedijkje (follow 1.1 km)
   15.3 km   Rechts abbiegen auf Kade
   15.4 km   Links abbiegen auf Kaaistraat
  ★ 15.7 km  [coffee] Steenbergen: bars, restaurants
   15.8 km   Rechts abbiegen auf Kerkplein
   15.9 km   Links abbiegen auf Kerkplein
   16.1 km   Rechts abbiegen auf Nassaulaan
   16.6 km   Links abbiegen auf Nassaulaan
   16.7 km   Links abbiegen auf Afgeslechtedijk (follow 2.7 km)
   19.4 km   Links halten
   19.8 km   Links abbiegen (follow 1.6 km)
   21.4 km   Links halten auf Zuidzeedijk
   21.6 km   Links abbiegen auf Zuidzeedijk (follow 3.2 km)
   24.8 km   Dem Straßenverlauf von Bloemendijk folgen (follow 4.3 km)
  ★ 29.1 km  [bar] Hotel-Rest. Thuis!
   29.1 km   Links abbiegen auf Havenweg
  ★ 29.1 km  [note] Dinterloord
   30.0 km   Dem Straßenverlauf von Postbaan folgen
   30.8 km   Rechts halten
   30.8 km   Im Kreisverkehr Ausfahrt 1 nehmen
   30.9 km   Leicht rechts abbiegen auf Postbaan
   31.5 km   Rechts abbiegen auf Verkorting (follow 1.0 km)
   32.5 km   Rechts halten auf Veluwestraat
  ★ 32.7 km  [see] Memorial Flooding 1953
   32.9 km   Leicht rechts abbiegen auf Hoge Heijningsedijk
   32.9 km   Links abbiegen auf Oude Heijningsedijk
   33.7 km   Rechts halten auf Kraaiendijk
   34.3 km   Dem Straßenverlauf von Kraaiendijk folgen
   35.2 km   Rechts abbiegen auf Tussenweg (follow 1.0 km)
   36.2 km   Links abbiegen auf Helsedijk
   36.3 km   Links halten auf Helsedijk (follow 1.1 km)
   37.3 km   Rechts halten auf Helsedijk
   37.3 km   Rechts abbiegen auf Helsedijk
   37.6 km   Links halten
   37.9 km   Rechts abbiegen auf Maltaweg
   38.5 km   Rechts abbiegen auf Maltaweg
   38.6 km   Rechts abbiegen auf Maltaweg
   39.0 km   Leicht rechts abbiegen auf Hellegatsweg (follow 1.6 km)
   40.6 km   Rechts abbiegen auf Lantaarndijk
   41.0 km   Rechts abbiegen auf Benedenkade
   41.1 km   Links abbiegen auf Benedenkade
   41.1 km   Rechts abbiegen auf Voorstraat
  ★ 41.2 km  [note] Willemstad fortified town
   41.4 km   Links abbiegen auf Landpoortstraat
   41.5 km   Links abbiegen auf Achterstraat
   41.7 km   Dem Straßenverlauf von Benedenkade folgen
   41.9 km   Rechts abbiegen auf Benedenkade
   42.0 km   Rechts halten
   42.1 km   Dem Straßenverlauf von Havenhoofd folgen
  ★ 42.1 km  [dock/stay] docking Willemstad
