THORN - VENLO  (VIA ROERMOND)    53.4 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring
    0.0 km   Turn right
  ★ 0.1 km  [note] Thorn, Witte Stadje
  ★ 0.5 km  [see] foto maken van de Poseidon
    0.7 km   Turn left (follow 1.6 km)
    2.3 km   Turn left onto Waage Naak
    2.7 km   Turn left onto Verbindingsweg
    2.8 km   Turn right onto Thornerweg
    3.2 km   Turn sharp right onto Kloosterlaan
    3.6 km   Turn left onto Kerkstraat
    3.7 km   Turn right onto Groenstraat
    3.7 km   Turn left onto Muntstraat
    3.7 km   Turn right onto Steenweg
    3.9 km   Continue onto Markt
    3.9 km   Turn right onto Havermansstraat
    4.0 km   Turn left onto Maasboulevard
    4.3 km   Turn right onto Polstraat
    4.6 km   Turn left onto Groeneweg
    5.1 km   Turn right onto Polderweg (follow 1.0 km)
    6.1 km   Turn left
    6.7 km   Turn slight left onto Monseigneur Savelbergweg
    7.0 km   Turn slight right onto Monseigneur Savelbergweg
    7.1 km   Turn slight left onto Monseigneur Savelbergweg
    7.3 km   Turn left onto Monseigneur Savelbergweg
    7.3 km   Turn right onto Dorpsstraat
    7.8 km   Turn right onto Dorpsstraat
    7.9 km   Turn left onto Dorpsstraat
  ★ 8.2 km  [see] landgoed Nederhoven
    8.5 km   Turn sharp right onto Pannenhof
    9.5 km   Turn left onto Osen
   10.1 km   Turn right onto Sluisweg
   10.4 km   Turn left onto Sluisweg
   10.7 km   Continue onto Kanaalweg Oost (follow 4.0 km)
   14.7 km   Turn left onto Kanaalweg Oost
   15.5 km   Turn slight right onto De Weerd
   15.9 km   Turn right
   16.5 km   Turn slight right onto De Weerd
   16.9 km   Continue onto Maaswaarderweg
   17.6 km   Turn left
   17.6 km   Turn right onto Hornerweg
   18.3 km   Keep left onto Kraanpoort
  ★ 18.3 km  [note] St. Christopher Cathedral
   18.3 km   Turn left onto Markt
  ★ 18.4 km  [coffee] diversen op de Markt
   18.4 km   Continue onto Swalmerstraat
  ★ 18.7 km  [note] Bisdom Roermond, Caroluskapel
   18.8 km   Turn right onto Steegstraat
   19.0 km   Turn slight right onto Wilhelminaplein
   19.1 km   Turn left onto Slachthuisstraat
   19.2 km   Turn right onto Slachthuisstraat
   19.5 km   Turn left onto Carmelitessenstraat
   19.6 km   Turn sharp right onto Venloseweg
   19.8 km   Turn left onto Venloseweg
   20.1 km   Turn left onto Mijnheerkensweg
   20.3 km   At roundabout, take exit 1 onto Mijnheerkensweg
   20.7 km   Turn right onto Molengriendweg
   21.0 km   Turn left onto Groeneweg
   21.4 km   Turn left
   21.4 km   Turn right
   22.2 km   Turn left onto Borgeind
   22.9 km   Turn right onto Elfmorgenweg
   23.9 km   Turn left onto Zandstraat (follow 1.5 km)
  ★ 25.1 km  [see] Asseltse plassen
   25.4 km   Turn left onto Pastoor Pinckersstraat
  ★ 25.7 km  [food] De Boei — open v.a. 11:00 uur;
  ★ 26.2 km  [note] museum
   26.3 km   Keep right onto Eindweg
   26.5 km   Keep right onto Eind
   27.4 km   Turn right onto Eind
   27.8 km   Continue onto Wieler
   28.3 km   Turn left onto Rookhuizen
   28.9 km   Turn left
   29.5 km   Turn left onto Rijkel (follow 1.2 km)
   30.7 km   Turn slight right onto Klerkenhofweg
   30.7 km   Keep right onto Kerkeveldweg (follow 1.5 km)
   32.2 km   Turn left onto Ouddorp
   32.3 km   Turn sharp right onto Ouddorp
   32.4 km   Turn left onto Kerkstraat
   32.9 km   Continue onto Markt
   32.9 km   Continue onto Ruys van Splintersingel
  ★ 32.9 km  [food] De Troubadour — donderdag open v.a. 11 uur
   33.0 km   Turn left onto Ruys van Splintersingel
   33.3 km   Turn left onto Monseigneur Theelenstraat
   33.4 km   Turn right onto Het Spick
   33.8 km   Turn left onto Het Spick
   33.8 km   Keep right onto Huilbeekweg
   33.9 km   Turn slight right onto Ohe Broekerveldweg (follow 1.2 km)
   35.1 km   Turn left
   36.0 km   Keep right onto Oude Veerweg (follow 1.3 km)
