TOURGUIDES KØGE ALTERNATIVE II - DAY 7    37.7 km    · signs & notes only ·

DIRECTIONS
  ★ 0.1 km  [note] Braunstein Brewery
  ★ 0.3 km  [note] KØS Museum for Kunst
  ★ 0.4 km  [note] Køge museum
  ★ 0.8 km  [note] Køge Mini-Be
  ★ 1.4 km  [note] Rathus
  ★ 1.4 km  [note] Torvet
  ★ 1.4 km  [note] Det gamle Hus (oldest house)
  ★ 1.4 km  [note] St Nicolas Church
  ★ 3.2 km  [note] Cafe Åsen
  ★ 7.1 km  [note] Vikingeborgen Borgring
  ★ 14.4 km  [note] Pangeapark
  ★ 23.3 km  [note] Backery
  ★ 23.8 km  [note] picknick plaatsen
