TOURNAI - OUDENAARDE (FLACH)    41.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] barge Tournai/Doornik
    0.1 km   Start Radtour; Wasser zur linken Seite
    0.8 km   Geradeaus auf Chemin du Halage (follow 10.1 km)
   10.9 km   Rechts abbiegen zum Knotenpunkt 92
   11.1 km   Scharf links zur Brücke
   11.2 km   Scharf rechts zum Knotenpunkt 51
   11.6 km   Schräg links
   11.9 km   Links abbiegen auf Chaussée d'Audenarde; Knotenpunkten nicht folgen (follow 1.8 km)
   13.8 km   Geradeaus auf Rue de Lannois (follow 4.5 km)
  ★ 16.5 km  [coffee] La Concorde
   18.3 km   Schräg links (follow 2.0 km)
   20.3 km   Schräg rechts auf Rue Pont a l'Haye
   20.7 km   3. Ausfahrt im Kreisverkehr auf Rue Provinciale
   20.9 km   Schräg rechts auf Place d'Escanaffles
   21.0 km   Schräg links zum Knotenpunkt 24
   21.2 km   Rechts abbiegen zum Knotenpunkt 13
   21.9 km   Scharf rechts
   22.0 km   Scharf rechts zur Brücke
   22.2 km   Geradeaus zum Knotenpunkt 09 (follow 1.1 km)
   23.3 km   Rechts abbiegen; Knotenpunkten nicht folgen
   23.5 km   Rechts abbiegen auf Leopoldstraat
  ★ 24.0 km  [coffee] Café's Avelgem
   24.0 km   Rechts abbiegen Scheldelaan
   24.7 km   Links abbiegen zum Knotenpunkt 11
   25.6 km   Links abbiegen zum Knotenpunkt 10
   26.1 km   Rechts abbiegen zum Knotenpunkt 02 (follow 1.4 km)
   27.5 km   Rechts abbiegen
   27.6 km   Links abbiegen zum Knotenpunkt 97 (follow 1.4 km)
   29.0 km   Geradeaus zum Knotenpunkt 95 (follow 7.6 km)
  ★ 29.9 km  [bar] ’t Pleintje
  ★ 30.8 km  [bar] Cafe Oude Hoeve
   36.7 km   Links abbiegen zum Knotenpunkt 40
   37.4 km   Rechts abbiegen zum Knotenpunkt 40
   37.6 km   Links abbiegen
   37.8 km   Schräg links zum Knotenpunkt 40
   37.9 km   Rechts abbiegen zum Knotenpunkt 40
   38.0 km   Geradeaus auf Radweg
   38.3 km   Links abbiegen zum Knotenpunkt 40
   38.5 km   Rechts abbiegen zum Knotenpunkt 40
   38.6 km   Links abbiegen zum Knotenpunkt 08
   38.6 km   Links abbiegen zum Knotenpunkt 08
   39.0 km   Rechts abbiegen auf Radweg
   39.1 km   Geradeaus zum Knotenpunkt 09
   39.2 km   Links abbiegen zum Knotenpunkt 09
   39.4 km   Links abbiegen
   39.5 km   Rechts abbiegen zum Knotenpunkt 09
   39.6 km   Rechts abbiegen; Wasser zur linken Seite
   39.8 km   Rechts abbiegen; Knotenpunkten nicht folgen
   39.9 km   Links und direkt links abbiegen
   40.0 km   Linksaf naar Bergstraat
   40.3 km   Linksaf naar Krekelput
   40.4 km   Houd rechts aan naar Markt
   40.5 km   Rechtsaf naar Einestraat
  ★ 40.5 km  [note] Centre Tour of Flanders
  ★ 40.5 km  [note] Rathaus Oudenaarde
   40.7 km   Rechtsaf naar Woeker
   40.8 km   Linksaf naar Gentiel Antheunisplein
   40.8 km   Blijf op Parkstraat
   41.1 km   Linksaf
   41.2 km   Rechtsaf naar Adriaan Brouwersstraat
  ★ 41.2 km  [bar] brewery Liefmans
  ★ 41.2 km  [dock/stay] barge Oudenaarde
