TOURNAI - OUDENAARDE (HILL)    49.6 km    · signs & notes only ·

Knooppunten: 25 · 16 · 12 · 99 · 98 · 14 · 96 · 95 · 5 · 57 · 55 · 40 · 8

DIRECTIONS
    0.8 km   Keep left
    1.3 km   Turn right
    1.4 km   Turn slight right onto Rue de l'Ecluse
    1.5 km   Turn slight right onto Rue de l'Ecluse
    1.7 km   Turn right onto Avenue d'Audenarde
    1.7 km   Turn left onto Rue Sainte-Aldegonde
    1.8 km   Keep left onto Chemin des Maures
    2.2 km   Turn right onto Rue Montgomery
    2.4 km   Turn left onto Rue du Vert Lion
    3.3 km   Turn right onto Rue du Ruisseau
    3.8 km   Turn right onto Rue Raoul Van Spitael
    4.3 km   Turn left onto Chemin des Pilotes (follow 1.9 km)
    6.2 km   Turn sharp right onto Rue du Reposoir
    6.6 km   Turn left onto Rue Géo Libbrecht
    7.0 km   Keep left onto Avenue du Rinval
    7.1 km   Turn left onto Rue du Bardeau (follow 1.4 km)
    8.5 km   Turn left onto Chemin du Vieux Comté (follow 1.1 km)
    9.6 km   Turn right onto Rue de Billemont
    9.6 km   Turn left onto Chemin du Vieux Comté (follow 1.1 km)
   10.7 km   Turn right onto Rue des Quatre Vents (follow 1.2 km)
   12.0 km   Turn left onto Bois de Chin (follow 1.9 km)
   13.9 km   Turn sharp left onto Chemin Vert
   14.6 km   Turn right onto Rue du Général Lemaire (follow 2.1 km)
   16.7 km   Turn left onto Rue de la Cure
   16.9 km   Turn right onto Chaussée d'Audenarde (follow 1.8 km)
  ★ 16.9 km  [coffee] Cafe La Camargue
   18.7 km   Continue straight onto Rue de Lannois (follow 1.7 km)
   20.4 km   Continue straight onto Rue Guermignies (follow 1.2 km)
  ★ 21.5 km  [coffee] La Concorde
   21.6 km   Turn left onto Rue du Monument
   21.8 km   Turn left onto Rue du Monument
   22.3 km   Turn right (follow 4.5 km)
   26.8 km   Turn right
   26.9 km   Continue onto Place d'Escanaffles
   27.0 km   Turn left onto Place d'Escanaffles
   27.0 km   Turn right onto Place d'Escanaffles
   27.3 km   At roundabout, take exit 2 onto Rue Monseigneur Descamps
   28.1 km   Turn right to junction 25 (follow 1.5 km)
   29.6 km   Follow signs to junction 16 (exit right, heading NE) toward junction 12
   30.0 km   Follow signs to junction 12 (exit right, heading N) toward junction 99
   31.4 km   Bear right to junction 99
   31.5 km   Follow signs to junction 98 (exit right, heading NE) toward junction 14
  ★ 31.6 km  [rest_stop] Kluisberg
  ★ 31.6 km  [bar] Aux Acacias
  ★ 34.9 km  [see] Kluisberg viewpoint
  ★ 34.9 km  [see] Kluisberg viewpoint
   35.0 km   Follow signs to junction 14 (exit right, heading E) toward junction 96
   35.3 km   Turn left to junction 96
  ★ 35.3 km  [bar] Cafe Oude Hoeve
   35.8 km   Turn left to junction 95 (follow 2.5 km)
   38.3 km   Turn right to junction 5 (follow 1.1 km)
  ★ 38.3 km  [bar] ’t Pleintje
   39.4 km   Continue straight to junction 57 (follow 3.9 km)
   43.4 km   Continue straight to junction 55 (follow 1.8 km)
   45.2 km   Follow signs to junction 40 (exit right, heading E) toward junction 8
   47.1 km   Follow signs to junction 8 via Bergstraat, Krekelput, Markt, Einestraat, Adriaan Brouwerstraat (exit left)
  ★ 48.8 km  [shopping] Centre Tour of Flanders
  ★ 48.8 km  [monument] City Hall Oudenaarde
  ★ 49.6 km  [dock/stay] Docking Oudenaarde
  ★ 49.6 km  [bar] brewery Liefmans
