TREIS-KARDEN - KOBLENZ (VIA BURG ELTZ)    44.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [start] Drop-off Treis- Karden
    0.1 km   Rechtsaf
    0.1 km   Rechtsaf naar Moselstraße
    0.3 km   Linksaf naar St.-Georgs-Straße
    0.3 km   Rechtsaf naar St.-Castor-Straße
    0.6 km   Turn right onto St.-Castor-Straße
  ★ 0.6 km  [see] St.Castor Church/Kirche
    0.6 km   Turn right onto Kernstraße
    0.7 km   Turn left onto B 416 and take B 416 toward Koblenz, Löf, Burg Eltz (follow 2.1 km)
    2.8 km   Turn left
    2.8 km   Turn right
    3.0 km   Continue onto Im Lehn
    3.2 km   Continue onto Hauptstraße
    3.6 km   Make a U-turn onto Hauptstraße
    4.0 km   Turn sharp right onto Grüngürtel
    4.1 km   Make a U-turn onto Grüngürtel
    4.1 km   Turn right onto Moselkerner Weg (follow 1.5 km)
    5.6 km   Turn slight left onto Moselstraße
    5.9 km   Turn left onto Kirchstraße
    6.0 km   Turn left onto Oberstraße
    6.1 km   Turn right onto Elztal (follow 4.6 km)
  ★ 8.0 km  [food] Landhotel Ringelsteiner Mühle
  ★ 8.3 km  [monument] Burg Eltz
  ★ 8.4 km  [bike_parking] Park bikes — continue on foot to Burg Eltz; 2 km
   10.7 km   Turn left onto Oberstraße
   11.0 km   Turn slight left onto Oberstraße
   11.2 km   Turn right onto K 33
   11.2 km   Turn left onto B 416 (follow 4.5 km)
   15.8 km   Turn right onto Bahnhofstraße (follow 1.1 km)
   16.9 km   Turn right
   16.9 km   Turn left onto B 416 (follow 2.1 km)
   19.0 km   Turn right onto Alte Moselstraße
  ★ 19.0 km  [coffee] Café Braun
   19.5 km   Turn slight right
   19.5 km   Turn slight left onto Winninger Straße, B 416
   19.6 km   Keep left onto K 41
   19.7 km   Turn right
   19.7 km   Turn left onto Winninger Straße, B 416 (follow 5.0 km)
  ★ 20.9 km  [coffee] Café Panorama
  ★ 22.1 km  [caution] Take tunnel on your left hand
   24.7 km   Turn right onto Im Oberdorf
   24.9 km   Turn right onto Hauptstraße (follow 1.1 km)
   25.9 km   Turn right onto Römerstraße
   26.8 km   Bear right (follow 1.3 km)
   28.2 km   Turn sharp left onto Kastorbachstraße, L 117
   28.2 km   Turn sharp right onto Fährstraße
  ★ 28.4 km  [coffee] Kobern-Gondorf — Cafés on square
   28.5 km   Turn slight right onto Marktstraße
   28.8 km   Turn left onto An der B416 (follow 4.5 km)
   33.2 km   Continue onto Jahnstraße
   33.3 km   Continue onto Marktstraße
   33.7 km   Turn right onto Bachstraße
   33.8 km   Turn left onto Türmchenstraße
   33.9 km   Turn sharp right onto August-Horch-Straße
   34.0 km   Turn left onto Bahnhofstraße
   34.2 km   Turn left onto Röttgenweg (follow 4.0 km)
   38.2 km   Turn right onto Eisheiligenstraße
   38.5 km   Turn left onto Im Palmenstück
   38.7 km   Turn right onto Teichstraße
   38.8 km   Turn left onto Moselweinstraße
   39.7 km   Continue onto Winninger Straße (follow 1.9 km)
   41.5 km   Turn right
   41.6 km   Turn slight left onto Schlachthofstraße and take B 49 toward Cochem, Dieblich
   41.8 km   Keep left onto Am Moselstausee (follow 1.6 km)
   43.4 km   Turn left onto Pastor-Klein-Straße
  ★ 43.6 km  [see] Wehrtechnische Studiensammlung Koblenz, Mayener Str. 85, 56070 Koblenz, Duitsland
   44.0 km   Turn slight left onto Peter-Altmeier-Ufer
   44.6 km   Turn right
  ★ 44.6 km  [stop] Pick-up Winningen
  ★ 44.6 km  [see] Ehrenbreitstein
  ★ 44.6 km  [see] EleEctoral Palace/Kurfurstliches Schloss
