TRIER (OSTKAI)  - SAARBURG    38.1 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Ostkai Trier mooring
    0.6 km   Turn right onto Montanstraße
    0.8 km   At roundabout, take exit 1 onto Montanstraße
    1.3 km   Turn left onto Hafenstraße
    1.4 km   Turn left
    2.1 km   Turn slight left onto Karolingerstraße
    2.3 km   Turn right onto Mittelweg
    2.7 km   Turn sharp left onto Hans-Adamy-Straße
  ★ 3.2 km  [dock/stay] Trier-Pfalzel
    3.4 km   Keep left onto Spielesplatz (follow 5.2 km)
    8.6 km   Turn right
    8.6 km   Turn right
    8.7 km   Turn right onto Bitburger Straße and take B 51 toward Köln, Aachen, Hochschule, Centrum
    8.9 km   Turn right and drive toward Centrum
    8.9 km   Turn sharp right
    9.2 km   Turn left
    9.3 km   Turn right
    9.3 km   Turn left onto Merianstraße
    9.6 km   Turn left
    9.7 km   Turn right
  ★ 10.0 km  [restroom] Restroom
   10.2 km   Turn
  ★ 10.2 km  [restroom] toilet (€ 0,50)
  ★ 10.2 km  [bike_parking] Possible bike parking here
  ★ 10.3 km  [bike_parking] Possible bike parking here
  ★ 10.3 km  [restroom] toilet (€ 1,-)
   10.8 km   Turn right
   10.8 km   Turn right
   11.1 km   Bear left, cross street
   11.1 km   Turn right, cross street
   11.2 km   Turn right
   11.2 km   Turn left
   11.2 km   Turn sharp left
  ★ 11.2 km  [dock/stay] Mooring Trier Zurlauben
   11.2 km   Bear left
   11.3 km   Bear right (follow 4.6 km)
   16.0 km   Bear right (follow 3.6 km)
   19.6 km   Continue onto Am Moselufer
   19.8 km   Turn right
   19.9 km   Turn left (follow 1.5 km)
  ★ 20.0 km  [coffee] Café Konz
  ★ 20.5 km  [coffee] Cafe Treff
   21.3 km   Turn right (follow 3.6 km)
   24.9 km   Continue straight onto Pappelweg
   25.0 km   Turn left onto Marienstraße
   25.1 km   Turn right
   25.2 km   Turn right (follow 1.8 km)
   27.1 km   Turn right; cross bridge
   27.3 km   Turn left onto Kirchstraße
  ★ 27.7 km  [restroom] Restroom — In the back of building
   27.9 km   Turn right
   28.1 km   Turn left
   28.2 km   Turn left (follow 1.2 km)
   29.4 km   Turn left onto bike path
   30.1 km   Bear left (follow 2.3 km)
   32.5 km   Linksaf
   32.7 km   Turn left
   32.8 km   Bear right (follow 1.2 km)
   34.0 km   Bear right (follow 1.3 km)
   35.3 km   Bear right (follow 1.7 km)
  ★ 35.6 km  [dock/stay] Mooring Saarburg (2)
   37.0 km   Turn left
   37.3 km   Turn left
  ★ 37.3 km  [see] Waterfall
   37.3 km   Rechts abbiegen
   37.6 km   Turn left
   37.7 km   Turn left
   38.0 km   Turn right
   38.1 km   Turn left
  ★ 38.1 km  [restroom] Restroom
   38.1 km   Turn left
   38.1 km   End of ride
  ★ 38.1 km  [dock/stay] Mooring Saarburg (1)
