TRIER (CENTRE) - SAARBURG (VIA IGEL)    34.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Trier Zurlauben
    0.0 km   Turn right
    0.1 km   Turn right
    0.1 km   Turn left
    0.2 km   Turn left
    0.2 km   Turn left onto Merianstraße
    0.5 km   Turn left
    0.6 km   Turn right
  ★ 0.9 km  [restroom] Restroom
  ★ 1.1 km  [dock/stay] Docking Trier (Pfalzel)
  ★ 1.1 km  [dock/stay] Docking Trier (Ostkai)
    1.1 km   Turn
  ★ 1.1 km  [restroom] toilet (€ 0,50)
  ★ 1.1 km  [bike_parking] Possible bike parking here
  ★ 1.2 km  [bike_parking] Possible bike parking here
  ★ 1.2 km  [restroom] toilet (€ 1,-)
    1.7 km   Turn right
    1.7 km   Turn right
    2.0 km   Turn right
    2.0 km   Turn right
    2.1 km   Turn right
    2.1 km   Turn left
    2.1 km   Turn sharp left
    2.2 km   Turn slight left (follow 2.2 km)
    4.4 km   Turn right
    5.0 km   Turn slight right
    5.3 km   Turn left
    5.4 km   Turn right
    5.7 km   Turn right (follow 1.4 km)
    7.0 km   Turn right
    7.1 km   Turn left
    7.3 km   Turn right onto An der Staustufe
    7.4 km   Turn right onto Diedenhofener Straße
    7.4 km   Turn left onto Diedenhofener Straße
    7.5 km   Turn left onto Diedenhofener Straße
    7.5 km   Turn slight right (follow 1.4 km)
    8.9 km   Turn slight right
    9.3 km   Turn sharp left
    9.3 km   Turn right (follow 4.6 km)
   13.9 km   Turn right onto Trierer Straße, B 49
  ★ 13.9 km  [coffee] Bakery
  ★ 14.0 km  [note] Igel Column cemetary — Roman burial monument
   14.2 km   Turn right onto Bahnhofstraße
   14.3 km   Sla linksaf om op Bahnhofstraße te blijven
   14.9 km   Make a U-turn
   15.1 km   Turn left (follow 1.4 km)
   16.6 km   Turn left
   16.7 km   Turn sharp left
   17.0 km   Turn sharp left
  ★ 17.1 km  [coffee] Café Konz
   17.1 km   Turn right onto Am Moselufer (follow 1.4 km)
  ★ 17.7 km  [coffee] Cafe Treff
   18.5 km   Turn right (follow 3.6 km)
   22.1 km   Continue straight onto Pappelweg
   22.2 km   Turn left onto Marienstraße
   22.2 km   Turn right
   22.4 km   Turn right (follow 1.8 km)
   24.2 km   Turn right; cross bridge
   24.5 km   Turn left onto Kirchstraße
  ★ 24.9 km  [restroom] Restroom — In the back of building
   25.1 km   Turn right
   25.3 km   Turn left
   25.4 km   Turn left (follow 1.2 km)
   26.6 km   Turn left onto bike path
   27.3 km   Bear left (follow 2.3 km)
   29.6 km   Linksaf
   29.9 km   Turn left
   30.0 km   Bear right (follow 1.2 km)
   31.2 km   Bear right (follow 1.3 km)
   32.5 km   Bear right (follow 1.7 km)
  ★ 32.8 km  [dock/stay] Docking Saarburg (alternative)
   34.2 km   Turn left
   34.2 km   Turn left
   34.3 km   Turn right onto Brückenstraße
   34.7 km   Turn right
  ★ 34.7 km  [see] Waterfall
   34.8 km   Turn left
  ★ 34.8 km  [restroom] Restroom
   34.8 km   Turn left
   34.8 km   End of ride
  ★ 34.8 km  [dock/stay] Docking Saarburg (centre)
